t;e;d;i;set

0.394;0;3;0;0
0.399;0;3;0;0
0.404;0;3;0;0
0.409;0;3;0;0
0.414;0;3;0;0
0.419;0;3;0;0
0.424;7;1;0;0
0.429;7;1;0;0
0.434;15;5000;0;0
0.439;31;1;0;0
0.444;39;3;0;0
0.449;62;3;0;0
0.454;86;4;0;0
0.459;101;5;0;0
0.464;140;9;0;0
0.469;179;9;0;0
0.474;225;11;0;0
0.479;271;10;0;0
0.484;323;15;0;0
0.489;375;14;0;0
0.494;432;16;0;0
0.499;495;18;0;0
0.504;562;19;0;0
0.509;619;20;0;0
0.514;667;17;0;0
0.519;723;17;0;0
0.524;770;17;0;0
0.529;809;15;0;0
0.534;840;13;0;0
0.539;868;13;0;0
0.544;894;15;0;0
0.549;914;11;0;0
0.554;932;11;0;0
0.559;943;9;0;0
0.564;953;7;0;0
0.569;960;5;0;0
0.574;968;6;0;0
0.579;975;7;0;0
0.584;982;7;0;0
0.589;986;6;0;0
0.594;992;8;0;0
0.599;995;6;0;0
0.604;997;5;0;0
0.609;998;4;0;0
0.614;998;2;0;0
0.619;999;2;0;0
0.624;999;5;0;0
0.629;999;4;0;0
0.634;999;3;0;0
0.639;999;3;0;0
0.644;999;2;0;0
0.649;999;-1;0;0
0.654;998;-2;0;0
0.659;998;-3;0;0
0.664;996;-3;0;0
0.669;996;-2;0;0
0.674;996;-2;0;0
0.679;996;-2;0;0
0.684;996;-2;0;0
0.689;996;-1;0;0
0.694;996;-1;0;0
0.699;995;-1;0;0
0.704;995;5000;0;0
0.709;995;5000;0;0
0.714;995;5000;0;0
0.719;996;1;0;0
0.724;996;1;0;0
0.729;996;1;0;0
0.734;996;1;0;0
0.739;996;1;0;0
0.744;996;1;0;0
0.749;996;1;0;0
0.754;996;1;0;0
0.759;996;1;0;0
0.764;996;1;0;0
0.769;996;1;0;0
0.774;996;1;0;0
0.779;996;1;0;0
0.784;996;1;0;0
0.789;996;1;0;0
0.794;996;1;0;0
0.799;996;1;0;0
0.804;996;5000;0;0
0.809;996;5000;0;0
0.814;997;1;0;0
0.819;998;2;0;0
0.824;998;1;0;0
0.829;999;2;0;0
0.834;999;3;0;0
0.839;999;2;0;0
0.844;1000;3;0;0
0.849;999;3;0;0
0.854;999;2;0;0
0.859;999;3;0;0
0.864;998;2;0;0
0.869;998;1;0;0
0.874;998;1;0;0
0.879;998;1;0;0
0.884;997;1;0;0
0.889;997;1;0;0
0.894;997;1;0;0
0.899;997;1;0;0
0.904;997;1;0;0
0.909;997;1;0;0
0.914;997;1;0;0
0.919;997;1;0;0
0.924;998;5000;0;0
0.929;998;5000;0;0
0.934;998;5000;0;0
0.939;998;5000;0;0
0.944;998;5000;0;0
0.949;998;5000;0;0
0.954;998;5000;0;0
0.959;999;5000;0;0
0.964;999;5000;0;0
0.969;999;5000;0;0
0.974;999;5000;0;0
0.979;999;5000;0;0
0.984;999;5000;0;0
0.989;999;5000;0;0
0.994;999;5000;0;0
0.999;999;5000;0;0
1.004;999;5000;0;0
1.009;999;5000;0;0
1.014;999;5000;0;0
1.019;999;5000;0;0
1.024;999;5000;0;0
1.029;999;5000;0;0
1.034;999;5000;0;0
1.039;998;5000;0;0
1.044;998;5000;0;0
1.049;998;5000;0;0
1.054;998;5000;0;0
1.059;998;5000;0;0
1.064;998;5000;0;0
1.069;998;5000;0;0
1.074;998;5000;0;0
1.079;998;5000;0;0
1.084;998;5000;0;0
1.089;998;5000;0;0
1.094;998;5000;0;0
1.099;998;5000;0;0
1.104;998;5000;0;0
1.109;998;5000;0;0
1.114;998;5000;0;0
1.119;998;5000;0;0
1.124;998;5000;0;0
1.129;998;5000;0;0
1.134;998;5000;0;0
1.139;998;5000;0;0
1.144;998;5000;0;0
1.149;998;5000;0;0
1.154;998;5000;0;0
1.159;998;5000;0;0
1.164;998;5000;0;0
1.169;998;5000;0;0
1.174;998;5000;0;0
1.179;999;5000;0;0
1.184;999;5000;0;0
1.189;999;5000;0;0
1.194;999;5000;0;0
1.199;999;5000;0;0
1.204;999;5000;0;0
1.209;999;-1;0;0
1.214;1000;-3;0;0
1.219;999;-5;0;0
1.224;999;-4;0;0
1.229;997;-6;0;0
1.234;994;-6;0;0
1.239;991;-7;0;0
1.244;983;-12;0;0
1.249;974;-10;0;0
1.254;962;-14;0;0
1.259;948;-10;0;0
1.264;926;-13;0;0
1.269;901;-14;0;0
1.274;868;-17;0;0
1.279;831;-20;0;0
1.284;790;-19;0;0
1.289;739;-20;0;0
1.294;678;-20;0;0
1.299;612;-21;0;0
1.304;542;-25;0;0
1.309;474;-18;0;0
1.314;389;-22;0;0
1.319;294;-26;0;0
1.324;202;-22;0;0
1.329;117;-21;0;0
1.334;7;-31;0;0
1.339;-86;-24;0;0
1.344;-179;-29;0;0
1.349;-271;-28;0;0
1.354;-353;-20;0;0
1.359;-439;-23;0;0
1.364;-515;-18;0;0
1.369;-581;-20;0;0
1.374;-655;-25;0;0
1.379;-712;-18;0;0
1.384;-765;-21;0;0
1.389;-809;-18;0;0
