t;e;d;i;set

0.509;-7;-4;0;0
0.514;-7;-4;0;0
0.519;-7;-4;0;0
0.524;-7;-4;0;0
0.529;-7;-4;0;0
0.534;-7;-4;0;0
0.539;-7;-4;0;0
0.544;-7;-4;0;0
0.549;-7;-4;0;0
0.554;-7;-4;0;0
0.559;-7;-4;0;0
0.564;-7;-4;0;0
0.569;-7;-4;0;0
0.574;-7;-4;0;0
0.579;-7;-4;0;0
0.584;-7;-4;0;0
0.589;-7;-4;0;0
0.594;-7;-4;0;0
0.599;-7;-4;0;0
0.604;-7;-4;0;0
0.609;-7;-4;0;0
0.614;-7;-4;0;0
0.619;-7;-4;0;0
0.624;-7;-4;0;0
0.629;-7;-4;0;0
0.634;-7;-4;0;0
0.639;-7;-4;0;0
0.644;-7;-4;0;0
0.649;-7;-4;0;0
0.654;-7;-4;0;0
0.659;-7;-4;0;0
0.664;-7;-4;0;0
0.669;-7;-4;0;0
0.674;-7;-4;0;0
0.679;-7;-4;0;0
0.684;-7;-4;0;0
0.689;-7;-4;0;0
0.694;-7;-4;0;0
0.699;-7;-4;0;0
0.704;-7;-4;0;0
0.709;-7;-4;0;0
0.714;-7;-4;0;0
0.719;-7;-4;0;0
0.724;-7;-4;0;0
0.729;-7;-4;0;0
0.734;-7;-4;0;0
0.739;-7;-4;0;0
0.744;-7;-4;0;0
0.749;-7;-4;0;0
0.754;-7;-4;0;0
0.759;-7;-4;0;0
0.764;-7;-4;0;0
0.769;-7;-4;0;0
0.774;-7;-4;0;0
0.779;-7;-4;0;0
0.784;-7;-4;0;0
0.789;-7;-4;0;0
0.794;-7;-4;0;0
0.799;-7;-4;0;0
0.804;-7;-4;0;0
0.809;-7;-4;0;0
0.814;-7;-4;0;0
0.819;-7;-4;0;0
0.824;-7;-4;0;0
0.829;-7;-4;0;0
0.834;-7;-4;0;0
0.839;-7;-4;0;0
0.844;-7;-4;0;0
0.849;-7;-4;0;0
0.854;-7;-4;0;0
0.859;-7;-4;0;0
0.864;-7;-4;0;0
0.869;-7;-4;0;0
0.874;-7;-4;0;0
0.879;-7;-4;0;0
0.884;-7;-4;0;0
0.889;-15;-3;0;0
0.894;-39;-26;0;0
0.899;-101;-71;0;0
0.904;-156;-67;0;0
0.909;-210;-70;0;0
0.914;-271;-74;0;0
0.919;-331;-75;0;0
0.924;-375;-54;0;0
0.929;-425;-70;0;0
0.934;-474;-64;0;0
0.939;-515;-52;0;0
0.944;-549;-55;0;0
0.949;-581;-49;0;0
0.954;-619;-47;0;0
0.959;-649;-49;0;0
0.964;-673;-37;0;0
0.969;-695;-43;0;0
0.974;-723;-44;0;0
0.979;-734;-23;0;0
0.984;-744;-20;0;0
0.989;-760;-23;0;0
0.994;-770;-23;0;0
0.999;-775;-14;0;0
1.004;-785;-12;0;0
1.009;-785;-11;0;0
1.014;-785;-10;0;0
1.019;-780;7;0;0
1.024;-770;6;0;0
1.029;-765;13;0;0
1.034;-755;14;0;0
1.039;-744;21;0;0
1.044;-723;30;0;0
1.049;-712;24;0;0
1.054;-684;45;0;0
1.059;-655;52;0;0
1.064;-631;43;0;0
1.069;-606;58;0;0
1.074;-568;47;0;0
1.079;-535;47;0;0
1.084;-495;59;0;0
1.089;-453;58;0;0
1.094;-411;62;0;0
1.099;-368;57;0;0
1.104;-316;64;0;0
1.109;-271;70;0;0
1.114;-218;56;0;0
1.119;-164;63;0;0
1.124;-101;65;0;0
1.129;-47;66;0;0
1.134;7;76;0;0
1.139;70;82;0;0
1.144;117;67;0;0
1.149;179;66;0;0
1.154;233;72;0;0
1.159;278;52;0;0
1.164;323;51;0;0
1.169;375;70;0;0
1.174;425;74;0;0
1.179;467;63;0;0
1.184;502;39;0;0
1.189;535;39;0;0
1.194;568;54;0;0
1.199;594;51;0;0
1.204;625;47;0;0
1.209;649;42;0;0
1.214;667;33;0;0
1.219;684;23;0;0
1.224;695;20;0;0
1.229;712;27;0;0
1.234;723;18;0;0
1.239;728;14;0;0
1.244;734;12;0;0
1.249;734;11;0;0
1.254;734;10;0;0
1.259;734;9;0;0
1.264;728;-24;0;0
1.269;718;-5;0;0
1.274;712;-11;0;0
1.279;695;-21;0;0
1.284;684;-22;0;0
1.289;667;-28;0;0
1.294;643;-39;0;0
1.299;619;-42;0;0
1.304;600;-37;0;0
1.309;568;-52;0;0
1.314;542;-46;0;0
1.319;502;-44;0;0
1.324;467;-56;0;0
1.329;432;-52;0;0
1.334;382;-60;0;0
1.339;338;-64;0;0
1.344;286;-68;0;0
1.349;241;-53;0;0
1.354;195;-60;0;0
1.359;140;-66;0;0
1.364;86;-60;0;0
1.369;31;-71;0;0
1.374;-23;-70;0;0
1.379;-70;-45;0;0
1.384;-133;-66;0;0
1.389;-179;-54;0;0
1.394;-225;-50;0;0
1.399;-278;-67;0;0
1.404;-323;-52;0;0
1.409;-368;-57;0;0
1.414;-411;-60;0;0
1.419;-446;-46;0;0
1.424;-481;-52;0;0
1.429;-515;-38;0;0
1.434;-542;-32;0;0
1.439;-575;-43;0;0
1.444;-600;-38;0;0
1.449;-619;-29;0;0
1.454;-643;-27;0;0
1.459;-655;-23;0;0
1.464;-667;-17;0;0
1.469;-678;-21;0;0
1.474;-690;-14;0;0
1.479;-701;-32;0;0
1.484;-701;-20;0;0
1.489;-701;-17;0;0
1.494;-701;-14;0;0
1.499;-701;-12;0;0
1.504;-690;4;0;0
1.509;-678;16;0;0
1.514;-673;14;0;0
1.519;-655;24;0;0
1.524;-643;19;0;0
1.529;-625;26;0;0
1.534;-606;36;0;0
1.539;-581;42;0;0
1.544;-555;34;0;0
1.549;-529;42;0;0
1.554;-495;44;0;0
1.559;-460;45;0;0
1.564;-425;40;0;0
1.569;-389;53;0;0
