t;e;d;i;set

1.319;0;-3;0;0
1.324;0;-3;0;0
1.329;0;-3;0;0
1.334;0;-3;0;0
1.339;0;-3;0;0
1.344;0;-3;0;0
1.349;0;-3;0;0
1.354;0;-3;0;0
1.359;0;-3;0;0
1.364;0;-3;0;0
1.369;0;-3;0;0
1.374;0;-3;0;0
1.379;0;-3;0;0
1.384;0;-3;0;0
1.389;0;-3;0;0
1.394;0;-3;0;0
1.399;0;-3;0;0
1.404;0;-3;0;0
1.409;0;-3;0;0
1.414;0;-3;0;0
1.419;0;-3;0;0
1.424;0;-3;0;0
1.429;0;-3;0;0
1.434;0;-3;0;0
1.439;0;-3;0;0
1.444;0;-3;0;0
1.449;0;-3;0;0
1.454;0;-3;0;0
1.459;0;-3;0;0
1.464;0;-3;0;0
1.469;0;-3;0;0
1.474;0;-3;0;0
1.479;0;-3;0;0
1.484;0;-3;0;0
1.489;0;-3;0;0
1.494;0;-3;0;0
1.499;0;-3;0;0
1.504;0;-3;0;0
1.509;0;-3;0;0
1.514;0;-3;0;0
1.519;0;-3;0;0
1.524;0;-3;0;0
1.529;0;-3;0;0
1.534;0;-3;0;0
1.539;0;-3;0;0
1.544;0;-3;0;0
1.549;0;-3;0;0
1.554;0;-3;0;0
1.559;0;-3;0;0
1.564;0;-3;0;0
1.569;0;-3;0;0
1.574;0;-3;0;0
1.579;0;-3;0;0
1.584;0;-3;0;0
1.589;0;-3;0;0
1.594;0;-3;0;0
1.599;0;-3;0;0
1.604;0;-3;0;0
1.609;0;-3;0;0
1.614;0;-3;0;0
1.619;0;-3;0;0
1.624;0;-3;0;0
1.629;0;-3;0;0
1.634;0;-3;0;0
1.639;0;-3;0;0
1.644;0;-3;0;0
1.649;0;-3;0;0
1.654;0;-3;0;0
1.659;0;-3;0;0
1.664;0;-3;0;0
1.669;0;-3;0;0
1.674;0;-3;0;0
1.679;0;-3;0;0
1.684;0;-3;0;0
1.689;0;-3;0;0
1.694;0;-3;0;0
1.699;0;-3;0;0
1.704;0;-3;0;0
1.709;0;-3;0;0
1.714;0;-3;0;0
1.719;0;-3;0;0
1.724;0;-3;0;0
1.729;0;-3;0;0
1.734;0;-3;0;0
1.739;0;-3;0;0
1.744;0;-3;0;0
1.749;0;-3;0;0
1.754;0;-3;0;0
1.759;0;-3;0;0
1.764;0;-3;0;0
1.769;0;-3;0;0
1.774;0;-3;0;0
1.779;0;-3;0;0
1.784;0;-3;0;0
1.789;0;-3;0;0
1.794;0;-3;0;0
1.799;0;-3;0;0
1.804;0;-3;0;0
1.809;0;-3;0;0
1.814;0;-3;0;0
1.819;0;-3;0;0
1.824;0;-3;0;0
1.829;0;-3;0;0
1.834;0;-3;0;0
1.839;0;-3;0;0
1.844;0;-3;0;0
1.849;0;-3;0;0
1.854;0;-3;0;0
1.859;0;-3;0;0
1.864;0;-3;0;0
1.869;0;-3;0;0
1.874;0;-3;0;0
1.879;0;-3;0;0
1.884;0;-3;0;0
1.889;0;-3;0;0
1.894;0;-3;0;0
1.899;0;-3;0;0
1.904;0;-3;0;0
1.909;0;-3;0;0
1.914;0;-3;0;0
1.919;0;-3;0;0
1.924;0;-3;0;0
1.929;0;-3;0;0
1.934;0;-3;0;0
1.939;0;-3;0;0
1.944;0;-3;0;0
1.949;0;-3;0;0
1.954;0;-3;0;0
1.959;0;-3;0;0
1.964;0;-3;0;0
1.969;0;-3;0;0
1.974;0;-3;0;0
1.979;0;-3;0;0
1.984;0;-3;0;0
1.989;0;-3;0;0
1.994;0;-3;0;0
1.999;0;-3;0;0
2.004;0;-3;0;0
2.009;0;-3;0;0
2.014;0;-2;0;0
2.019;15;-8;0;0
2.024;39;-14;0;0
2.029;54;-19;0;0
2.034;78;-24;0;0
2.039;94;-28;0;0
2.044;117;-34;0;0
2.049;140;-40;0;0
2.054;179;-49;0;0
2.059;210;-61;0;0
2.064;241;-65;0;0
2.069;278;-70;0;0
2.074;323;-80;0;0
2.079;353;-84;0;0
2.084;382;-90;0;0
2.089;425;-90;0;0
2.094;460;-93;0;0
2.099;495;-97;0;0
2.104;535;-97;0;0
2.109;568;-96;0;0
2.114;600;-94;0;0
2.119;625;-93;0;0
2.124;661;-93;0;0
2.129;695;-94;0;0
2.134;718;-90;0;0
2.139;739;-87;0;0
2.144;765;-90;0;0
2.149;785;-89;0;0
2.154;799;-82;0;0
2.159;818;-77;0;0
2.164;831;-71;0;0
2.169;844;-66;0;0
2.174;852;-61;0;0
2.179;860;-55;0;0
2.184;860;-50;0;0
2.189;856;-45;0;0
2.194;856;-41;0;0
2.199;856;-37;0;0
2.204;856;-33;0;0
2.209;856;-30;0;0
2.214;856;-27;0;0
2.219;856;-24;0;0
2.224;856;-22;0;0
2.229;856;-20;0;0
2.234;856;-18;0;0
2.239;856;-16;0;0
2.244;852;-14;0;0
2.249;852;-12;0;0
2.254;852;-11;0;0
2.259;852;-9;0;0
2.264;852;-8;0;0
2.269;852;-7;0;0
2.274;852;-7;0;0
2.279;852;-6;0;0
2.284;852;-5;0;0
2.289;852;-5;0;0
2.294;852;-4;0;0
2.299;852;-4;0;0
2.304;852;-3;0;0
2.309;852;-3;0;0
2.314;852;-3;0;0
2.319;852;-3;0;0
2.324;848;-2;0;0
2.329;844;-2;0;0
2.334;835;-6;0;0
2.339;822;-8;0;0
2.344;809;-12;0;0
2.349;790;-18;0;0
2.354;775;-23;0;0
2.359;750;-28;0;0
2.364;723;-35;0;0
2.369;695;-43;0;0
2.374;661;-50;0;0
2.379;625;-58;0;0
2.384;587;-66;0;0
2.389;549;-75;0;0
2.394;495;-86;0;0
2.399;439;-100;0;0
2.404;382;-110;0;0
2.409;323;-119;0;0
2.414;263;-126;0;0
2.419;202;-135;0;0
2.424;140;-146;0;0
2.429;70;-156;0;0
2.434;7;-162;0;0
2.439;-62;-167;0;0
2.444;-133;-174;0;0
2.449;-195;-177;0;0
2.454;-256;-176;0;0
2.459;-316;-177;0;0
2.464;-375;-178;0;0
2.469;-425;-173;0;0
2.474;-481;-169;0;0
2.479;-529;-167;0;0
2.484;-575;-163;0;0
2.489;-612;-155;0;0
2.494;-649;-149;0;0
2.499;-684;-142;0;0
2.504;-712;-133;0;0
2.509;-739;-125;0;0
2.514;-765;-118;0;0
2.519;-780;-108;0;0
2.524;-799;-99;0;0
2.529;-818;-91;0;0
2.534;-827;-83;0;0
2.539;-835;-74;0;0
2.544;-840;-66;0;0
2.549;-848;-59;0;0
2.554;-848;-53;0;0
2.559;-848;-47;0;0
2.564;-844;-42;0;0
2.569;-840;-37;0;0
2.574;-835;-33;0;0
2.579;-827;-31;0;0
2.584;-813;-31;0;0
2.589;-799;-32;0;0
2.594;-785;-33;0;0
2.599;-760;-37;0;0
2.604;-739;-43;0;0
2.609;-718;-51;0;0
2.614;-684;-55;0;0
2.619;-649;-64;0;0
2.624;-619;-67;0;0
2.629;-575;-84;0;0
2.634;-535;-89;0;0
2.639;-488;-97;0;0
2.644;-439;-105;0;0
2.649;-389;-109;0;0
2.654;-331;-118;0;0
2.659;-278;-125;0;0
2.664;-225;-130;0;0
2.669;-156;-139;0;0
2.674;-101;-145;0;0
2.679;-31;-155;0;0
2.684;31;-160;0;0
2.689;94;-163;0;0
2.694;148;-164;0;0
2.699;218;-168;0;0
2.704;271;-170;0;0
2.709;323;-168;0;0
2.714;382;-169;0;0
2.719;425;-164;0;0
2.724;474;-161;0;0
2.729;522;-159;0;0
2.734;568;-154;0;0
2.739;600;-147;0;0
2.744;631;-139;0;0
2.749;661;-131;0;0
2.754;684;-122;0;0
2.759;707;-114;0;0
2.764;728;-106;0;0
2.769;744;-99;0;0
2.774;760;-90;0;0
2.779;770;-82;0;0
2.784;780;-74;0;0
2.789;785;-67;0;0
2.794;790;-59;0;0
2.799;790;-52;0;0
2.804;790;-46;0;0
2.809;785;-40;0;0
2.814;780;-36;0;0
2.819;775;-31;0;0
2.824;760;-30;0;0
2.829;750;-30;0;0
2.834;739;-31;0;0
2.839;718;-34;0;0
2.844;695;-38;0;0
2.849;673;-41;0;0
2.854;649;-46;0;0
2.859;619;-51;0;0
2.864;581;-58;0;0
2.869;549;-66;0;0
2.874;509;-73;0;0
2.879;460;-82;0;0
2.884;411;-91;0;0
2.889;360;-99;0;0
2.894;309;-107;0;0
2.899;263;-115;0;0
2.904;202;-124;0;0
2.909;140;-132;0;0
2.914;78;-140;0;0
2.919;23;-145;0;0
2.924;-39;-150;0;0
2.929;-94;-153;0;0
2.934;-156;-156;0;0
2.939;-218;-160;0;0
2.944;-271;-160;0;0
2.949;-323;-160;0;0
2.954;-375;-158;0;0
2.959;-418;-155;0;0
2.964;-467;-151;0;0
2.969;-509;-148;0;0
2.974;-549;-144;0;0
2.979;-581;-139;0;0
2.984;-612;-132;0;0
2.989;-649;-126;0;0
2.994;-673;-120;0;0
2.999;-695;-110;0;0
3.004;-718;-103;0;0
3.009;-739;-102;0;0
3.014;-750;-94;0;0
3.019;-760;-84;0;0
3.024;-770;-76;0;0
3.029;-780;-72;0;0
3.034;-780;-67;0;0
3.039;-785;-60;0;0
3.044;-785;-53;0;0
3.049;-780;-47;0;0
3.054;-780;-42;0;0
3.059;-770;-37;0;0
3.064;-760;-35;0;0
3.069;-750;-34;0;0
3.074;-734;-35;0;0
3.079;-718;-36;0;0
3.084;-695;-39;0;0
3.089;-673;-45;0;0
3.094;-649;-48;0;0
3.099;-619;-53;0;0
3.104;-581;-61;0;0
3.109;-549;-68;0;0
3.114;-515;-73;0;0
3.119;-467;-82;0;0
3.124;-432;-88;0;0
3.129;-382;-94;0;0
3.134;-338;-101;0;0
3.139;-294;-106;0;0
3.144;-233;-115;0;0
3.149;-179;-121;0;0
3.154;-125;-126;0;0
3.159;-70;-134;0;0
3.164;-7;-142;0;0
3.169;47;-146;0;0
3.174;101;-148;0;0
3.179;156;-150;0;0
3.184;210;-154;0;0
3.189;263;-155;0;0
3.194;309;-152;0;0
3.199;353;-149;0;0
3.204;404;-146;0;0
3.209;439;-143;0;0
3.214;488;-140;0;0
3.219;529;-138;0;0
3.224;562;-131;0;0
3.229;587;-123;0;0
3.234;612;-116;0;0
3.239;637;-110;0;0
3.244;661;-104;0;0
3.249;673;-96;0;0
3.254;695;-88;0;0
3.259;701;-82;0;0
3.264;712;-77;0;0
3.269;718;-70;0;0
3.274;723;-62;0;0
3.279;728;-56;0;0
3.284;728;-50;0;0
3.289;723;-44;0;0
3.294;723;-40;0;0
3.299;718;-35;0;0
3.304;707;-34;0;0
3.309;695;-37;0;0
3.314;678;-37;0;0
3.319;661;-38;0;0
3.324;643;-40;0;0
