t;e;d;i;set

0.0001;300.0;0.0;0;0
0.0002;300.0;0.0;0;0
0.00030000000000000003;300.0;0.0;0;0
0.0004;300.0;0.0;0;0
0.0005;300.0;0.0;0;0
0.0006000000000000001;300.0;0.0;0;0
0.0007;300.0;0.0;0;0
0.0008;300.0;0.0;0;0
0.0009000000000000001;300.0;0.0;0;0
0.001;300.0;0.0;0;0
0.0011;300.0;0.0;0;0
0.0012000000000000001;300.0;0.0;0;0
0.0013000000000000002;300.0;0.0;0;0
0.0014;300.0;0.0;0;0
0.0015;300.0;0.0;0;0
0.0016;300.0;0.0;0;0
0.0017000000000000001;300.0;0.0;0;0
0.0018000000000000002;300.0;0.0;0;0
0.0019;300.0;0.0;0;0
0.002;300.0;0.0;0;0
0.0021000000000000003;300.0;0.0;0;0
0.0022;300.0;0.0;0;0
0.0023;300.0;0.0;0;0
0.0024000000000000002;300.0;0.0;0;0
0.0025;300.0;0.0;0;0
0.0026000000000000003;300.0;0.0;0;0
0.0027;300.0;0.0;0;0
0.0028;300.0;0.0;0;0
0.0029000000000000002;300.0;0.0;0;0
0.003;300.0;0.0;0;0
0.0031000000000000003;300.0;0.0;0;0
0.0032;300.0;0.0;0;0
0.0033;300.0;0.0;0;0
0.0034000000000000002;300.0;0.0;0;0
0.0035;300.0;0.0;0;0
0.0036000000000000003;300.0;0.0;0;0
0.0037;300.0;0.0;0;0
0.0038;300.0;0.0;0;0
0.0039000000000000003;300.0;0.0;0;0
0.004;300.0;0.0;0;0
0.0041;300.0;0.0;0;0
0.004200000000000001;300.0;0.0;0;0
0.0043;300.0;0.0;0;0
0.0044;300.0;0.0;0;0
0.0045000000000000005;300.0;0.0;0;0
0.0046;300.0;0.0;0;0
0.0047;300.0;0.0;0;0
0.0048000000000000004;300.0;0.0;0;0
0.0049;300.0;0.0;0;0
0.005;300.0;0.0;0;0
0.0051;300.0;0.0;0;0
0.005200000000000001;300.0;0.0;0;0
0.0053;300.0;0.0;0;0
0.0054;300.0;0.0;0;0
0.0055000000000000005;300.0;0.0;0;0
0.0056;300.0;0.0;0;0
0.0057;300.0;0.0;0;0
0.0058000000000000005;300.0;0.0;0;0
0.0059;300.0;0.0;0;0
0.006;300.0;0.0;0;0
0.0061;300.0;0.0;0;0
0.006200000000000001;300.0;0.0;0;0
0.0063;300.0;0.0;0;0
0.0064;300.0;0.0;0;0
0.006500000000000001;300.0;0.0;0;0
0.0066;300.0;0.0;0;0
0.0067;300.0;0.0;0;0
0.0068000000000000005;300.0;0.0;0;0
0.006900000000000001;300.0;0.0;0;0
0.007;300.0;0.0;0;0
0.0071;300.0;0.0;0;0
0.007200000000000001;300.0;0.0;0;0
0.0073;300.0;0.0;0;0
0.0074;300.0;0.0;0;0
0.007500000000000001;300.0;0.0;0;0
0.0076;300.0;0.0;0;0
0.0077;300.0;0.0;0;0
0.0078000000000000005;300.0;0.0;0;0
0.0079;300.0;0.0;0;0
0.008;300.0;0.0;0;0
0.0081;300.0;0.0;0;0
0.0082;300.0;0.0;0;0
0.0083;300.0;0.0;0;0
0.008400000000000001;300.0;0.0;0;0
0.0085;300.0;0.0;0;0
0.0086;300.0;0.0;0;0
0.008700000000000001;300.0;0.0;0;0
0.0088;300.0;0.0;0;0
0.0089;300.0;0.0;0;0
0.009000000000000001;299.0;0.0;0;0
0.0091;299.0;0.0;0;0
0.0092;299.0;0.0;0;0
0.009300000000000001;299.0;0.0;0;0
0.0094;299.0;0.0;0;0
0.0095;299.0;0.0;0;0
0.009600000000000001;299.0;0.0;0;0
0.0097;299.0;0.0;0;0
0.0098;299.0;0.0;0;0
0.0099;299.0;0.0;0;0
0.01;299.0;0.0;0;0
0.010100000000000001;299.0;0.0;0;0
0.0102;299.0;0.0;0;0
0.0103;299.0;0.0;0;0
0.010400000000000001;299.0;0.0;0;0
0.0105;299.0;0.0;0;0
0.0106;299.0;0.0;0;0
0.010700000000000001;299.0;0.0;0;0
0.0108;299.0;0.0;0;0
