t;e;d;i;set

1.259;0;0;0;0
1.264;0;0;0;0
1.269;0;0;0;0
1.274;0;0;0;0
1.279;0;0;0;0
1.284;0;0;0;0
1.289;0;0;0;0
1.294;0;0;0;0
1.299;0;0;0;0
1.304;0;0;0;0
1.309;0;0;0;0
1.314;0;0;0;0
1.319;0;0;0;0
1.324;0;0;0;0
1.329;0;0;0;0
1.334;0;0;0;0
1.339;0;0;0;0
1.344;0;0;0;0
1.349;0;0;0;0
1.354;0;0;0;0
1.359;0;0;0;0
1.364;0;0;0;0
1.369;0;0;0;0
1.374;0;0;0;0
1.379;0;0;0;0
1.384;0;0;0;0
1.389;0;0;0;0
1.394;0;0;0;0
1.399;0;0;0;0
1.404;0;0;0;0
1.409;0;0;0;0
1.414;0;0;0;0
1.419;0;0;0;0
1.424;0;0;0;0
1.429;0;0;0;0
1.434;0;0;0;0
1.439;0;0;0;0
1.444;0;0;0;0
1.449;0;0;0;0
1.454;0;0;0;0
1.459;0;0;0;0
1.464;0;0;0;0
1.469;0;0;0;0
1.474;0;0;0;0
1.479;0;0;0;0
1.484;0;0;0;0
1.489;0;0;0;0
1.494;0;0;0;0
1.499;0;0;0;0
1.504;0;0;0;0
1.509;0;0;0;0
1.514;0;0;0;0
1.519;0;0;0;0
1.524;0;0;0;0
1.529;0;0;0;0
1.534;0;0;0;0
1.539;0;0;0;0
1.544;0;0;0;0
1.549;0;0;0;0
1.554;0;0;0;0
1.559;0;0;0;0
1.564;0;0;0;0
1.569;0;0;0;0
1.574;0;0;0;0
1.579;0;0;0;0
1.584;0;0;0;0
1.589;0;0;0;0
1.594;0;0;0;0
1.599;0;0;0;0
1.604;0;0;0;0
1.609;0;0;0;0
1.614;0;0;0;0
1.619;0;0;0;0
1.624;0;0;0;0
1.629;0;0;0;0
1.634;0;0;0;0
1.639;0;0;0;0
1.644;0;0;0;0
1.649;0;0;0;0
1.654;0;0;0;0
1.659;0;0;0;0
1.664;0;0;0;0
1.669;0;0;0;0
1.674;0;0;0;0
1.679;0;0;0;0
1.684;0;0;0;0
1.689;0;0;0;0
1.694;0;0;0;0
1.699;0;0;0;0
1.704;0;0;0;0
1.709;0;0;0;0
1.714;0;0;0;0
1.719;0;0;0;0
1.724;15;0;0;0
1.729;47;0;0;0
1.734;70;0;0;0
1.739;109;0;0;0
1.744;140;0;0;0
1.749;187;0;0;0
1.754;233;0;0;0
1.759;278;0;0;0
1.764;331;0;0;0
1.769;382;0;0;0
1.774;432;0;0;0
1.779;488;0;0;0
1.784;535;0;0;0
1.789;581;0;0;0
1.794;625;0;0;0
1.799;661;0;0;0
1.804;695;0;0;0
1.809;723;0;0;0
1.814;755;0;0;0
1.819;780;0;0;0
1.824;799;0;0;0
1.829;818;0;0;0
1.834;835;0;0;0
1.839;848;0;0;0
1.844;860;0;0;0
1.849;868;0;0;0
1.854;876;0;0;0
1.859;883;0;0;0
1.864;887;0;0;0
1.869;891;0;0;0
1.874;891;0;0;0
1.879;887;0;0;0
1.884;883;0;0;0
1.889;883;0;0;0
1.894;883;0;0;0
1.899;883;0;0;0
1.904;883;0;0;0
1.909;880;0;0;0
1.914;876;0;0;0
1.919;868;0;0;0
1.924;864;0;0;0
1.929;852;0;0;0
1.934;844;0;0;0
1.939;831;0;0;0
1.944;809;0;0;0
1.949;790;0;0;0
1.954;765;0;0;0
1.959;739;0;0;0
1.964;712;0;0;0
1.969;678;0;0;0
1.974;637;0;0;0
1.979;600;0;0;0
1.984;549;0;0;0
1.989;502;0;0;0
1.994;453;0;0;0
1.999;397;0;0;0
2.004;338;0;0;0
2.009;278;0;0;0
2.014;218;0;0;0
2.019;140;0;0;0
2.024;78;0;0;0
2.029;15;0;0;0
2.034;-47;0;0;0
2.039;-117;0;0;0
2.044;-187;0;0;0
2.049;-256;0;0;0
2.054;-316;0;0;0
2.059;-375;0;0;0
2.064;-432;0;0;0
2.069;-488;0;0;0
2.074;-529;0;0;0
2.079;-575;0;0;0
2.084;-612;0;0;0
2.089;-649;0;0;0
2.094;-684;0;0;0
2.099;-712;0;0;0
2.104;-739;0;0;0
2.109;-760;0;0;0
2.114;-775;0;0;0
2.119;-790;0;0;0
2.124;-804;0;0;0
2.129;-818;0;0;0
2.134;-822;0;0;0
2.139;-827;0;0;0
2.144;-831;0;0;0
2.149;-831;0;0;0
2.154;-831;0;0;0
2.159;-827;0;0;0
2.164;-822;0;0;0
2.169;-813;0;0;0
2.174;-804;0;0;0
2.179;-794;0;0;0
2.184;-780;0;0;0
2.189;-760;0;0;0
2.194;-739;0;0;0
2.199;-718;0;0;0
2.204;-690;0;0;0
2.209;-661;0;0;0
2.214;-625;0;0;0
2.219;-587;0;0;0
2.224;-549;0;0;0
2.229;-509;0;0;0
2.234;-467;0;0;0
2.239;-418;0;0;0
2.244;-368;0;0;0
2.249;-309;0;0;0
2.254;-248;0;0;0
2.259;-195;0;0;0
2.264;-140;0;0;0
2.269;-78;0;0;0
2.274;-15;0;0;0
2.279;47;0;0;0
2.284;101;0;0;0
2.289;156;0;0;0
2.294;218;0;0;0
2.299;271;0;0;0
2.304;323;0;0;0
2.309;375;0;0;0
2.314;418;0;0;0
2.319;467;0;0;0
2.324;502;0;0;0
2.329;542;0;0;0
2.334;575;0;0;0
2.339;606;0;0;0
2.344;637;0;0;0
2.349;667;0;0;0
2.354;684;0;0;0
2.359;701;0;0;0
2.364;718;0;0;0
2.369;734;0;0;0
2.374;739;0;0;0
2.379;750;0;0;0
2.384;755;0;0;0
2.389;760;0;0;0
2.394;760;0;0;0
2.399;760;0;0;0
2.404;760;0;0;0
2.409;750;0;0;0
2.414;744;0;0;0
2.419;734;0;0;0
2.424;718;0;0;0
2.429;707;0;0;0
2.434;690;0;0;0
2.439;667;0;0;0
2.444;643;0;0;0
2.449;619;0;0;0
2.454;587;0;0;0
2.459;549;0;0;0
2.464;515;0;0;0
2.469;474;0;0;0
2.474;439;0;0;0
2.479;397;0;0;0
2.484;353;0;0;0
2.489;301;0;0;0
2.494;248;0;0;0
2.499;195;0;0;0
2.504;140;0;0;0
2.509;94;0;0;0
2.514;39;0;0;0
2.519;-15;0;0;0
2.524;-78;0;0;0
2.529;-140;0;0;0
2.534;-195;0;0;0
2.539;-241;0;0;0
2.544;-294;0;0;0
2.549;-338;0;0;0
2.554;-389;0;0;0
2.559;-432;0;0;0
2.564;-467;0;0;0
2.569;-502;0;0;0
2.574;-535;0;0;0
2.579;-568;0;0;0
2.584;-600;0;0;0
2.589;-619;0;0;0
2.594;-643;0;0;0
2.599;-661;0;0;0
2.604;-673;0;0;0
2.609;-690;0;0;0
2.614;-695;0;0;0
2.619;-707;0;0;0
2.624;-712;0;0;0
2.629;-712;0;0;0
2.634;-718;0;0;0
2.639;-712;0;0;0
2.644;-707;0;0;0
2.649;-701;0;0;0
2.654;-695;0;0;0
2.659;-684;0;0;0
2.664;-673;0;0;0
2.669;-655;0;0;0
2.674;-643;0;0;0
2.679;-619;0;0;0
2.684;-600;0;0;0
2.689;-575;0;0;0
2.694;-549;0;0;0
2.699;-522;0;0;0
2.704;-488;0;0;0
2.709;-453;0;0;0
2.714;-411;0;0;0
2.719;-382;0;0;0
2.724;-338;0;0;0
2.729;-286;0;0;0
2.734;-233;0;0;0
2.739;-195;0;0;0
2.744;-156;0;0;0
2.749;-101;0;0;0
2.754;-47;0;0;0
2.759;7;0;0;0
2.764;47;0;0;0
2.769;94;0;0;0
2.774;140;0;0;0
2.779;187;0;0;0
2.784;233;0;0;0
2.789;278;0;0;0
2.794;316;0;0;0
2.799;353;0;0;0
2.804;389;0;0;0
2.809;425;0;0;0
2.814;460;0;0;0
2.819;481;0;0;0
2.824;509;0;0;0
2.829;529;0;0;0
2.834;555;0;0;0
2.839;575;0;0;0
2.844;594;0;0;0
2.849;606;0;0;0
2.854;619;0;0;0
2.859;625;0;0;0
2.864;631;0;0;0
2.869;637;0;0;0
2.874;637;0;0;0
2.879;637;0;0;0
2.884;637;0;0;0
2.889;625;0;0;0
2.894;625;0;0;0
2.899;612;0;0;0
2.904;600;0;0;0
2.909;587;0;0;0
2.914;568;0;0;0
2.919;549;0;0;0
2.924;522;0;0;0
2.929;502;0;0;0
2.934;481;0;0;0
2.939;453;0;0;0
2.944;418;0;0;0
2.949;382;0;0;0
2.954;353;0;0;0
2.959;316;0;0;0
2.964;278;0;0;0
2.969;233;0;0;0
2.974;195;0;0;0
2.979;148;0;0;0
2.984;109;0;0;0
2.989;70;0;0;0
2.994;15;0;0;0
2.999;-23;0;0;0
3.004;-70;0;0;0
3.009;-109;0;0;0
3.014;-156;0;0;0
3.019;-202;0;0;0
3.024;-248;0;0;0
3.029;-286;0;0;0
3.034;-323;0;0;0
3.039;-353;0;0;0
3.044;-389;0;0;0
3.049;-418;0;0;0
3.054;-446;0;0;0
3.059;-474;0;0;0
3.064;-495;0;0;0
3.069;-515;0;0;0
3.074;-535;0;0;0
3.079;-555;0;0;0
3.084;-568;0;0;0
3.089;-575;0;0;0
3.094;-581;0;0;0
3.099;-587;0;0;0
3.104;-594;0;0;0
3.109;-594;0;0;0
3.114;-594;0;0;0
3.119;-594;0;0;0
3.124;-587;0;0;0
3.129;-575;0;0;0
3.134;-568;0;0;0
3.139;-562;0;0;0
3.144;-549;0;0;0
3.149;-529;0;0;0
3.154;-509;0;0;0
3.159;-495;0;0;0
3.164;-467;0;0;0
3.169;-446;0;0;0
3.174;-418;0;0;0
3.179;-382;0;0;0
3.184;-353;0;0;0
3.189;-323;0;0;0
3.194;-286;0;0;0
3.199;-248;0;0;0
3.204;-218;0;0;0
3.209;-187;0;0;0
3.214;-140;0;0;0
3.219;-101;0;0;0
3.224;-62;0;0;0
3.229;-15;0;0;0
3.234;15;0;0;0
3.239;54;0;0;0
3.244;94;0;0;0
3.249;133;0;0;0
3.254;171;0;0;0
3.259;210;0;0;0
3.264;241;0;0;0
3.269;271;0;0;0
3.274;309;0;0;0
3.279;338;0;0;0
3.284;368;0;0;0
3.289;389;0;0;0
3.294;411;0;0;0
3.299;432;0;0;0
3.304;453;0;0;0
3.309;467;0;0;0
3.314;488;0;0;0
3.319;495;0;0;0
3.324;509;0;0;0
3.329;522;0;0;0
3.334;522;0;0;0
3.339;529;0;0;0
3.344;529;0;0;0
3.349;529;0;0;0
3.354;529;0;0;0
3.359;522;0;0;0
3.364;515;0;0;0
3.369;509;0;0;0
3.374;495;0;0;0
3.379;488;0;0;0
3.384;467;0;0;0
3.389;453;0;0;0
3.394;439;0;0;0
3.399;418;0;0;0
3.404;397;0;0;0
3.409;375;0;0;0
3.414;346;0;0;0
3.419;316;0;0;0
3.424;286;0;0;0
3.429;256;0;0;0
3.434;225;0;0;0
3.439;187;0;0;0
3.444;156;0;0;0
3.449;125;0;0;0
3.454;94;0;0;0
3.459;54;0;0;0
3.464;15;0;0;0
3.469;-23;0;0;0
3.474;-54;0;0;0
3.479;-94;0;0;0
3.484;-125;0;0;0
3.489;-164;0;0;0
3.494;-202;0;0;0
3.499;-233;0;0;0
3.504;-263;0;0;0
3.509;-294;0;0;0
3.514;-316;0;0;0
3.519;-346;0;0;0
3.524;-368;0;0;0
3.529;-389;0;0;0
3.534;-411;0;0;0
3.539;-425;0;0;0
3.544;-439;0;0;0
3.549;-460;0;0;0
3.554;-467;0;0;0
3.559;-474;0;0;0
3.564;-481;0;0;0
3.569;-495;0;0;0
3.574;-495;0;0;0
3.579;-495;0;0;0
3.584;-495;0;0;0
3.589;-495;0;0;0
3.594;-488;0;0;0
3.599;-481;0;0;0
3.604;-474;0;0;0
3.609;-467;0;0;0
3.614;-453;0;0;0
3.619;-439;0;0;0
3.624;-418;0;0;0
3.629;-404;0;0;0
3.634;-382;0;0;0
3.639;-368;0;0;0
3.644;-338;0;0;0
3.649;-309;0;0;0
3.654;-286;0;0;0
3.659;-263;0;0;0
3.664;-233;0;0;0
3.669;-202;0;0;0
3.674;-171;0;0;0
3.679;-140;0;0;0
3.684;-109;0;0;0
3.689;-78;0;0;0
3.694;-47;0;0;0
3.699;-15;0;0;0
3.704;15;0;0;0
3.709;47;0;0;0
3.714;78;0;0;0
3.719;109;0;0;0
3.724;140;0;0;0
3.729;171;0;0;0
3.734;202;0;0;0
3.739;225;0;0;0
3.744;248;0;0;0
3.749;271;0;0;0
3.754;294;0;0;0
3.759;316;0;0;0
3.764;323;0;0;0
3.769;331;0;0;0
3.774;331;0;0;0
3.779;323;0;0;0
3.784;323;0;0;0
3.789;316;0;0;0
3.794;309;0;0;0
3.799;294;0;0;0
3.804;286;0;0;0
3.809;271;0;0;0
3.814;263;0;0;0
3.819;248;0;0;0
3.824;233;0;0;0
3.829;218;0;0;0
3.834;202;0;0;0
3.839;179;0;0;0
3.844;171;0;0;0
3.849;148;0;0;0
3.854;125;0;0;0
3.859;109;0;0;0
3.864;86;0;0;0
3.869;62;0;0;0
3.874;47;0;0;0
3.879;15;0;0;0
3.884;0;0;0;0
3.889;-23;0;0;0
3.894;-47;0;0;0
3.899;-62;0;0;0
3.904;-86;0;0;0
3.909;-109;0;0;0
3.914;-125;0;0;0
3.919;-140;0;0;0
3.924;-164;0;0;0
3.929;-179;0;0;0
3.934;-202;0;0;0
3.939;-210;0;0;0
3.944;-225;0;0;0
3.949;-241;0;0;0
3.954;-248;0;0;0
3.959;-263;0;0;0
3.964;-263;0;0;0
3.969;-278;0;0;0
3.974;-286;0;0;0
