t;e;d;i;set

3.689;0;5000;0;0
3.694;0;5000;0;0
3.699;0;5000;0;0
3.704;0;5000;0;0
3.709;0;5000;0;0
3.714;0;5000;0;0
3.719;0;5000;0;0
3.724;0;5000;0;0
3.729;0;5000;0;0
3.734;0;5000;0;0
3.739;0;5000;0;0
3.744;0;5000;0;0
3.749;0;5000;0;0
3.754;0;5000;0;0
3.759;0;5000;0;0
3.764;0;5000;0;0
3.769;0;5000;0;0
3.774;0;5000;0;0
3.779;0;5000;0;0
3.784;0;5000;0;0
3.789;0;5000;0;0
3.794;0;5000;0;0
3.799;0;5000;0;0
3.804;0;5000;0;0
3.809;0;5000;0;0
3.814;0;5000;0;0
3.819;0;5000;0;0
3.824;0;5000;0;0
3.829;0;5000;0;0
3.834;0;5000;0;0
3.839;0;5000;0;0
3.844;0;5000;0;0
3.849;0;5000;0;0
3.854;0;5000;0;0
3.859;0;5000;0;0
3.864;0;5000;0;0
3.869;0;5000;0;0
3.874;0;5000;0;0
3.879;0;5000;0;0
3.884;0;5000;0;0
3.889;0;5000;0;0
3.894;0;5000;0;0
3.899;0;5000;0;0
3.904;0;5000;0;0
3.909;0;5000;0;0
3.914;0;5000;0;0
3.919;0;5000;0;0
3.924;0;5000;0;0
3.929;0;5000;0;0
3.934;0;5000;0;0
3.939;0;5000;0;0
3.944;0;5000;0;0
3.949;0;5000;0;0
3.954;0;5000;0;0
3.959;0;5000;0;0
3.964;0;5000;0;0
3.969;0;5000;0;0
3.974;0;5000;0;0
3.979;0;5000;0;0
3.984;0;5000;0;0
3.989;0;5000;0;0
3.994;0;5000;0;0
3.999;0;5000;0;0
4.004;0;5000;0;0
4.009;0;5000;0;0
4.014;0;5000;0;0
4.019;0;5000;0;0
4.024;0;5000;0;0
4.029;0;5000;0;0
4.034;0;5000;0;0
4.039;0;5000;0;0
4.044;0;5000;0;0
4.049;0;5000;0;0
4.054;0;5000;0;0
4.059;0;5000;0;0
4.064;0;5000;0;0
4.069;0;5000;0;0
4.074;0;5000;0;0
4.079;0;5000;0;0
4.084;0;5000;0;0
4.089;0;5000;0;0
4.094;0;5000;0;0
4.099;0;5000;0;0
4.104;0;5000;0;0
4.109;0;5000;0;0
4.114;0;5000;0;0
4.119;0;5000;0;0
4.124;0;5000;0;0
4.129;0;5000;0;0
4.134;0;5000;0;0
4.139;0;5000;0;0
4.144;0;5000;0;0
4.149;0;5000;0;0
4.154;0;5000;0;0
4.159;0;5000;0;0
4.164;0;5000;0;0
4.169;0;5000;0;0
4.174;0;5000;0;0
4.179;0;5000;0;0
4.184;0;5000;0;0
4.189;0;5000;0;0
4.194;0;5000;0;0
4.199;0;5000;0;0
4.204;0;5000;0;0
4.209;0;5000;0;0
4.214;0;5000;0;0
4.219;0;5000;0;0
4.224;0;5000;0;0
4.229;0;5000;0;0
4.234;0;5000;0;0
4.239;0;5000;0;0
4.244;0;5000;0;0
4.249;0;5000;0;0
4.254;0;5000;0;0
4.259;0;5000;0;0
4.264;0;5000;0;0
4.269;0;5000;0;0
4.274;0;5000;0;0
4.279;0;5000;0;0
4.284;0;5000;0;0
4.289;0;5000;0;0
4.294;0;5000;0;0
4.299;0;5000;0;0
4.304;0;5000;0;0
4.309;0;5000;0;0
4.314;0;5000;0;0
4.319;0;5000;0;0
4.324;0;5000;0;0
4.329;0;5000;0;0
4.334;0;5000;0;0
4.339;0;5000;0;0
4.344;0;5000;0;0
4.349;0;5000;0;0
4.354;0;5000;0;0
4.359;0;5000;0;0
4.364;0;5000;0;0
4.369;0;5000;0;0
4.374;0;5000;0;0
4.379;0;5000;0;0
4.384;0;5000;0;0
4.389;0;5000;0;0
4.394;0;5000;0;0
4.399;0;5000;0;0
4.404;0;5000;0;0
4.409;0;5000;0;0
4.414;0;5000;0;0
4.419;0;5000;0;0
4.424;0;5000;0;0
4.429;0;5000;0;0
4.434;0;5000;0;0
4.439;0;5000;0;0
4.444;-15;5000;0;0
4.449;-39;5000;0;0
4.454;-125;5000;0;0
4.459;-179;5000;0;0
4.464;-263;5000;0;0
4.469;-331;5000;0;0
4.474;-404;5000;0;0
4.479;-467;5000;0;0
4.484;-522;5000;0;0
4.489;-581;5000;0;0
4.494;-631;5000;0;0
4.499;-673;5000;0;0
4.504;-718;5000;0;0
4.509;-760;5000;0;0
4.514;-790;5000;0;0
4.519;-818;5000;0;0
4.524;-844;5000;0;0
4.529;-864;5000;0;0
4.534;-880;5000;0;0
4.539;-894;5000;0;0
4.544;-908;5000;0;0
4.549;-914;5000;0;0
4.554;-920;5000;0;0
4.559;-923;5000;0;0
4.564;-929;5000;0;0
4.569;-929;5000;0;0
4.574;-929;5000;0;0
4.579;-929;5000;0;0
4.584;-923;2;0;0
4.589;-920;2;0;0
4.594;-911;11;0;0
4.599;-904;10;0;0
4.604;-894;13;0;0
4.609;-876;20;0;0
4.614;-856;21;0;0
4.619;-840;19;0;0
4.624;-818;30;0;0
4.629;-785;33;0;0
4.634;-755;29;0;0
4.639;-718;40;0;0
4.644;-678;36;0;0
4.649;-625;48;0;0
4.654;-581;38;0;0
4.659;-529;40;0;0
4.664;-467;47;0;0
4.669;-411;49;0;0
4.674;-353;40;0;0
4.679;-278;43;0;0
4.684;-210;47;0;0
4.689;-140;47;0;0
4.694;-62;43;0;0
4.699;15;58;0;0
4.704;86;44;0;0
4.709;156;40;0;0
4.714;233;60;0;0
4.719;301;41;0;0
4.724;360;40;0;0
4.729;425;43;0;0
4.734;495;54;0;0
4.739;549;43;0;0
4.744;594;35;0;0
4.749;637;30;0;0
4.754;673;34;0;0
4.759;718;39;0;0
4.764;750;27;0;0
4.769;780;28;0;0
4.774;804;23;0;0
4.779;822;20;0;0
4.784;840;17;0;0
4.789;856;19;0;0
4.794;868;17;0;0
4.799;880;12;0;0
4.804;887;11;0;0
4.809;894;8;0;0
4.814;898;8;0;0
4.819;898;6;0;0
4.824;898;6;0;0
4.829;898;5;0;0
4.834;894;5000;0;0
4.839;887;5000;0;0
4.844;880;5000;0;0
4.849;868;5000;0;0
4.854;856;5000;0;0
4.859;840;5000;0;0
4.864;822;5000;0;0
4.869;799;5000;0;0
4.874;780;5000;0;0
4.879;750;5000;0;0
4.884;718;5000;0;0
4.889;678;5000;0;0
4.894;637;5000;0;0
4.899;594;5000;0;0
4.904;549;5000;0;0
4.909;495;5000;0;0
4.914;439;5000;0;0
4.919;375;5000;0;0
4.924;309;5000;0;0
4.929;248;5000;0;0
4.934;179;5000;0;0
4.939;109;5000;0;0
4.944;39;5000;0;0
4.949;-31;5000;0;0
4.954;-101;5000;0;0
4.959;-171;5000;0;0
4.964;-241;5000;0;0
4.969;-301;5000;0;0
4.974;-360;5000;0;0
4.979;-425;5000;0;0
4.984;-474;5000;0;0
4.989;-529;5000;0;0
4.994;-575;5000;0;0
4.999;-619;5000;0;0
