t;e;d;i;set

2.049;-148;-2;0;0
2.054;-140;2;0;0
2.059;-140;2;0;0
2.064;-140;2;0;0
2.069;-140;2;0;0
2.074;-133;1;0;0
2.079;-125;1;0;0
2.084;-125;1;0;0
2.089;-109;3;0;0
2.094;-109;3;0;0
2.099;-101;3;0;0
2.104;-94;3;0;0
2.109;-86;3;0;0
2.114;-78;9;0;0
2.119;-70;7;0;0
2.124;-54;6;0;0
2.129;-47;6;0;0
2.134;-39;4;0;0
2.139;-31;4;0;0
2.144;-23;4;0;0
2.149;-15;5;0;0
2.154;-7;4;0;0
2.159;0;4;0;0
2.164;15;6;0;0
2.169;15;5;0;0
2.174;31;4;0;0
2.179;39;5;0;0
2.184;47;6;0;0
2.189;54;4;0;0
2.194;62;4;0;0
2.199;70;4;0;0
2.204;78;9;0;0
2.209;78;8;0;0
2.214;86;5;0;0
2.219;94;6;0;0
2.224;101;6;0;0
2.229;109;3;0;0
2.234;109;3;0;0
2.239;109;3;0;0
2.244;109;3;0;0
2.249;117;2;0;0
2.254;117;1;0;0
2.259;117;1;0;0
2.264;117;1;0;0
2.269;117;1;0;0
2.274;117;1;0;0
2.279;117;1;0;0
2.284;117;1;0;0
2.289;117;1;0;0
2.294;109;-1;0;0
2.299;109;-1;0;0
2.304;109;-1;0;0
2.309;109;-1;0;0
2.314;101;-1;0;0
2.319;94;-1;0;0
2.324;94;-1;0;0
2.329;86;-2;0;0
2.334;78;-3;0;0
2.339;78;-2;0;0
2.344;70;-3;0;0
2.349;62;-3;0;0
2.354;54;-4;0;0
2.359;47;-4;0;0
2.364;47;-4;0;0
2.369;39;-4;0;0
2.374;31;-3;0;0
2.379;15;-5;0;0
2.384;15;-4;0;0
2.389;7;-4;0;0
2.394;0;-3;0;0
2.399;-7;-4;0;0
2.404;-15;-4;0;0
2.409;-15;-4;0;0
2.414;-23;-3;0;0
2.419;-31;-2;0;0
2.424;-39;-3;0;0
2.429;-47;-3;0;0
2.434;-47;-3;0;0
2.439;-47;-3;0;0
2.444;-54;-3;0;0
2.449;-62;-2;0;0
2.454;-62;-2;0;0
2.459;-70;-2;0;0
2.464;-78;-2;0;0
2.469;-78;-2;0;0
2.474;-78;-2;0;0
2.479;-78;-2;0;0
2.484;-78;-2;0;0
2.489;-78;-2;0;0
2.494;-78;-2;0;0
2.499;-78;-2;0;0
2.504;-78;-2;0;0
2.509;-78;-2;0;0
2.514;-78;-2;0;0
2.519;-78;-2;0;0
2.524;-78;-2;0;0
2.529;-78;-2;0;0
2.534;-78;-2;0;0
2.539;-70;1;0;0
2.544;-70;1;0;0
2.549;-62;1;0;0
2.554;-62;1;0;0
2.559;-62;1;0;0
2.564;-54;1;0;0
2.569;-54;1;0;0
2.574;-47;1;0;0
2.579;-47;1;0;0
2.584;-47;1;0;0
2.589;-47;1;0;0
2.594;-47;1;0;0
2.599;-39;1;0;0
2.604;-39;1;0;0
2.609;-31;1;0;0
2.614;-31;1;0;0
2.619;-23;1;0;0
2.624;-23;1;0;0
2.629;-15;2;0;0
2.634;-15;2;0;0
2.639;-15;2;0;0
2.644;-15;2;0;0
2.649;-7;1;0;0
2.654;0;1;0;0
2.659;0;1;0;0
2.664;7;2;0;0
2.669;7;2;0;0
2.674;15;5;0;0
2.679;15;4;0;0
2.684;15;4;0;0
2.689;23;3;0;0
2.694;23;2;0;0
2.699;31;3;0;0
2.704;31;3;0;0
2.709;39;4;0;0
2.714;39;3;0;0
2.719;47;2;0;0
2.724;47;2;0;0
2.729;47;2;0;0
2.734;47;2;0;0
2.739;47;2;0;0
2.744;47;1;0;0
2.749;47;1;0;0
2.754;47;1;0;0
2.759;47;1;0;0
2.764;47;1;0;0
2.769;47;1;0;0
2.774;47;1;0;0
2.779;47;1;0;0
2.784;47;1;0;0
2.789;47;1;0;0
2.794;47;1;0;0
2.799;47;1;0;0
2.804;47;1;0;0
2.809;39;-4;0;0
2.814;39;-4;0;0
2.819;31;-2;0;0
2.824;31;-2;0;0
2.829;31;-2;0;0
2.834;23;-1;0;0
2.839;23;-1;0;0
2.844;23;-1;0;0
2.849;15;-1;0;0
2.854;15;-1;0;0
2.859;15;-1;0;0
2.864;15;-1;0;0
2.869;7;-1;0;0
2.874;7;-1;0;0
2.879;0;-1;0;0
2.884;0;-1;0;0
2.889;0;-1;0;0
2.894;-7;-1;0;0
2.899;-7;-1;0;0
2.904;-7;-1;0;0
2.909;-15;-1;0;0
2.914;-15;-1;0;0
2.919;-15;-1;0;0
2.924;-15;-1;0;0
2.929;-15;-1;0;0
2.934;-15;-1;0;0
2.939;-15;-1;0;0
2.944;-15;-1;0;0
2.949;-15;-1;0;0
2.954;-15;-1;0;0
2.959;-15;-1;0;0
2.964;-15;-1;0;0
2.969;-15;-1;0;0
2.974;-15;-1;0;0
2.979;-15;-1;0;0
2.984;-15;-1;0;0
2.989;-15;-1;0;0
2.994;-15;-1;0;0
2.999;-15;-1;0;0
3.004;-15;-1;0;0
3.009;-15;-1;0;0
3.014;-15;-1;0;0
3.019;-15;-1;0;0
3.024;-15;-1;0;0
3.029;-15;-1;0;0
3.034;-15;-1;0;0
3.039;-15;-1;0;0
3.044;-7;1;0;0
3.049;-7;1;0;0
3.054;-7;1;0;0
3.059;-7;1;0;0
3.064;0;1;0;0
3.069;-7;-2;0;0
3.074;-15;-2;0;0
3.079;-31;-5;0;0
3.084;-47;-11;0;0
3.089;-78;-16;0;0
3.094;-109;-20;0;0
3.099;-125;-12;0;0
3.104;-156;-13;0;0
3.109;-171;-13;0;0
3.114;-202;-17;0;0
3.119;-218;-11;0;0
3.124;-233;-11;0;0
3.129;-256;-11;0;0
3.134;-271;-11;0;0
3.139;-294;-12;0;0
3.144;-301;-9;0;0
3.149;-316;-8;0;0
3.154;-323;-7;0;0
3.159;-338;-6;0;0
3.164;-346;-11;0;0
3.169;-353;-9;0;0
3.174;-360;-5;0;0
3.179;-360;-4;0;0
3.184;-360;-4;0;0
3.189;-360;-3;0;0
3.194;-360;-3;0;0
3.199;-360;-3;0;0
3.204;-353;2;0;0
3.209;-346;1;0;0
3.214;-338;2;0;0
3.219;-331;4;0;0
3.224;-323;5;0;0
3.229;-309;6;0;0
3.234;-294;9;0;0
3.239;-278;8;0;0
3.244;-263;11;0;0
3.249;-248;9;0;0
3.254;-233;11;0;0
3.259;-210;11;0;0
3.264;-187;11;0;0
3.269;-164;15;0;0
3.274;-140;15;0;0
3.279;-125;10;0;0
3.284;-101;12;0;0
3.289;-78;15;0;0
3.294;-47;19;0;0
3.299;-23;13;0;0
3.304;0;12;0;0
3.309;23;14;0;0
3.314;47;18;0;0
3.319;78;18;0;0
3.324;94;11;0;0
3.329;117;21;0;0
3.334;140;15;0;0
3.339;164;14;0;0
3.344;187;13;0;0
3.349;202;13;0;0
3.354;218;9;0;0
3.359;233;10;0;0
3.364;248;8;0;0
3.369;263;9;0;0
3.374;278;8;0;0
3.379;294;9;0;0
3.384;309;7;0;0
3.389;316;6;0;0
3.394;323;6;0;0
3.399;331;5;0;0
3.404;338;4;0;0
3.409;338;3;0;0
3.414;338;3;0;0
3.419;338;3;0;0
3.424;338;3;0;0
3.429;338;2;0;0
3.434;338;2;0;0
3.439;331;-7;0;0
3.444;323;-2;0;0
3.449;316;-2;0;0
3.454;309;-3;0;0
3.459;294;-6;0;0
3.464;278;-7;0;0
3.469;263;-9;0;0
3.474;256;-8;0;0
3.479;233;-11;0;0
3.484;225;-9;0;0
3.489;210;-9;0;0
3.494;187;-10;0;0
3.499;171;-12;0;0
3.504;148;-13;0;0
3.509;125;-11;0;0
3.514;109;-12;0;0
3.519;86;-11;0;0
3.524;62;-10;0;0
3.529;39;-15;0;0
3.534;15;-15;0;0
3.539;-7;-14;0;0
3.544;-23;-12;0;0
3.549;-47;-12;0;0
3.554;-70;-14;0;0
3.559;-94;-12;0;0
3.564;-109;-22;0;0
3.569;-133;-12;0;0
3.574;-148;-11;0;0
3.579;-171;-11;0;0
3.584;-187;-9;0;0
3.589;-202;-11;0;0
3.594;-218;-8;0;0
3.599;-233;-8;0;0
3.604;-241;-7;0;0
