t;e;d;i;set

1.089;0;20;0;0
1.094;0;20;0;0
1.099;0;20;0;0
1.104;0;20;0;0
1.109;0;20;0;0
1.114;0;20;0;0
1.119;0;20;0;0
1.124;0;20;0;0
1.129;0;20;0;0
1.134;0;20;0;0
1.139;0;20;0;0
1.144;0;20;0;0
1.149;0;20;0;0
1.154;0;20;0;0
1.159;0;20;0;0
1.164;0;20;0;0
1.169;0;20;0;0
1.174;0;20;0;0
1.179;0;20;0;0
1.184;0;20;0;0
1.189;0;20;0;0
1.194;0;20;0;0
1.199;0;20;0;0
1.204;0;20;0;0
1.209;0;20;0;0
1.214;0;20;0;0
1.219;0;20;0;0
1.224;0;20;0;0
1.229;0;20;0;0
1.234;0;20;0;0
1.239;0;20;0;0
1.244;0;20;0;0
1.249;0;20;0;0
1.254;0;20;0;0
1.259;0;20;0;0
1.264;0;20;0;0
1.269;0;20;0;0
1.274;0;20;0;0
1.279;0;20;0;0
1.284;0;20;0;0
1.289;0;20;0;0
1.294;0;20;0;0
1.299;0;20;0;0
1.304;0;20;0;0
1.309;0;20;0;0
1.314;0;20;0;0
1.319;0;20;0;0
1.324;0;20;0;0
1.329;0;20;0;0
1.334;0;20;0;0
1.339;0;20;0;0
1.344;0;20;0;0
1.349;0;20;0;0
1.354;0;20;0;0
1.359;0;20;0;0
1.364;0;20;0;0
1.369;0;20;0;0
1.374;0;20;0;0
1.379;0;20;0;0
1.384;0;20;0;0
1.389;0;20;0;0
1.394;0;20;0;0
1.399;0;20;0;0
1.404;0;20;0;0
1.409;0;20;0;0
1.414;0;20;0;0
1.419;0;20;0;0
1.424;0;20;0;0
1.429;0;20;0;0
1.434;0;20;0;0
1.439;0;20;0;0
1.444;0;20;0;0
1.449;0;20;0;0
1.454;0;20;0;0
1.459;0;20;0;0
1.464;0;20;0;0
1.469;0;20;0;0
1.474;0;20;0;0
1.479;0;20;0;0
1.484;0;20;0;0
1.489;0;20;0;0
1.494;0;20;0;0
1.499;0;20;0;0
1.504;0;20;0;0
1.509;0;20;0;0
1.514;0;20;0;0
1.519;0;20;0;0
1.524;0;20;0;0
1.529;0;20;0;0
1.534;0;20;0;0
1.539;0;20;0;0
1.544;0;20;0;0
1.549;0;20;0;0
1.554;0;20;0;0
1.559;0;20;0;0
1.564;0;20;0;0
1.569;0;20;0;0
1.574;0;20;0;0
1.579;0;20;0;0
1.584;0;20;0;0
1.589;0;20;0;0
1.594;0;20;0;0
1.599;0;20;0;0
1.604;0;20;0;0
1.609;0;20;0;0
1.614;0;20;0;0
1.619;0;20;0;0
1.624;0;20;0;0
1.629;0;20;0;0
1.634;0;20;0;0
1.639;0;20;0;0
1.644;0;20;0;0
1.649;0;20;0;0
1.654;0;20;0;0
1.659;0;20;0;0
1.664;0;20;0;0
1.669;0;20;0;0
1.674;0;20;0;0
1.679;0;20;0;0
1.684;0;20;0;0
1.689;0;20;0;0
1.694;0;20;0;0
1.699;0;20;0;0
1.704;0;20;0;0
1.709;0;20;0;0
1.714;0;20;0;0
1.719;0;20;0;0
1.724;0;20;0;0
1.729;0;20;0;0
1.734;0;20;0;0
1.739;0;20;0;0
1.744;0;20;0;0
1.749;0;20;0;0
1.754;0;20;0;0
1.759;0;20;0;0
1.764;0;20;0;0
1.769;0;20;0;0
1.774;0;20;0;0
1.779;0;20;0;0
1.784;0;20;0;0
1.789;0;20;0;0
1.794;0;20;0;0
1.799;0;20;0;0
1.804;0;20;0;0
1.809;0;20;0;0
1.814;0;20;0;0
1.819;0;20;0;0
1.824;0;20;0;0
1.829;0;20;0;0
1.834;0;20;0;0
1.839;0;20;0;0
1.844;0;20;0;0
1.849;0;20;0;0
1.854;0;20;0;0
1.859;0;20;0;0
1.864;0;20;0;0
1.869;0;20;0;0
1.874;0;20;0;0
1.879;0;20;0;0
1.884;0;20;0;0
1.889;0;20;0;0
1.894;0;20;0;0
1.899;0;20;0;0
1.904;0;20;0;0
1.909;0;20;0;0
1.914;0;20;0;0
1.919;0;20;0;0
1.924;0;20;0;0
1.929;0;20;0;0
1.934;0;20;0;0
1.939;0;20;0;0
1.944;0;20;0;0
1.949;0;20;0;0
1.954;0;20;0;0
1.959;0;20;0;0
1.964;0;20;0;0
1.969;0;20;0;0
1.974;0;20;0;0
1.979;0;20;0;0
1.984;0;20;0;0
1.989;0;20;0;0
1.994;0;20;0;0
1.999;0;20;0;0
2.004;7;20;0;0
2.009;23;5000;0;0
2.014;31;5000;0;0
2.019;62;-73;0;0
2.024;86;121;0;0
2.029;109;-62;0;0
2.034;148;-136;0;0
2.039;195;174;0;0
2.044;241;225;0;0
2.049;301;326;0;0
2.054;368;-155;0;0
2.059;446;367;0;0
