t;e;d;i;set

3.264;331;5447;0;0
3.269;375;5475;0;0
3.274;411;5258;0;0
3.279;439;5135;0;0
3.284;474;5088;0;0
3.289;502;4952;0;0
3.294;529;4669;0;0
3.299;555;4406;0;0
3.304;575;4210;0;0
3.309;594;3912;0;0
3.314;606;3663;0;0
3.319;625;3506;0;0
3.324;637;3268;0;0
3.329;643;3017;0;0
3.334;649;2739;0;0
3.339;649;2423;0;0
3.344;649;2121;0;0
3.349;649;1847;0;0
3.354;649;1606;0;0
3.359;649;1394;0;0
3.364;637;996;0;0
3.369;625;593;0;0
3.374;612;235;0;0
3.379;600;-172;0;0
3.384;581;-576;0;0
3.389;562;-921;0;0
3.394;542;-1316;0;0
3.399;515;-1633;0;0
3.404;488;-1982;0;0
3.409;460;-2282;0;0
3.414;425;-2690;0;0
3.419;389;-3089;0;0
3.424;360;-3339;0;0
3.429;323;-3632;0;0
3.434;278;-3952;0;0
3.439;233;-4262;0;0
3.444;195;-4410;0;0
3.449;148;-4582;0;0
3.454;109;-4795;0;0
3.459;62;-4927;0;0
3.464;15;-5018;0;0
3.469;-31;-5146;0;0
3.474;-78;-5197;0;0
3.479;-125;-5273;0;0
3.484;-171;-5273;0;0
3.489;-218;-5225;0;0
3.494;-263;-5169;0;0
3.499;-294;-5132;0;0
3.504;-338;-4996;0;0
3.509;-375;-4892;0;0
3.514;-411;-4785;0;0
3.519;-439;-4627;0;0
3.524;-467;-4494;0;0
3.529;-495;-4340;0;0
3.534;-515;-4081;0;0
3.539;-535;-3932;0;0
3.544;-555;-3702;0;0
3.549;-575;-3449;0;0
3.554;-587;-3211;0;0
3.559;-594;-2997;0;0
3.564;-600;-2786;0;0
3.569;-606;-2504;0;0
3.574;-612;-2285;0;0
3.579;-612;-2067;0;0
3.584;-606;-1665;0;0
3.589;-600;-1297;0;0
3.594;-600;-1002;0;0
3.599;-587;-630;0;0
3.604;-575;-227;0;0
3.609;-562;28;0;0
3.614;-549;429;0;0
3.619;-535;736;0;0
3.624;-515;1091;0;0
3.629;-495;1452;0;0
3.634;-474;1741;0;0
3.639;-446;1996;0;0
3.644;-411;2308;0;0
3.649;-382;2597;0;0
3.654;-353;2767;0;0
3.659;-323;3132;0;0
3.664;-286;3420;0;0
3.669;-256;3583;0;0
3.674;-218;3833;0;0
3.679;-171;4092;0;0
3.684;-133;4511;0;0
3.689;-94;4622;0;0
3.694;-47;4667;0;0
3.699;-15;4793;0;0
3.704;31;4821;0;0
3.709;70;4829;0;0
3.714;109;4837;0;0
3.719;148;4849;0;0
3.724;187;4809;0;0
3.729;225;4794;0;0
3.734;256;4682;0;0
3.739;294;4673;0;0
3.744;323;4634;0;0
3.749;353;4558;0;0
3.754;382;4379;0;0
3.759;404;4246;0;0
3.764;425;4129;0;0
3.769;446;3948;0;0
3.774;467;3794;0;0
3.779;481;3569;0;0
3.784;495;3410;0;0
3.789;509;3248;0;0
3.794;522;3054;0;0
3.799;529;2781;0;0
3.804;535;2553;0;0
3.809;535;2307;0;0
3.814;535;2041;0;0
3.819;535;1792;0;0
3.824;535;1566;0;0
3.829;529;1313;0;0
3.834;522;939;0;0
3.839;515;651;0;0
3.844;502;235;0;0
3.849;488;-135;0;0
3.854;474;-510;0;0
3.859;453;-772;0;0
3.864;439;-1144;0;0
3.869;411;-1443;0;0
3.874;397;-1720;0;0
3.879;368;-1936;0;0
3.884;346;-2221;0;0
3.889;309;-2542;0;0
3.894;278;-2773;0;0
3.899;248;-3084;0;0
3.904;218;-3303;0;0
3.909;179;-3499;0;0
3.914;148;-3682;0;0
3.919;109;-3847;0;0
3.924;78;-4026;0;0
3.929;47;-4141;0;0
3.934;0;-4216;0;0
3.939;-39;-4329;0;0
3.944;-78;-4335;0;0
3.949;-109;-4438;0;0
3.954;-140;-4503;0;0
3.959;-179;-4501;0;0
3.964;-218;-4458;0;0
3.969;-248;-4449;0;0
3.974;-278;-4426;0;0
3.979;-309;-4274;0;0
3.984;-331;-4181;0;0
3.989;-360;-4041;0;0
3.994;-389;-3951;0;0
3.999;-411;-3863;0;0
4.004;-425;-3678;0;0
4.009;-439;-3613;0;0
4.014;-467;-3501;0;0
4.019;-467;-3251;0;0
4.024;-481;-3027;0;0
4.029;-495;-2860;0;0
4.034;-495;-2610;0;0
4.039;-502;-2338;0;0
4.044;-502;-2090;0;0
4.049;-509;-1884;0;0
4.054;-502;-1501;0;0
4.059;-495;-1210;0;0
4.064;-495;-905;0;0
4.069;-488;-701;0;0
4.074;-481;-350;0;0
4.079;-467;-24;0;0
4.084;-460;223;0;0
4.089;-439;648;0;0
4.094;-425;970;0;0
4.099;-411;1267;0;0
4.104;-382;1541;0;0
4.109;-368;1794;0;0
4.114;-338;2138;0;0
4.119;-309;2531;0;0
4.124;-286;2759;0;0
4.129;-263;2987;0;0
4.134;-233;3254;0;0
4.139;-202;3425;0;0
4.144;-171;3630;0;0
4.149;-140;3783;0;0
4.154;-109;3903;0;0
4.159;-70;4095;0;0
4.164;-31;4159;0;0
4.169;0;4135;0;0
4.174;23;4112;0;0
4.179;62;4174;0;0
4.184;94;4217;0;0
4.189;125;4271;0;0
4.194;156;4199;0;0
4.199;179;4143;0;0
4.204;210;4085;0;0
4.209;233;4062;0;0
4.214;263;4112;0;0
4.219;294;3982;0;0
4.224;309;3896;0;0
4.229;331;3741;0;0
4.234;353;3695;0;0
4.239;368;3558;0;0
4.244;382;3432;0;0
4.249;397;3248;0;0
4.254;411;3084;0;0
4.259;418;2836;0;0
4.264;425;2682;0;0
4.269;432;2528;0;0
4.274;439;2352;0;0
4.279;439;2114;0;0
4.284;439;1871;0;0
4.289;439;1644;0;0
4.294;439;1440;0;0
4.299;432;1144;0;0
4.304;425;783;0;0
4.309;411;456;0;0
4.314;411;184;0;0
4.319;397;-105;0;0
4.324;382;-490;0;0
4.329;368;-822;0;0
4.334;346;-1120;0;0
4.339;323;-1449;0;0
4.344;309;-1677;0;0
4.349;294;-1915;0;0
4.354;263;-2232;0;0
4.359;241;-2632;0;0
4.364;218;-2745;0;0
4.369;187;-2888;0;0
4.374;164;-3062;0;0
4.379;140;-3185;0;0
4.384;109;-3384;0;0
4.389;78;-3547;0;0
4.394;47;-3636;0;0
4.399;15;-3698;0;0
4.404;-15;-3753;0;0
4.409;-39;-3838;0;0
4.414;-70;-3801;0;0
4.419;-101;-3748;0;0
4.424;-125;-3836;0;0
4.429;-156;-3919;0;0
4.434;-179;-3961;0;0
4.439;-210;-3903;0;0
4.444;-233;-3867;0;0
4.449;-256;-3807;0;0
4.454;-278;-3592;0;0
4.459;-294;-3549;0;0
4.464;-316;-3537;0;0
4.469;-331;-3361;0;0
4.474;-353;-3266;0;0
4.479;-368;-3182;0;0
4.484;-382;-3108;0;0
4.489;-382;-2851;0;0
4.494;-397;-2566;0;0
4.499;-404;-2457;0;0
4.504;-404;-2260;0;0
4.509;-411;-2081;0;0
4.514;-411;-1866;0;0
4.519;-411;-1651;0;0
4.524;-411;-1452;0;0
4.529;-404;-1225;0;0
4.534;-397;-933;0;0
4.539;-389;-657;0;0
4.544;-382;-287;0;0
4.549;-375;-72;0;0
4.554;-368;269;0;0
4.559;-346;709;0;0
4.564;-323;1101;0;0
4.569;-316;1252;0;0
4.574;-294;1505;0;0
4.579;-278;1685;0;0
4.584;-263;1901;0;0
4.589;-241;2116;0;0
4.594;-218;2298;0;0
4.599;-195;2594;0;0
4.604;-171;2838;0;0
4.609;-148;2935;0;0
4.614;-125;2996;0;0
4.619;-94;3214;0;0
4.624;-62;3410;0;0
4.629;-47;3424;0;0
4.634;-15;3410;0;0
4.639;0;3612;0;0
4.644;31;3713;0;0
4.649;62;3761;0;0
4.654;86;3745;0;0
4.659;109;3755;0;0
4.664;125;3696;0;0
4.669;156;3650;0;0
4.674;171;3654;0;0
4.679;195;3555;0;0
4.684;210;3393;0;0
4.689;233;3398;0;0
4.694;248;3365;0;0
4.699;263;3267;0;0
4.704;278;3144;0;0
4.709;294;3000;0;0
4.714;301;2782;0;0
4.719;316;2651;0;0
4.724;323;2658;0;0
4.729;331;2409;0;0
4.734;338;2239;0;0
4.739;338;2070;0;0
4.744;338;1854;0;0
4.749;346;1682;0;0
4.754;338;1449;0;0
4.759;338;1159;0;0
4.764;338;932;0;0
4.769;331;641;0;0
4.774;323;269;0;0
4.779;316;95;0;0
4.784;309;-212;0;0
4.789;294;-467;0;0
4.794;286;-659;0;0
4.799;271;-909;0;0
4.804;256;-1091;0;0
4.809;241;-1339;0;0
4.814;225;-1503;0;0
4.819;202;-1739;0;0
4.824;187;-1843;0;0
4.829;171;-2082;0;0
4.834;148;-2245;0;0
4.839;133;-2366;0;0
4.844;109;-2523;0;0
4.849;86;-2643;0;0
4.854;70;-2719;0;0
