t;e;d;i;set

1.599;0;5000;0;0
1.604;0;5000;0;0
1.609;0;5000;0;0
1.614;0;5000;0;0
1.619;0;5000;0;0
1.624;0;5000;0;0
1.629;0;5000;0;0
1.634;0;5000;0;0
1.639;0;5000;0;0
1.644;0;5000;0;0
1.649;0;5000;0;0
1.654;0;5000;0;0
1.659;0;5000;0;0
1.664;0;5000;0;0
1.669;0;5000;0;0
1.674;0;5000;0;0
1.679;0;5000;0;0
1.684;0;5000;0;0
1.689;0;5000;0;0
1.694;0;5000;0;0
1.699;0;5000;0;0
1.704;0;5000;0;0
1.709;0;5000;0;0
1.714;0;5000;0;0
1.719;0;5000;0;0
1.724;0;5000;0;0
1.729;0;5000;0;0
1.734;0;5000;0;0
1.739;0;5000;0;0
1.744;0;5000;0;0
1.749;0;5000;0;0
1.754;0;5000;0;0
1.759;0;5000;0;0
1.764;0;5000;0;0
1.769;0;5000;0;0
1.774;0;5000;0;0
1.779;0;5000;0;0
1.784;0;5000;0;0
1.789;0;5000;0;0
1.794;0;5000;0;0
1.799;0;5000;0;0
1.804;0;5000;0;0
1.809;0;5000;0;0
1.814;0;5000;0;0
1.819;0;5000;0;0
1.824;0;5000;0;0
1.829;0;5000;0;0
1.834;0;5000;0;0
1.839;0;5000;0;0
1.844;0;5000;0;0
1.849;0;5000;0;0
1.854;0;5000;0;0
1.859;0;5000;0;0
1.864;0;5000;0;0
1.869;0;5000;0;0
1.874;0;5000;0;0
1.879;0;5000;0;0
1.884;0;5000;0;0
1.889;0;5000;0;0
1.894;0;5000;0;0
1.899;0;5000;0;0
1.904;0;5000;0;0
1.909;0;5000;0;0
1.914;0;5000;0;0
1.919;0;5000;0;0
1.924;0;5000;0;0
1.929;0;5000;0;0
1.934;0;5000;0;0
1.939;0;5000;0;0
1.944;0;5000;0;0
1.949;0;5000;0;0
1.954;0;5000;0;0
1.959;0;5000;0;0
1.964;0;5000;0;0
1.969;0;5000;0;0
1.974;0;5000;0;0
1.979;0;5000;0;0
1.984;0;5000;0;0
1.989;0;5000;0;0
1.994;0;5000;0;0
1.999;0;5000;0;0
2.004;0;5000;0;0
2.009;0;5000;0;0
2.014;0;5000;0;0
2.019;0;5000;0;0
2.024;0;5000;0;0
2.029;0;5000;0;0
2.034;0;5000;0;0
2.039;0;5000;0;0
2.044;0;5000;0;0
2.049;0;5000;0;0
2.054;0;5000;0;0
2.059;0;5000;0;0
2.064;0;5000;0;0
2.069;0;5000;0;0
2.074;0;5000;0;0
2.079;0;5000;0;0
2.084;0;5000;0;0
2.089;0;5000;0;0
2.094;0;5000;0;0
2.099;0;5000;0;0
2.104;0;5000;0;0
2.109;0;5000;0;0
2.114;0;5000;0;0
2.119;0;5000;0;0
2.124;0;5000;0;0
2.129;0;5000;0;0
2.134;0;5000;0;0
2.139;0;5000;0;0
2.144;0;5000;0;0
2.149;0;5000;0;0
2.154;0;5000;0;0
2.159;0;5000;0;0
2.164;0;5000;0;0
2.169;0;5000;0;0
2.174;0;5000;0;0
2.179;0;5000;0;0
2.184;0;5000;0;0
2.189;0;5000;0;0
2.194;0;5000;0;0
2.199;0;5000;0;0
2.204;0;5000;0;0
2.209;0;5000;0;0
2.214;0;5000;0;0
2.219;0;5000;0;0
2.224;0;5000;0;0
2.229;0;5000;0;0
2.234;0;5000;0;0
2.239;0;5000;0;0
2.244;0;5000;0;0
2.249;0;5000;0;0
2.254;0;5000;0;0
2.259;0;5000;0;0
2.264;0;5000;0;0
2.269;0;5000;0;0
2.274;0;5000;0;0
2.279;0;5000;0;0
2.284;0;5000;0;0
2.289;0;5000;0;0
2.294;0;5000;0;0
2.299;0;5000;0;0
2.304;0;5000;0;0
2.309;0;5000;0;0
2.314;0;5000;0;0
2.319;0;5000;0;0
2.324;0;5000;0;0
2.329;0;5000;0;0
2.334;0;5000;0;0
2.339;0;5000;0;0
2.344;0;5000;0;0
2.349;0;5000;0;0
2.354;0;5000;0;0
2.359;0;5000;0;0
2.364;0;5000;0;0
2.369;0;5000;0;0
2.374;0;5000;0;0
2.379;0;5000;0;0
2.384;0;5000;0;0
2.389;0;5000;0;0
2.394;0;5000;0;0
2.399;0;5000;0;0
2.404;0;5000;0;0
2.409;0;5000;0;0
2.414;0;5000;0;0
2.419;0;5000;0;0
2.424;0;5000;0;0
2.429;0;5000;0;0
2.434;0;5000;0;0
2.439;0;5000;0;0
2.444;0;5000;0;0
2.449;0;5000;0;0
2.454;0;5000;0;0
2.459;0;5000;0;0
2.464;0;5000;0;0
2.469;0;5000;0;0
2.474;0;5000;0;0
2.479;0;5000;0;0
2.484;0;5000;0;0
2.489;0;5000;0;0
2.494;0;5000;0;0
2.499;0;5000;0;0
2.504;0;5000;0;0
2.509;0;5000;0;0
2.514;0;5000;0;0
2.519;0;5000;0;0
2.524;0;5000;0;0
2.529;0;5000;0;0
2.534;0;5000;0;0
2.539;0;5000;0;0
2.544;0;5000;0;0
2.549;0;5000;0;0
2.554;0;5000;0;0
2.559;0;5000;0;0
2.564;0;5000;0;0
2.569;0;5000;0;0
2.574;0;5000;0;0
2.579;0;5000;0;0
2.584;0;5000;0;0
2.589;0;5000;0;0
2.594;0;5000;0;0
2.599;0;5000;0;0
2.604;0;5000;0;0
2.609;0;5000;0;0
2.614;0;5000;0;0
2.619;0;5000;0;0
2.624;0;5000;0;0
2.629;0;5000;0;0
2.634;0;5000;0;0
2.639;0;5000;0;0
2.644;0;5000;0;0
2.649;0;5000;0;0
2.654;0;5000;0;0
2.659;0;5000;0;0
2.664;0;5000;0;0
2.669;0;5000;0;0
2.674;0;5000;0;0
2.679;0;5000;0;0
2.684;0;5000;0;0
2.689;0;5000;0;0
2.694;0;5000;0;0
2.699;0;5000;0;0
2.704;0;5000;0;0
2.709;0;5000;0;0
2.714;0;5000;0;0
2.719;0;5000;0;0
2.724;0;5000;0;0
2.729;0;5000;0;0
2.734;0;5000;0;0
2.739;0;5000;0;0
2.744;0;5000;0;0
2.749;0;5000;0;0
2.754;0;5000;0;0
2.759;0;5000;0;0
2.764;0;5000;0;0
2.769;0;5000;0;0
2.774;0;5000;0;0
2.779;0;5000;0;0
2.784;0;5000;0;0
2.789;0;5000;0;0
2.794;0;5000;0;0
2.799;0;5000;0;0
2.804;0;5000;0;0
2.809;0;5000;0;0
2.814;0;5000;0;0
2.819;0;5000;0;0
2.824;0;5000;0;0
2.829;0;5000;0;0
2.834;0;5000;0;0
2.839;0;5000;0;0
2.844;0;5000;0;0
2.849;0;5000;0;0
2.854;0;5000;0;0
2.859;0;5000;0;0
2.864;0;5000;0;0
2.869;0;5000;0;0
2.874;0;5000;0;0
2.879;0;5000;0;0
2.884;0;5000;0;0
2.889;0;5000;0;0
2.894;0;5000;0;0
2.899;0;5000;0;0
2.904;0;5000;0;0
2.909;0;5000;0;0
2.914;0;5000;0;0
2.919;0;5000;0;0
2.924;0;5000;0;0
2.929;0;5000;0;0
2.934;0;5000;0;0
2.939;0;5000;0;0
2.944;0;5000;0;0
2.949;0;5000;0;0
2.954;0;5000;0;0
2.959;0;5000;0;0
2.964;0;5000;0;0
2.969;0;5000;0;0
2.974;0;5000;0;0
2.979;0;5000;0;0
2.984;0;5000;0;0
2.989;0;5000;0;0
2.994;0;5000;0;0
2.999;0;5000;0;0
3.004;0;5000;0;0
3.009;0;5000;0;0
3.014;0;5000;0;0
3.019;0;5000;0;0
3.024;0;5000;0;0
3.029;0;5000;0;0
3.034;0;5000;0;0
3.039;0;5000;0;0
3.044;0;5000;0;0
3.049;0;5000;0;0
3.054;0;5000;0;0
3.059;0;5000;0;0
3.064;0;5000;0;0
3.069;0;5000;0;0
3.074;0;5000;0;0
3.079;0;5000;0;0
3.084;0;5000;0;0
3.089;0;5000;0;0
3.094;0;5000;0;0
3.099;0;5000;0;0
3.104;0;5000;0;0
3.109;0;5000;0;0
3.114;0;5000;0;0
3.119;0;5000;0;0
3.124;0;5000;0;0
3.129;0;5000;0;0
3.134;0;5000;0;0
3.139;0;5000;0;0
3.144;0;5000;0;0
3.149;0;5000;0;0
3.154;0;5000;0;0
3.159;0;5000;0;0
3.164;0;5000;0;0
3.169;0;5000;0;0
3.174;0;5000;0;0
3.179;0;5000;0;0
3.184;0;5000;0;0
3.189;0;5000;0;0
3.194;0;5000;0;0
3.199;0;5000;0;0
3.204;0;5000;0;0
3.209;0;5000;0;0
3.214;0;5000;0;0
3.219;0;5000;0;0
3.224;0;5000;0;0
3.229;0;5000;0;0
3.234;0;5000;0;0
3.239;0;5000;0;0
3.244;0;5000;0;0
3.249;0;5000;0;0
3.254;0;5000;0;0
3.259;0;5000;0;0
3.264;0;5000;0;0
3.269;-7;-0.78125;0;0
3.274;-7;-0.78125;0;0
3.279;-15;-0.390625;0;0
3.284;-15;-0.390625;0;0
3.289;-23;-0.4767353165522502;0;0
3.294;-23;-0.4767353165522502;0;0
3.299;-31;-0.6332320162107397;0;0
3.304;-39;-0.7090187180941577;0;0
3.309;-47;-0.9667440061871616;0;0
3.314;-54;-1.3950892857142858;0;0
3.319;-70;-2.7114967462039044;0;0
3.324;-78;-1.6611295681063123;0;0
3.329;-86;-2.172024326672459;0;0
3.334;-101;-1.6233766233766234;0;0
3.339;-117;-2.705627705627706;0;0
3.344;-133;-2.00160128102482;0;0
3.349;-148;-5.668934240362812;0;0
3.354;-164;-4.2087542087542085;0;0
3.359;-179;-3.0525030525030523;0;0
3.364;-202;-3.2175032175032174;0;0
3.369;-218;-2.983293556085919;0;0
3.374;-241;-13.054830287206267;0;0
3.379;-256;-2.808988764044944;0;0
3.384;-271;-6.157635467980295;0;0
3.389;-286;-2.3496240601503757;0;0
3.394;-309;-12.987012987012987;0;0
3.399;-323;-2.955082742316785;0;0
3.404;-338;-2.5;0;0
3.409;-353;-2.6824034334763946;0;0
3.414;-368;-2.793296089385475;0;0
3.419;-382;-2.4801587301587302;0;0
3.424;-397;-2.4801587301587302;0;0
3.429;-418;-11.82033096926714;0;0
3.434;-425;-2.310536044362292;0;0
3.439;-439;-2.2872827081427265;0;0
3.444;-453;-9.25925925925926;0;0
3.449;-467;-8.9126559714795;0;0
3.454;-474;-2.3832221163012393;0;0
3.459;-488;-3.4965034965034967;0;0
3.464;-495;-1.9157088122605364;0;0
3.469;-502;-2.074688796680498;0;0
3.474;-515;-1.6160310277957337;0;0
3.479;-522;-1.6688918558077437;0;0
3.484;-529;-1.5762925598991173;0;0
3.489;-535;-1.2537612838515546;0;0
3.494;-542;-1.08038029386344;0;0
3.499;-542;-1.08038029386344;0;0
3.504;-549;-1.0688328345446771;0;0
3.509;-555;-0.9716284492809949;0;0
3.514;-555;-0.9716284492809949;0;0
3.519;-555;-0.9716284492809949;0;0
3.524;-555;-0.9716284492809949;0;0
3.529;-562;-1.7642907551164433;0;0
3.534;-562;-1.7642907551164433;0;0
3.539;-568;-0.8837044892188052;0;0
3.544;-568;-0.8837044892188052;0;0
3.549;-575;-1.953125;0;0
3.554;-575;-0.48828125;0;0
3.559;-581;-0.5489679402722881;0;0
3.564;-581;-0.5489679402722881;0;0
3.569;-581;-0.5489679402722881;0;0
3.574;-587;-0.5445436724025267;0;0
3.579;-594;-0.5893446487505893;0;0
3.584;-600;-0.8338892595063375;0;0
3.589;-606;-1.2094823415578133;0;0
3.594;-606;-1.2094823415578133;0;0
3.599;-619;-1.1753643629525152;0;0
3.604;-631;-15.19756838905775;0;0
3.609;-631;-3.7993920972644375;0;0
3.614;-643;-1.2846865364850977;0;0
3.619;-649;-1.5964240102171137;0;0
3.624;-655;-2.074688796680498;0;0
