t;e;d;i;set

20.594;0;-49;0;0
20.599;0;-49;0;0
20.604;0;-49;0;0
20.609;0;-49;0;0
20.614;0;-49;0;0
20.619;0;-49;0;0
20.624;0;-49;0;0
20.629;0;-49;0;0
20.634;0;-49;0;0
20.639;0;-49;0;0
20.644;0;-49;0;0
20.649;0;-49;0;0
20.654;0;-49;0;0
20.659;0;-49;0;0
20.664;0;-49;0;0
20.669;0;-49;0;0
20.674;0;-49;0;0
20.679;0;-49;0;0
20.684;0;-49;0;0
20.689;0;-49;0;0
20.694;0;-49;0;0
20.699;0;-49;0;0
20.704;0;-49;0;0
20.709;0;-49;0;0
20.714;0;-49;0;0
20.719;0;-49;0;0
20.724;0;-49;0;0
20.729;0;-49;0;0
20.734;0;-49;0;0
20.739;0;-49;0;0
20.744;0;-49;0;0
20.749;0;-49;0;0
20.754;0;-49;0;0
20.759;0;-49;0;0
20.764;0;-49;0;0
20.769;0;-49;0;0
20.774;0;-49;0;0
20.779;0;-49;0;0
20.784;0;-49;0;0
20.789;0;-49;0;0
20.794;0;-49;0;0
20.799;0;-49;0;0
20.804;0;-49;0;0
20.809;0;-49;0;0
20.814;0;-49;0;0
20.819;0;-49;0;0
20.824;0;-49;0;0
20.829;0;-49;0;0
20.834;0;-49;0;0
20.839;0;-49;0;0
20.844;0;-49;0;0
20.849;0;-49;0;0
20.854;0;-49;0;0
20.859;0;-49;0;0
20.864;0;-49;0;0
20.869;0;-49;0;0
20.874;0;-49;0;0
20.879;0;-49;0;0
20.884;0;-49;0;0
20.889;0;-49;0;0
20.894;0;-49;0;0
20.899;0;-49;0;0
20.904;0;-49;0;0
20.909;0;-49;0;0
20.914;0;-49;0;0
20.919;0;-49;0;0
20.924;0;-49;0;0
20.929;0;-49;0;0
20.934;0;-49;0;0
20.939;0;-49;0;0
20.944;0;-49;0;0
20.949;0;-49;0;0
20.954;0;-49;0;0
20.959;0;-49;0;0
20.964;0;-49;0;0
20.969;0;-49;0;0
20.974;0;-49;0;0
20.979;0;-49;0;0
20.984;0;-49;0;0
20.989;0;-49;0;0
20.994;0;-49;0;0
20.999;0;-49;0;0
21.004;0;-49;0;0
21.009;0;-49;0;0
21.014;0;-49;0;0
21.019;0;-49;0;0
21.024;0;-49;0;0
21.029;0;-49;0;0
21.034;0;-49;0;0
21.039;0;-49;0;0
21.044;0;-49;0;0
21.049;0;-49;0;0
21.054;7;-43;0;0
21.059;31;-30;0;0
21.064;62;-4;0;0
21.069;109;20;0;0
21.074;164;45;0;0
21.079;233;72;0;0
21.084;294;90;0;0
21.089;353;103;0;0
21.094;418;116;0;0
21.099;481;121;0;0
21.104;535;120;0;0
21.109;587;119;0;0
21.114;631;116;0;0
21.119;673;112;0;0
21.124;712;103;0;0
21.129;739;96;0;0
21.134;770;86;0;0
21.139;799;79;0;0
21.144;822;72;0;0
21.149;844;65;0;0
21.154;860;59;0;0
21.159;872;51;0;0
21.164;883;44;0;0
21.169;891;38;0;0
21.174;898;33;0;0
21.179;904;29;0;0
21.184;904;26;0;0
21.189;904;24;0;0
21.194;901;21;0;0
21.199;898;15;0;0
21.204;898;11;0;0
21.209;887;7;0;0
21.214;876;0;0;0
21.219;868;-5;0;0
21.224;852;-11;0;0
21.229;835;-18;0;0
21.234;818;-31;0;0
21.239;790;-39;0;0
21.244;760;-48;0;0
21.249;734;-57;0;0
21.254;695;-67;0;0
21.259;661;-75;0;0
21.264;625;-86;0;0
21.269;575;-99;0;0
21.274;522;-112;0;0
21.279;467;-123;0;0
21.284;411;-131;0;0
21.289;353;-137;0;0
21.294;294;-147;0;0
21.299;218;-156;0;0
21.304;148;-162;0;0
21.309;78;-165;0;0
21.314;15;-172;0;0
21.319;-54;-175;0;0
21.324;-125;-177;0;0
21.329;-202;-177;0;0
21.334;-263;-176;0;0
21.339;-323;-169;0;0
21.344;-382;-163;0;0
21.349;-453;-158;0;0
21.354;-502;-151;0;0
21.359;-549;-137;0;0
21.364;-594;-132;0;0
21.369;-637;-122;0;0
21.374;-673;-118;0;0
21.379;-701;-107;0;0
21.384;-734;-95;0;0
21.389;-760;-87;0;0
21.394;-780;-76;0;0
21.399;-799;-67;0;0
21.404;-813;-60;0;0
21.409;-827;-53;0;0
21.414;-835;-46;0;0
21.419;-844;-40;0;0
21.424;-852;-35;0;0
21.429;-852;-31;0;0
21.434;-852;-28;0;0
21.439;-852;-26;0;0
21.444;-852;-24;0;0
21.449;-844;-18;0;0
21.454;-835;-12;0;0
21.459;-827;-5;0;0
21.464;-818;1;0;0
21.469;-804;7;0;0
21.474;-785;14;0;0
21.479;-765;22;0;0
21.484;-744;30;0;0
21.489;-718;38;0;0
21.494;-690;48;0;0
21.499;-661;62;0;0
21.504;-625;70;0;0
21.509;-581;80;0;0
21.514;-542;89;0;0
21.519;-495;97;0;0
21.524;-453;103;0;0
21.529;-404;113;0;0
21.534;-346;123;0;0
21.539;-286;134;0;0
21.544;-225;142;0;0
21.549;-171;156;0;0
21.554;-109;158;0;0
21.559;-39;165;0;0
21.564;31;168;0;0
21.569;86;166;0;0
21.574;140;163;0;0
21.579;202;159;0;0
21.584;263;154;0;0
21.589;316;149;0;0
21.594;368;144;0;0
21.599;418;137;0;0
21.604;460;130;0;0
21.609;502;122;0;0
21.614;542;115;0;0
21.619;581;109;0;0
21.624;619;102;0;0
21.629;649;95;0;0
21.634;673;87;0;0
21.639;695;79;0;0
21.644;718;71;0;0
21.649;734;64;0;0
21.654;744;67;0;0
21.659;760;58;0;0
21.664;770;50;0;0
21.669;775;44;0;0
21.674;780;39;0;0
21.679;785;35;0;0
21.684;785;30;0;0
21.689;780;23;0;0
21.694;780;14;0;0
21.699;770;10;0;0
21.704;760;3;0;0
21.709;750;-2;0;0
21.714;734;-10;0;0
21.719;718;-17;0;0
21.724;695;-23;0;0
21.729;678;-29;0;0
21.734;649;-37;0;0
21.739;625;-46;0;0
21.744;594;-55;0;0
21.749;555;-65;0;0
21.754;522;-74;0;0
21.759;481;-81;0;0
21.764;439;-89;0;0
21.769;389;-97;0;0
21.774;346;-105;0;0
21.779;294;-113;0;0
21.784;233;-124;0;0
21.789;179;-129;0;0
