t;e;i;d;set
0.0;0;0.0;0.0;0
0.0;0;0.0;0.0;0
0.0;-707;-0.3;0.0;0
0.003;-707;-0.5;0.0;0
0.006;-707;-0.5;0.0;0
0.009000000000000001;-712;-0.5;0.0;0
0.012;-712;-0.5;0.0;0
0.015000000000000001;-718;-0.5;0.0;0
0.018000000000000002;-723;-0.5;0.0;0
0.021;-728;-0.5;0.0;0
0.024;-734;-0.5;0.0;0
0.027;-739;-0.5;0.0;0
0.030000000000000002;-750;-0.5;0.0;0
0.033;-755;-0.5;-1.0;0
0.036000000000000004;-765;-0.5;-1.0;0
0.039;-775;-0.5;-1.0;0
0.042;-785;-0.5;-1.0;0
0.045000000000000005;-794;-0.5;-1.0;0
0.048;-809;-0.5;-1.0;0
0.051000000000000004;-818;-0.5;-1.0;0
0.054;-831;-0.5;-1.0;0
0.057;-844;-0.5;-1.0;0
0.060000000000000005;-856;-0.5;-1.0;0
0.063;-868;-0.5;-1.0;0
0.066;-883;-0.5;-4.0;0
0.069;-894;-0.5;-4.0;0
0.07200000000000001;-908;-0.5;-4.0;0
0.075;-920;-0.5;-4.0;0
0.078;-932;-0.5;-4.0;0
0.081;-946;-0.5;-4.0;0
0.084;-955;-0.5;-4.0;0
0.08700000000000001;-966;-0.5;-4.0;0
0.09000000000000001;-975;-0.5;-4.0;0
0.093;-983;-0.5;-4.0;0
0.096;-991;-0.5;-4.0;0
0.099;-995;-0.5;-5.0;0
0.10200000000000001;-998;-0.5;-5.0;0
0.10500000000000001;-1000;-0.5;-5.0;0
0.108;-998;-0.5;-5.0;0
0.111;-994;-0.5;-5.0;0
0.114;-988;-0.5;-5.0;0
0.117;-979;-0.5;-5.0;0
0.12000000000000001;-966;-0.5;-5.0;0
0.12300000000000001;-951;-0.5;-5.0;0
0.126;-929;-0.5;-5.0;0
0.129;-908;-0.5;-5.0;0
0.132;-880;-0.5;-8.0;0
0.135;-848;-0.5;-8.0;0
0.138;-813;-0.5;-8.0;0
0.14100000000000001;-775;-0.5;-8.0;0
0.14400000000000002;-728;-0.5;-8.0;0
0.14700000000000002;-684;-0.5;-8.0;0
0.15;-631;-0.5;-8.0;0
0.153;-575;-0.5;-8.0;0
0.156;-515;-0.5;-8.0;0
0.159;-453;-0.5;-8.0;0
0.162;-389;-0.5;-8.0;0
0.165;-323;-0.5;-9.0;0
0.168;-256;-0.5;-9.0;0
0.171;-187;-0.5;-9.0;0
0.17400000000000002;-109;-0.5;-9.0;0
0.17700000000000002;-39;-0.5;-9.0;0
0.18000000000000002;31;0.5;-9.0;0
0.183;109;0.5;-9.0;0
0.186;179;0.5;-9.0;0
0.189;248;0.5;-9.0;0
0.192;316;0.5;-9.0;0
0.195;382;0.5;-9.0;0
0.198;446;0.5;-9.0;0
0.201;509;0.5;-9.0;0
0.20400000000000001;568;0.5;-9.0;0
0.20700000000000002;619;0.5;-9.0;0
0.21000000000000002;673;0.5;-9.0;0
0.21300000000000002;718;0.5;-9.0;0
0.216;760;0.5;-9.0;0
0.219;799;0.5;-9.0;0
0.222;835;0.5;-9.0;0
0.225;864;0.5;-9.0;0
0.228;894;0.5;-9.0;0
0.231;917;0.5;-7.0;0
0.234;938;0.5;-7.0;0
0.23700000000000002;955;0.5;-7.0;0
0.24000000000000002;968;0.5;-7.0;0
0.24300000000000002;980;0.5;-7.0;0
0.24600000000000002;988;0.5;-7.0;0
0.249;994;0.5;-7.0;0
0.252;998;0.5;-7.0;0
0.255;999;0.5;-7.0;0
0.258;999;0.5;-7.0;0
0.261;998;0.5;-7.0;0
0.264;994;0.5;-5.0;0
0.267;991;0.5;-5.0;0
0.27;985;0.5;-5.0;0
0.273;979;0.5;-5.0;0
0.276;972;0.5;-5.0;0
0.279;966;0.5;-5.0;0
0.28200000000000003;958;0.5;-5.0;0
0.28500000000000003;951;0.5;-5.0;0
0.28800000000000003;943;0.5;-5.0;0
0.29100000000000004;935;0.5;-5.0;0
0.29400000000000004;926;0.5;-5.0;0
0.29700000000000004;920;0.5;-2.0;0
0.3;914;0.5;-2.0;0
0.303;908;0.5;-2.0;0
0.306;901;0.5;-2.0;0
0.309;894;0.5;-2.0;0
0.312;891;0.5;-2.0;0
0.315;883;0.5;-2.0;0
0.318;880;0.5;-2.0;0
0.321;876;0.5;-2.0;0
0.324;876;0.5;-2.0;0
0.327;872;0.5;-2.0;0
0.33;872;0.5;0.0;0
0.333;872;0.5;0.0;0
0.336;872;0.5;0.0;0
0.339;872;0.5;0.0;0
0.342;872;0.5;0.0;0
0.34500000000000003;876;0.5;0.0;0
0.34800000000000003;880;0.5;0.0;0
0.35100000000000003;883;0.5;0.0;0
0.35400000000000004;887;0.5;0.0;0
0.35700000000000004;891;0.5;0.0;0
0.36000000000000004;898;0.5;0.0;0
0.36300000000000004;904;0.5;2.0;0
0.366;908;0.5;2.0;0
0.369;917;0.5;2.0;0
0.372;923;0.5;2.0;0
0.375;929;0.5;2.0;0
0.378;938;0.5;2.0;0
0.381;946;0.5;2.0;0
0.384;953;0.5;2.0;0
0.387;960;0.5;2.0;0
0.39;968;0.5;2.0;0
0.393;974;0.5;2.0;0
0.396;980;0.5;4.0;0
0.399;986;0.5;4.0;0
0.402;992;0.5;4.0;0
0.405;995;0.5;4.0;0
0.40800000000000003;998;0.5;4.0;0
0.41100000000000003;999;0.5;4.0;0
0.41400000000000003;999;0.5;4.0;0
0.41700000000000004;998;0.5;4.0;0
0.42000000000000004;993;0.5;4.0;0
0.42300000000000004;988;0.5;4.0;0
0.42600000000000005;980;0.5;4.0;0
0.42900000000000005;970;0.5;6.0;0
0.432;955;0.5;6.0;0
0.435;940;0.5;6.0;0
0.438;920;0.5;6.0;0
0.441;898;0.5;6.0;0
0.444;872;0.5;6.0;0
0.447;844;0.5;6.0;0
0.45;809;0.5;6.0;0
0.453;775;0.5;6.0;0
0.456;734;0.5;6.0;0
0.459;690;0.5;6.0;0
0.462;643;0.5;8.0;0
0.465;594;0.5;8.0;0
0.468;542;0.5;8.0;0
0.47100000000000003;488;0.5;8.0;0
0.47400000000000003;425;0.5;8.0;0
0.47700000000000004;368;0.5;8.0;0
0.48000000000000004;301;0.5;8.0;0
0.48300000000000004;233;0.5;8.0;0
0.48600000000000004;171;0.5;8.0;0
0.48900000000000005;101;0.5;8.0;0
0.49200000000000005;31;0.5;8.0;0
0.49500000000000005;-31;-0.5;8.0;0
0.498;-101;-0.5;8.0;0
0.501;-171;-0.5;8.0;0
0.504;-233;-0.5;8.0;0
0.507;-301;-0.5;8.0;0
0.51;-360;-0.5;8.0;0
0.513;-425;-0.5;8.0;0
0.516;-481;-0.5;8.0;0
0.519;-535;-0.5;8.0;0
0.522;-587;-0.5;8.0;0
0.525;-637;-0.5;8.0;0
0.528;-684;-0.5;8.0;0
0.531;-723;-0.5;8.0;0
0.534;-765;-0.5;8.0;0
0.537;-799;-0.5;8.0;0
0.54;-831;-0.5;8.0;0
0.543;-860;-0.5;8.0;0
0.546;-887;-0.5;8.0;0
0.549;-908;-0.5;8.0;0
0.552;-926;-0.5;8.0;0
0.555;-943;-0.5;8.0;0
0.558;-958;-0.5;8.0;0
0.561;-970;-0.5;6.0;0
0.5640000000000001;-979;-0.5;6.0;0
0.5670000000000001;-987;-0.5;6.0;0
0.5700000000000001;-993;-0.5;6.0;0
0.5730000000000001;-996;-0.5;6.0;0
0.5760000000000001;-998;-0.5;6.0;0
0.5790000000000001;-999;-0.5;6.0;0
0.5820000000000001;-999;-0.5;6.0;0
0.5850000000000001;-998;-0.5;6.0;0
0.5880000000000001;-996;-0.5;6.0;0
0.5910000000000001;-994;-0.5;6.0;0
0.5940000000000001;-991;-0.5;4.0;0
0.597;-987;-0.5;4.0;0
0.6;-985;-0.5;4.0;0
0.603;-980;-0.5;4.0;0
0.606;-977;-0.5;4.0;0
0.609;-974;-0.5;4.0;0
0.612;-970;-0.5;4.0;0
0.615;-966;-0.5;4.0;0
0.618;-962;-0.5;4.0;0
0.621;-960;-0.5;4.0;0
0.624;-958;-0.5;4.0;0
0.627;-955;-0.5;1.0;0
0.63;-953;-0.5;1.0;0
0.633;-953;-0.5;1.0;0
0.636;-951;-0.5;1.0;0
0.639;-951;-0.5;1.0;0
0.642;-953;-0.5;1.0;0
0.645;-953;-0.5;1.0;0
0.648;-953;-0.5;1.0;0
0.651;-955;-0.5;1.0;0
0.654;-958;-0.5;1.0;0
0.657;-960;-0.5;1.0;0
0.66;-962;-0.5;-1.0;0
0.663;-966;-0.5;-1.0;0
0.666;-970;-0.5;-1.0;0
