t;e;d;i;set

0.584;0;4;0;0
0.589;0;4;0;0
0.594;0;4;0;0
0.599;0;4;0;0
0.604;0;4;0;0
0.609;0;4;0;0
0.614;0;4;0;0
0.619;0;4;0;0
0.624;0;4;0;0
0.629;0;4;0;0
0.634;0;4;0;0
0.639;0;4;0;0
0.644;0;4;0;0
0.649;0;4;0;0
0.654;0;4;0;0
0.659;0;4;0;0
0.664;0;4;0;0
0.669;0;4;0;0
0.674;0;4;0;0
0.679;0;4;0;0
0.684;0;4;0;0
0.689;0;4;0;0
0.694;0;4;0;0
0.699;0;4;0;0
0.704;0;4;0;0
0.709;0;4;0;0
0.714;0;4;0;0
0.719;0;4;0;0
0.724;0;4;0;0
0.729;0;4;0;0
0.734;0;4;0;0
0.739;0;4;0;0
0.744;0;4;0;0
0.749;0;4;0;0
0.754;0;4;0;0
0.759;0;4;0;0
0.764;0;4;0;0
0.769;0;4;0;0
0.774;0;4;0;0
0.779;0;4;0;0
0.784;0;4;0;0
0.789;0;4;0;0
0.794;0;4;0;0
0.799;0;4;0;0
0.804;0;4;0;0
0.809;0;4;0;0
0.814;0;4;0;0
0.819;0;4;0;0
0.824;0;4;0;0
0.829;0;4;0;0
0.834;0;4;0;0
0.839;0;4;0;0
0.844;0;4;0;0
0.849;0;4;0;0
0.854;0;4;0;0
0.859;0;4;0;0
0.864;0;4;0;0
0.869;0;4;0;0
0.874;0;4;0;0
0.879;0;4;0;0
0.884;0;4;0;0
0.889;0;4;0;0
0.894;0;4;0;0
0.899;0;4;0;0
0.904;0;4;0;0
0.909;0;4;0;0
0.914;0;4;0;0
0.919;0;4;0;0
0.924;0;4;0;0
0.929;0;4;0;0
0.934;0;4;0;0
0.939;0;4;0;0
0.944;0;4;0;0
0.949;0;4;0;0
0.954;0;4;0;0
0.959;0;4;0;0
0.964;0;4;0;0
0.969;0;4;0;0
0.974;0;4;0;0
0.979;0;4;0;0
0.984;0;4;0;0
0.989;0;4;0;0
0.994;0;4;0;0
0.999;0;4;0;0
1.004;0;4;0;0
1.009;0;4;0;0
1.014;0;4;0;0
1.019;0;4;0;0
1.024;0;4;0;0
1.029;0;4;0;0
1.034;0;4;0;0
1.039;0;4;0;0
1.044;0;4;0;0
1.049;0;4;0;0
1.054;0;4;0;0
1.059;0;4;0;0
1.064;0;4;0;0
1.069;0;4;0;0
1.074;0;4;0;0
1.079;0;4;0;0
1.084;0;4;0;0
1.089;0;4;0;0
1.094;0;4;0;0
1.099;0;4;0;0
1.104;0;4;0;0
1.109;0;4;0;0
1.114;0;4;0;0
1.119;0;4;0;0
1.124;0;4;0;0
1.129;0;4;0;0
1.134;0;4;0;0
1.139;0;4;0;0
1.144;0;4;0;0
1.149;0;4;0;0
1.154;0;4;0;0
1.159;0;4;0;0
1.164;0;4;0;0
1.169;0;4;0;0
1.174;0;4;0;0
1.179;0;4;0;0
1.184;0;3;0;0
1.189;0;0;0;0
1.194;0;-7;0;0
1.199;7;-11;0;0
1.204;7;-9;0;0
1.209;15;-6;0;0
1.214;15;-3;0;0
1.219;15;0;0;0
1.224;23;1;0;0
1.229;31;3;0;0
1.234;39;4;0;0
1.239;39;6;0;0
1.244;47;11;0;0
1.249;47;15;0;0
1.254;47;17;0;0
1.259;47;19;0;0
1.264;54;19;0;0
1.269;54;19;0;0
1.274;54;18;0;0
1.279;54;17;0;0
1.284;62;18;0;0
1.289;62;18;0;0
1.294;62;18;0;0
1.299;62;17;0;0
1.304;62;17;0;0
1.309;62;17;0;0
1.314;62;16;0;0
1.319;54;16;0;0
1.324;54;14;0;0
1.329;54;13;0;0
1.334;47;12;0;0
1.339;47;11;0;0
1.344;47;10;0;0
1.349;39;10;0;0
1.354;31;10;0;0
1.359;23;10;0;0
1.364;15;11;0;0
1.369;15;13;0;0
1.374;15;13;0;0
1.379;7;14;0;0
1.384;7;14;0;0
1.389;0;14;0;0
1.394;0;14;0;0
1.399;-7;14;0;0
1.404;-7;14;0;0
1.409;-15;14;0;0
1.414;-15;14;0;0
1.419;-15;13;0;0
1.424;-15;13;0;0
1.429;-15;13;0;0
1.434;-15;13;0;0
1.439;-15;12;0;0
1.444;-15;12;0;0
1.449;-15;12;0;0
1.454;-15;11;0;0
1.459;-15;11;0;0
1.464;-15;11;0;0
1.469;-23;12;0;0
1.474;-23;14;0;0
1.479;-23;15;0;0
1.484;-23;16;0;0
1.489;-23;16;0;0
1.494;-31;15;0;0
1.499;-31;14;0;0
1.504;-31;12;0;0
1.509;-31;11;0;0
1.514;-31;11;0;0
1.519;-31;10;0;0
1.524;-31;9;0;0
1.529;-23;9;0;0
1.534;-23;9;0;0
1.539;-23;9;0;0
1.544;-23;9;0;0
1.549;-15;10;0;0
1.554;-15;11;0;0
1.559;-15;12;0;0
1.564;-15;12;0;0
1.569;-15;12;0;0
1.574;-15;12;0;0
1.579;-7;12;0;0
1.584;-7;12;0;0
1.589;-7;11;0;0
1.594;-7;11;0;0
1.599;0;11;0;0
1.604;0;11;0;0
1.609;0;10;0;0
1.614;0;10;0;0
1.619;0;10;0;0
1.624;0;10;0;0
1.629;0;10;0;0
1.634;0;9;0;0
1.639;0;9;0;0
1.644;0;9;0;0
1.649;-7;9;0;0
1.654;-7;9;0;0
1.659;-7;9;0;0
1.664;-7;9;0;0
1.669;-7;9;0;0
1.674;-7;9;0;0
1.679;-7;9;0;0
1.684;0;9;0;0
1.689;0;8;0;0
1.694;0;8;0;0
1.699;0;8;0;0
1.704;0;7;0;0
1.709;7;7;0;0
1.714;7;6;0;0
1.719;7;6;0;0
1.724;15;5;0;0
1.729;15;5;0;0
1.734;15;5;0;0
1.739;15;4;0;0
1.744;15;4;0;0
1.749;15;4;0;0
1.754;15;4;0;0
1.759;15;4;0;0
1.764;15;4;0;0
1.769;15;3;0;0
1.774;15;3;0;0
1.779;15;3;0;0
1.784;15;3;0;0
1.789;7;3;0;0
1.794;0;4;0;0
1.799;0;4;0;0
1.804;-7;4;0;0
1.809;-15;9;0;0
1.814;-23;12;0;0
1.819;-31;14;0;0
1.824;-39;15;0;0
1.829;-47;18;0;0
1.834;-54;20;0;0
1.839;-70;22;0;0
1.844;-78;25;0;0
1.849;-94;34;0;0
1.854;-109;37;0;0
1.859;-125;39;0;0
1.864;-140;41;0;0
1.869;-148;41;0;0
1.874;-164;41;0;0
1.879;-171;42;0;0
1.884;-187;42;0;0
1.889;-202;44;0;0
1.894;-210;45;0;0
1.899;-225;44;0;0
1.904;-233;44;0;0
1.909;-241;43;0;0
1.914;-248;41;0;0
1.919;-263;40;0;0
1.924;-263;38;0;0
1.929;-271;37;0;0
1.934;-278;35;0;0
1.939;-278;33;0;0
1.944;-286;31;0;0
1.949;-286;29;0;0
1.954;-286;27;0;0
1.959;-286;25;0;0
1.964;-278;27;0;0
1.969;-278;28;0;0
1.974;-271;26;0;0
1.979;-263;24;0;0
1.984;-263;22;0;0
1.989;-256;20;0;0
1.994;-248;20;0;0
1.999;-241;20;0;0
2.004;-233;21;0;0
2.009;-225;22;0;0
2.014;-210;24;0;0
2.019;-202;25;0;0
2.024;-195;27;0;0
2.029;-179;29;0;0
2.034;-171;32;0;0
2.039;-156;33;0;0
2.044;-140;35;0;0
2.049;-133;36;0;0
2.054;-117;38;0;0
2.059;-101;40;0;0
2.064;-86;51;0;0
2.069;-70;53;0;0
2.074;-54;51;0;0
2.079;-47;52;0;0
2.084;-31;51;0;0
2.089;-15;50;0;0
2.094;-15;50;0;0
2.099;0;48;0;0
2.104;15;49;0;0
2.109;31;49;0;0
2.114;47;50;0;0
2.119;54;50;0;0
2.124;70;49;0;0
2.129;78;49;0;0
2.134;94;48;0;0
2.139;109;50;0;0
2.144;125;51;0;0
2.149;140;53;0;0
2.154;171;55;0;0
2.159;179;57;0;0
2.164;202;58;0;0
2.169;218;59;0;0
2.174;233;59;0;0
2.179;256;61;0;0
2.184;271;64;0;0
2.189;286;63;0;0
2.194;301;62;0;0
2.199;316;59;0;0
2.204;323;59;0;0
2.209;346;59;0;0
2.214;353;59;0;0
2.219;368;56;0;0
2.224;375;53;0;0
2.229;382;50;0;0
2.234;382;48;0;0
2.239;389;44;0;0
2.244;397;45;0;0
2.249;397;45;0;0
2.254;397;44;0;0
2.259;389;44;0;0
2.264;382;41;0;0
2.269;375;38;0;0
2.274;360;36;0;0
2.279;346;39;0;0
2.284;323;42;0;0
2.289;309;46;0;0
2.294;286;61;0;0
2.299;256;68;0;0
2.304;225;75;0;0
2.309;195;81;0;0
2.314;156;88;0;0
2.319;117;96;0;0
2.324;78;105;0;0
2.329;47;111;0;0
2.334;7;114;0;0
2.339;-31;119;0;0
2.344;-78;124;0;0
2.349;-109;127;0;0
2.354;-156;131;0;0
2.359;-187;131;0;0
2.364;-225;132;0;0
2.369;-263;136;0;0
2.374;-294;139;0;0
2.379;-323;136;0;0
2.384;-353;134;0;0
2.389;-382;129;0;0
2.394;-411;125;0;0
2.399;-432;121;0;0
2.404;-453;115;0;0
2.409;-474;112;0;0
2.414;-495;106;0;0
2.419;-502;100;0;0
2.424;-522;95;0;0
2.429;-535;90;0;0
2.434;-542;83;0;0
2.439;-549;77;0;0
2.444;-549;70;0;0
2.449;-555;64;0;0
2.454;-555;58;0;0
2.459;-549;53;0;0
2.464;-549;50;0;0
2.469;-549;46;0;0
2.474;-535;41;0;0
2.479;-522;39;0;0
2.484;-509;39;0;0
2.489;-495;43;0;0
2.494;-481;46;0;0
2.499;-467;50;0;0
2.504;-439;56;0;0
2.509;-411;61;0;0
2.514;-389;66;0;0
2.519;-360;73;0;0
2.524;-331;80;0;0
2.529;-294;90;0;0
2.534;-256;99;0;0
2.539;-210;108;0;0
2.544;-164;119;0;0
2.549;-117;126;0;0
2.554;-70;133;0;0
2.559;-15;145;0;0
2.564;31;149;0;0
2.569;78;157;0;0
2.574;133;162;0;0
2.579;179;165;0;0
2.584;225;171;0;0
2.589;271;172;0;0
2.594;323;180;0;0
2.599;368;181;0;0
2.604;411;177;0;0
2.609;439;173;0;0
2.614;495;181;0;0
2.619;529;180;0;0
2.624;555;177;0;0
2.629;587;172;0;0
2.634;619;168;0;0
2.639;649;162;0;0
2.644;667;154;0;0
2.649;684;155;0;0
2.654;695;144;0;0
2.659;707;131;0;0
2.664;718;122;0;0
2.669;723;111;0;0
2.674;728;107;0;0
2.679;734;99;0;0
2.684;728;90;0;0
2.689;728;84;0;0
2.694;718;82;0;0
2.699;707;76;0;0
2.704;695;74;0;0
2.709;678;74;0;0
2.714;655;77;0;0
2.719;631;82;0;0
2.724;606;88;0;0
2.729;575;96;0;0
2.734;535;107;0;0
2.739;495;120;0;0
2.744;439;133;0;0
2.749;397;142;0;0
2.754;346;151;0;0
2.759;294;161;0;0
2.764;233;173;0;0
2.769;171;194;0;0
2.774;109;212;0;0
2.779;47;214;0;0
2.784;-15;218;0;0
2.789;-78;222;0;0
2.794;-140;226;0;0
2.799;-202;228;0;0
2.804;-263;229;0;0
2.809;-323;229;0;0
2.814;-375;225;0;0
2.819;-418;222;0;0
2.824;-467;219;0;0
2.829;-509;213;0;0
2.834;-555;210;0;0
2.839;-587;202;0;0
2.844;-625;197;0;0
2.849;-655;192;0;0
2.854;-678;184;0;0
2.859;-707;174;0;0
2.864;-728;167;0;0
2.869;-744;160;0;0
2.874;-760;147;0;0
2.879;-770;135;0;0
2.884;-780;134;0;0
2.889;-790;122;0;0
2.894;-794;111;0;0
2.899;-794;100;0;0
2.904;-794;90;0;0
2.909;-790;81;0;0
2.914;-780;71;0;0
2.919;-770;67;0;0
2.924;-760;68;0;0
2.929;-739;68;0;0
2.934;-723;71;0;0
2.939;-701;76;0;0
2.944;-673;89;0;0
2.949;-649;94;0;0
2.954;-619;99;0;0
2.959;-575;116;0;0
2.964;-542;123;0;0
2.969;-509;126;0;0
2.974;-460;141;0;0
2.979;-418;145;0;0
2.984;-368;153;0;0
2.989;-323;160;0;0
2.994;-271;173;0;0
2.999;-210;180;0;0
3.004;-156;186;0;0
3.009;-101;190;0;0
3.014;-39;200;0;0
3.019;15;205;0;0
3.024;78;207;0;0
3.029;133;207;0;0
3.034;195;210;0;0
3.039;248;210;0;0
3.044;294;209;0;0
3.049;346;206;0;0
3.054;389;204;0;0
3.059;439;201;0;0
3.064;481;199;0;0
3.069;522;200;0;0
3.074;562;194;0;0
3.079;587;186;0;0
3.084;619;177;0;0
3.089;643;168;0;0
3.094;661;159;0;0
3.099;684;162;0;0
3.104;701;153;0;0
3.109;718;141;0;0
3.114;723;130;0;0
3.119;739;126;0;0
3.124;739;116;0;0
3.129;744;104;0;0
3.134;744;94;0;0
3.139;744;84;0;0
3.144;744;76;0;0
3.149;739;67;0;0
3.154;728;59;0;0
3.159;718;56;0;0
3.164;707;56;0;0
3.169;690;59;0;0
3.174;673;63;0;0
3.179;649;75;0;0
3.184;625;80;0;0
3.189;600;85;0;0
3.194;575;92;0;0
3.199;542;100;0;0
3.204;502;109;0;0
3.209;460;119;0;0
3.214;418;128;0;0
3.219;375;135;0;0
3.224;323;143;0;0
3.229;278;150;0;0
3.234;233;158;0;0
3.239;171;166;0;0
3.244;117;172;0;0
3.249;62;177;0;0
3.254;7;183;0;0
3.259;-47;188;0;0
3.264;-109;193;0;0
3.269;-164;196;0;0
3.274;-210;195;0;0
3.279;-263;195;0;0
3.284;-316;197;0;0
3.289;-360;195;0;0
3.294;-404;190;0;0
3.299;-446;189;0;0
