t;e;d;i;set

0.699;0;3;0;0
0.704;0;3;0;0
0.709;0;3;0;0
0.714;0;3;0;0
0.719;0;3;0;0
0.724;0;3;0;0
0.729;0;3;0;0
0.734;0;3;0;0
0.739;0;3;0;0
0.744;0;3;0;0
0.749;0;3;0;0
0.754;0;3;0;0
0.759;0;3;0;0
0.764;0;3;0;0
0.769;0;3;0;0
0.774;0;3;0;0
0.779;0;3;0;0
0.784;0;3;0;0
0.789;0;3;0;0
0.794;0;3;0;0
0.799;0;3;0;0
0.804;0;3;0;0
0.809;0;3;0;0
0.814;0;3;0;0
0.819;0;3;0;0
0.824;0;3;0;0
0.829;0;3;0;0
0.834;0;3;0;0
0.839;0;3;0;0
0.844;0;3;0;0
0.849;0;3;0;0
0.854;0;3;0;0
0.859;0;3;0;0
0.864;0;3;0;0
0.869;0;3;0;0
0.874;0;3;0;0
0.879;0;3;0;0
0.884;0;3;0;0
0.889;0;3;0;0
0.894;0;3;0;0
0.899;0;3;0;0
0.904;0;3;0;0
0.909;0;3;0;0
0.914;0;3;0;0
0.919;0;3;0;0
0.924;0;3;0;0
0.929;0;3;0;0
0.934;0;3;0;0
0.939;0;3;0;0
0.944;0;3;0;0
0.949;7;17;0;0
0.954;7;17;0;0
0.959;23;16;0;0
0.964;39;15;0;0
0.969;54;15;0;0
0.974;70;15;0;0
0.979;86;15;0;0
0.984;109;16;0;0
0.989;133;16;0;0
0.994;164;17;0;0
0.999;195;19;0;0
1.004;225;20;0;0
1.009;263;21;0;0
1.014;316;24;0;0
1.019;368;27;0;0
1.024;432;31;0;0
1.029;502;36;0;0
1.034;568;41;0;0
1.039;649;48;0;0
1.044;718;54;0;0
1.049;780;59;0;0
1.054;835;63;0;0
1.059;876;66;0;0
1.064;914;68;0;0
1.069;943;71;0;0
1.074;966;74;0;0
1.079;980;74;0;0
1.084;991;74;0;0
1.089;996;74;0;0
1.094;999;73;0;0
1.099;999;72;0;0
1.104;997;71;0;0
1.109;993;70;0;0
1.114;988;68;0;0
1.119;983;65;0;0
1.124;980;62;0;0
1.129;974;60;0;0
1.134;972;57;0;0
1.139;968;54;0;0
