t;e;d;i;set

12.844;-7;87;0;0
12.849;62;87;0;0
12.854;133;90;0;0
12.859;195;85;0;0
12.864;256;81;0;0
12.869;316;82;0;0
12.874;375;85;0;0
12.879;432;83;0;0
12.884;488;80;0;0
12.889;542;76;0;0
12.894;581;71;0;0
12.899;619;69;0;0
12.904;655;62;0;0
12.909;690;66;0;0
12.914;723;59;0;0
12.919;750;55;0;0
12.924;770;48;0;0
12.929;790;41;0;0
12.934;804;35;0;0
12.939;818;32;0;0
12.944;827;26;0;0
12.949;835;24;0;0
12.954;844;20;0;0
12.959;848;16;0;0
12.964;848;14;0;0
12.969;848;12;0;0
12.974;844;5000;0;0
12.979;840;1;0;0
12.984;835;-2;0;0
12.989;827;-8;0;0
12.994;813;-15;0;0
12.999;799;-20;0;0
13.004;785;-26;0;0
13.009;765;-31;0;0
13.014;739;-36;0;0
13.019;712;-44;0;0
13.024;684;-50;0;0
13.029;649;-53;0;0
13.034;612;-55;0;0
13.039;575;-56;0;0
13.044;535;-60;0;0
13.049;488;-65;0;0
13.054;432;-72;0;0
13.059;375;-75;0;0
13.064;316;-78;0;0
13.069;256;-76;0;0
13.074;195;-77;0;0
13.079;133;-77;0;0
13.084;70;-81;0;0
13.089;0;-84;0;0
13.094;-62;-84;0;0
13.099;-133;-91;0;0
13.104;-195;-87;0;0
13.109;-256;-82;0;0
13.114;-309;-78;0;0
13.119;-368;-77;0;0
13.124;-418;-75;0;0
13.129;-467;-68;0;0
13.134;-515;-67;0;0
13.139;-555;-65;0;0
13.144;-594;-59;0;0
13.149;-631;-60;0;0
13.154;-667;-57;0;0
13.159;-690;-48;0;0
13.164;-723;-50;0;0
13.169;-744;-45;0;0
13.174;-760;-36;0;0
13.179;-775;-33;0;0
13.184;-794;-33;0;0
13.189;-804;-41;0;0
13.194;-809;-31;0;0
13.199;-813;-20;0;0
13.204;-818;-21;0;0
13.209;-818;-19;0;0
13.214;-818;-17;0;0
13.219;-813;-13;0;0
13.224;-809;-2;0;0
13.229;-804;2;0;0
13.234;-790;9;0;0
13.239;-780;26;0;0
13.244;-760;33;0;0
13.249;-739;36;0;0
13.254;-723;34;0;0
13.259;-695;36;0;0
13.264;-661;50;0;0
13.269;-637;46;0;0
13.274;-600;52;0;0
13.279;-562;57;0;0
13.284;-522;58;0;0
13.289;-474;61;0;0
13.294;-432;63;0;0
13.299;-382;66;0;0
13.304;-331;65;0;0
13.309;-278;71;0;0
13.314;-218;72;0;0
13.319;-164;71;0;0
13.324;-101;76;0;0
13.329;-39;76;0;0
13.334;23;78;0;0
13.339;78;76;0;0
13.344;133;81;0;0
13.349;195;81;0;0
13.354;256;77;0;0
13.359;301;69;0;0
13.364;353;67;0;0
13.369;404;73;0;0
13.374;460;76;0;0
13.379;495;64;0;0
13.384;535;56;0;0
13.389;568;58;0;0
13.394;606;56;0;0
13.399;637;51;0;0
13.404;661;44;0;0
13.409;684;39;0;0
13.414;707;37;0;0
13.419;723;46;0;0
13.424;734;36;0;0
13.429;750;28;0;0
13.434;755;24;0;0
13.439;765;19;0;0
13.444;770;16;0;0
13.449;775;13;0;0
13.454;775;12;0;0
13.459;770;3;0;0
13.464;765;-3;0;0
13.469;760;-4;0;0
13.474;750;-8;0;0
13.479;734;-14;0;0
13.484;728;-19;0;0
13.489;734;8;0;0
13.494;755;20;0;0
13.499;775;28;0;0
13.504;785;26;0;0
13.509;794;22;0;0
13.514;809;22;0;0
13.519;818;24;0;0
13.524;827;21;0;0
