t;e;d;i;set

0.534;-7;3;0;0
0.539;-7;3;0;0
0.544;-7;3;0;0
0.549;-7;3;0;0
0.554;-7;3;0;0
0.559;-7;3;0;0
0.564;-7;3;0;0
0.569;-7;3;0;0
0.574;-7;3;0;0
0.579;-7;3;0;0
0.584;-7;3;0;0
0.589;-7;3;0;0
0.594;-7;3;0;0
0.599;-7;3;0;0
0.604;-7;3;0;0
0.609;-7;3;0;0
0.614;-7;3;0;0
0.619;-7;3;0;0
0.624;-7;3;0;0
0.629;-7;3;0;0
0.634;-7;3;0;0
0.639;-7;3;0;0
0.644;-7;3;0;0
0.649;-7;3;0;0
0.654;-7;3;0;0
0.659;-7;3;0;0
0.664;-7;3;0;0
0.669;-7;3;0;0
0.674;-7;3;0;0
0.679;-7;3;0;0
0.684;-7;3;0;0
0.689;-7;3;0;0
0.694;-7;3;0;0
0.699;-7;3;0;0
0.704;-7;3;0;0
0.709;-7;3;0;0
0.714;-7;3;0;0
0.719;-7;3;0;0
0.724;-7;3;0;0
0.729;-7;3;0;0
0.734;-7;3;0;0
0.739;-7;3;0;0
0.744;-7;3;0;0
0.749;-7;3;0;0
0.754;-7;3;0;0
0.759;-7;3;0;0
0.764;-7;3;0;0
0.769;-7;3;0;0
0.774;-7;3;0;0
0.779;-7;3;0;0
0.784;-7;3;0;0
0.789;-7;3;0;0
0.794;-7;3;0;0
0.799;-7;3;0;0
0.804;-7;3;0;0
0.809;-7;3;0;0
0.814;-7;3;0;0
0.819;-7;3;0;0
0.824;-7;3;0;0
0.829;-7;3;0;0
0.834;-7;3;0;0
0.839;-7;3;0;0
0.844;-7;3;0;0
0.849;-7;3;0;0
0.854;-7;3;0;0
0.859;-7;3;0;0
0.864;-7;3;0;0
0.869;-7;3;0;0
0.874;-7;3;0;0
0.879;-7;3;0;0
0.884;-7;3;0;0
0.889;-7;3;0;0
0.894;-7;3;0;0
0.899;-7;3;0;0
0.904;-7;3;0;0
0.909;-7;3;0;0
0.914;-7;3;0;0
0.919;-7;3;0;0
0.924;-7;3;0;0
0.929;-7;3;0;0
0.934;-7;3;0;0
0.939;-7;3;0;0
0.944;-7;3;0;0
0.949;-7;3;0;0
0.954;-7;3;0;0
0.959;-7;3;0;0
0.964;-7;3;0;0
0.969;-7;3;0;0
0.974;-7;3;0;0
0.979;-7;3;0;0
0.984;-7;3;0;0
0.989;-7;3;0;0
0.994;-7;3;0;0
0.999;-7;3;0;0
1.004;-7;3;0;0
1.009;-7;3;0;0
1.014;-7;3;0;0
1.019;-7;3;0;0
1.024;-7;3;0;0
1.029;-7;3;0;0
1.034;-7;3;0;0
1.039;-7;3;0;0
1.044;-7;3;0;0
1.049;-7;3;0;0
1.054;-7;3;0;0
1.059;-7;3;0;0
1.064;-7;3;0;0
1.069;-7;3;0;0
1.074;-7;3;0;0
1.079;-7;3;0;0
1.084;-7;3;0;0
1.089;-7;3;0;0
1.094;-7;3;0;0
1.099;-7;3;0;0
1.104;-7;3;0;0
1.109;-7;3;0;0
1.114;-7;3;0;0
1.119;-7;3;0;0
1.124;-7;3;0;0
1.129;-7;3;0;0
1.134;-7;3;0;0
1.139;-7;3;0;0
1.144;-7;3;0;0
1.149;-7;3;0;0
1.154;-7;3;0;0
1.159;-7;3;0;0
1.164;-7;3;0;0
1.169;-7;3;0;0
1.174;-7;3;0;0
1.179;-7;3;0;0
1.184;-7;3;0;0
1.189;-7;3;0;0
1.194;-7;3;0;0
1.199;-7;3;0;0
1.204;-7;3;0;0
1.209;-7;3;0;0
1.214;-7;3;0;0
1.219;-7;3;0;0
1.224;-7;3;0;0
1.229;-7;3;0;0
1.234;-7;3;0;0
1.239;-7;3;0;0
1.244;-7;3;0;0
1.249;-7;3;0;0
1.254;-7;3;0;0
1.259;-7;3;0;0
1.264;-7;3;0;0
1.269;-7;3;0;0
1.274;-7;3;0;0
1.279;-7;3;0;0
1.284;-7;3;0;0
1.289;-7;3;0;0
1.294;-7;3;0;0
1.299;-7;3;0;0
1.304;-7;3;0;0
1.309;-7;3;0;0
1.314;-7;3;0;0
1.319;-7;3;0;0
1.324;-7;3;0;0
1.329;-7;3;0;0
1.334;-7;3;0;0
1.339;-7;3;0;0
1.344;-7;3;0;0
1.349;-7;3;0;0
1.354;-7;3;0;0
1.359;-7;3;0;0
