t;e;d;i;set

0.599;0;7;0;0
0.604;0;7;0;0
0.609;0;7;0;0
0.614;0;7;0;0
0.619;0;7;0;0
0.624;0;7;0;0
0.629;0;7;0;0
0.634;0;7;0;0
0.639;0;-2;0;0
0.644;15;12;0;0
0.649;47;33;0;0
0.654;86;27;0;0
0.659;125;18;0;0
0.664;171;37;0;0
0.669;233;39;0;0
0.674;278;26;0;0
0.679;331;39;0;0
0.684;382;35;0;0
0.689;439;40;0;0
0.694;481;27;0;0
0.699;529;32;0;0
0.704;575;37;0;0
0.709;612;25;0;0
0.714;643;24;0;0
0.719;673;26;0;0
0.724;695;21;0;0
0.729;718;20;0;0
0.734;739;19;0;0
0.739;755;15;0;0
0.744;770;12;0;0
0.749;780;10;0;0
0.754;790;9;0;0
0.759;799;9;0;0
0.764;799;7;0;0
0.769;799;6;0;0
0.774;799;5;0;0
0.779;799;5;0;0
0.784;794;-3;0;0
0.789;785;-2;0;0
0.794;775;-9;0;0
0.799;760;-11;0;0
0.804;744;-15;0;0
0.809;728;-12;0;0
0.814;707;-15;0;0
0.819;684;-16;0;0
0.824;655;-23;0;0
0.829;625;-26;0;0
0.834;594;-25;0;0
0.839;555;-29;0;0
0.844;522;-28;0;0
0.849;467;-39;0;0
0.854;425;-27;0;0
0.859;375;-34;0;0
0.864;323;-33;0;0
0.869;263;-40;0;0
0.874;210;-39;0;0
0.879;148;-39;0;0
0.884;86;-39;0;0
0.889;23;-38;0;0
0.894;-31;-34;0;0
0.899;-94;-34;0;0
0.904;-156;-35;0;0
0.909;-210;-34;0;0
0.914;-271;-36;0;0
0.919;-323;-35;0;0
0.924;-375;-33;0;0
0.929;-425;-28;0;0
0.934;-467;-31;0;0
0.939;-509;-23;0;0
0.944;-549;-29;0;0
0.949;-587;-20;0;0
0.954;-625;-31;0;0
0.959;-649;-24;0;0
0.964;-678;-21;0;0
0.969;-701;-20;0;0
0.974;-723;-20;0;0
0.979;-744;-18;0;0
0.984;-755;-11;0;0
0.989;-770;-11;0;0
0.994;-780;-11;0;0
0.999;-790;-8;0;0
1.004;-794;-7;0;0
1.009;-794;-6;0;0
1.014;-794;-5;0;0
1.019;-794;-5;0;0
1.024;-790;14;0;0
1.029;-780;2;0;0
1.034;-770;8;0;0
1.039;-760;10;0;0
1.044;-744;10;0;0
1.049;-728;12;0;0
1.054;-707;15;0;0
1.059;-678;26;0;0
1.064;-655;18;0;0
1.069;-631;17;0;0
1.074;-594;36;0;0
1.079;-555;25;0;0
1.084;-522;29;0;0
1.089;-481;30;0;0
1.094;-439;29;0;0
1.099;-397;29;0;0
1.104;-346;32;0;0
1.109;-301;32;0;0
1.114;-241;36;0;0
1.119;-195;28;0;0
1.124;-140;34;0;0
1.129;-78;45;0;0
1.134;-15;39;0;0
1.139;39;34;0;0
1.144;94;31;0;0
1.149;148;36;0;0
1.154;202;36;0;0
1.159;256;32;0;0
1.164;309;29;0;0
1.169;353;33;0;0
1.174;397;26;0;0
1.179;439;29;0;0
1.184;488;30;0;0
1.189;522;28;0;0
1.194;555;21;0;0
1.199;587;19;0;0
1.204;612;16;0;0
1.209;637;16;0;0
1.214;661;15;0;0
1.219;678;13;0;0
1.224;695;14;0;0
1.229;707;9;0;0
1.234;718;11;0;0
1.239;723;7;0;0
1.244;728;13;0;0
1.249;734;8;0;0
1.254;734;7;0;0
1.259;734;6;0;0
1.264;728;-3;0;0
1.269;723;-2;0;0
1.274;718;-2;0;0
1.279;701;-9;0;0
1.284;690;-10;0;0
1.289;673;-13;0;0
1.294;649;-18;0;0
1.299;631;-16;0;0
1.304;606;-19;0;0
1.309;575;-26;0;0
1.314;549;-24;0;0
1.319;515;-27;0;0
1.324;474;-27;0;0
1.329;439;-27;0;0
1.334;389;-30;0;0
1.339;346;-31;0;0
1.344;301;-30;0;0
1.349;248;-29;0;0
1.354;202;-32;0;0
1.359;140;-41;0;0
1.364;94;-27;0;0
1.369;39;-34;0;0
1.374;-15;-34;0;0
1.379;-70;-35;0;0
1.384;-133;-37;0;0
1.389;-179;-31;0;0
1.394;-233;-34;0;0
1.399;-278;-31;0;0
1.404;-331;-35;0;0
1.409;-368;-20;0;0
1.414;-411;-28;0;0
1.419;-453;-23;0;0
1.424;-495;-29;0;0
1.429;-522;-24;0;0
1.434;-562;-22;0;0
1.439;-587;-16;0;0
1.444;-612;-17;0;0
1.449;-637;-16;0;0
1.454;-661;-16;0;0
1.459;-673;-11;0;0
1.464;-690;-13;0;0
1.469;-701;-13;0;0
1.474;-712;-10;0;0
1.479;-723;-9;0;0
1.484;-728;-5;0;0
1.489;-728;-5;0;0
1.494;-728;-4;0;0
1.499;-728;-4;0;0
1.504;-718;2;0;0
1.509;-718;2;0;0
1.514;-701;7;0;0
1.519;-690;15;0;0
1.524;-673;12;0;0
1.529;-655;14;0;0
1.534;-643;11;0;0
1.539;-619;18;0;0
1.544;-587;20;0;0
1.549;-562;16;0;0
1.554;-535;15;0;0
1.559;-495;36;0;0
1.564;-467;24;0;0
1.569;-425;25;0;0
1.574;-382;31;0;0
1.579;-346;27;0;0
1.584;-301;32;0;0
1.589;-256;31;0;0
1.594;-210;26;0;0
1.599;-156;31;0;0
1.604;-109;32;0;0
1.609;-54;31;0;0
1.614;0;29;0;0
1.619;47;33;0;0
1.624;101;30;0;0
1.629;148;32;0;0
1.634;202;39;0;0
1.639;248;27;0;0
1.644;294;30;0;0
1.649;331;28;0;0
1.654;375;26;0;0
1.659;411;26;0;0
1.664;446;26;0;0
1.669;481;20;0;0
1.674;515;24;0;0
1.679;542;18;0;0
1.684;568;16;0;0
1.689;587;13;0;0
1.694;606;12;0;0
1.699;625;14;0;0
1.704;637;10;0;0
1.709;649;11;0;0
1.714;661;7;0;0
1.719;667;6;0;0
1.724;673;5;0;0
1.729;673;5;0;0
1.734;673;4;0;0
1.739;667;-4;0;0
1.744;661;-2;0;0
1.749;655;-2;0;0
1.754;649;-5;0;0
1.759;631;-9;0;0
1.764;619;-11;0;0
1.769;600;-13;0;0
1.774;581;-15;0;0
1.779;555;-18;0;0
1.784;535;-14;0;0
1.789;502;-21;0;0
1.794;467;-26;0;0
1.799;439;-24;0;0
1.804;397;-23;0;0
1.809;360;-27;0;0
1.814;323;-26;0;0
1.819;278;-24;0;0
1.824;233;-33;0;0
1.829;187;-26;0;0
1.834;140;-36;0;0
1.839;94;-27;0;0
1.844;47;-30;0;0
1.849;-7;-32;0;0
1.854;-54;-32;0;0
1.859;-101;-29;0;0
1.864;-148;-29;0;0
1.869;-202;-33;0;0
1.874;-241;-28;0;0
1.879;-286;-29;0;0
1.884;-331;-29;0;0
1.889;-368;-21;0;0
1.894;-404;-26;0;0
1.899;-439;-25;0;0
1.904;-467;-21;0;0
1.909;-495;-20;0;0
1.914;-522;-19;0;0
1.919;-555;-20;0;0
1.924;-575;-15;0;0
1.929;-594;-15;0;0
1.934;-612;-12;0;0
1.939;-625;-12;0;0
1.944;-643;-11;0;0
1.949;-649;-9;0;0
1.954;-655;-7;0;0
1.959;-661;-4;0;0
1.964;-661;-4;0;0
1.969;-661;-3;0;0
1.974;-661;-3;0;0
1.979;-655;2;0;0
1.984;-649;1;0;0
1.989;-643;2;0;0
1.994;-631;14;0;0
1.999;-612;10;0;0
2.004;-594;16;0;0
2.009;-575;15;0;0
2.014;-555;14;0;0
2.019;-535;14;0;0
2.024;-509;15;0;0
2.029;-474;19;0;0
2.034;-446;18;0;0
2.039;-411;28;0;0
2.044;-382;23;0;0
2.049;-346;19;0;0
2.054;-301;27;0;0
2.059;-263;28;0;0
2.064;-225;22;0;0
2.069;-171;36;0;0
2.074;-133;24;0;0
2.079;-86;27;0;0
2.084;-31;29;0;0
2.089;15;35;0;0
2.094;54;27;0;0
2.099;101;28;0;0
2.104;140;29;0;0
2.109;187;23;0;0
2.114;233;31;0;0
2.119;271;27;0;0
2.124;309;21;0;0
2.129;346;21;0;0
2.134;382;24;0;0
2.139;411;21;0;0
2.144;439;20;0;0
2.149;467;20;0;0
2.154;495;19;0;0
2.159;522;18;0;0
2.164;542;14;0;0
2.169;555;11;0;0
2.174;575;14;0;0
2.179;587;8;0;0
2.184;600;9;0;0
2.189;600;8;0;0
2.194;606;5;0;0
2.199;612;3;0;0
2.204;612;3;0;0
2.209;606;-4;0;0
2.214;606;-4;0;0
2.219;600;-2;0;0
2.224;594;-2;0;0
2.229;581;-6;0;0
2.234;568;-9;0;0
2.239;549;-14;0;0
2.244;535;-10;0;0
2.249;515;-14;0;0
2.254;495;-15;0;0
2.259;467;-17;0;0
2.264;439;-19;0;0
2.269;411;-19;0;0
2.274;375;-22;0;0
2.279;338;-21;0;0
2.284;309;-17;0;0
2.289;263;-28;0;0
2.294;233;-24;0;0
2.299;187;-23;0;0
2.304;140;-32;0;0
2.309;101;-27;0;0
2.314;62;-21;0;0
2.319;15;-28;0;0
2.324;-31;-25;0;0
2.329;-78;-30;0;0
2.334;-117;-27;0;0
2.339;-164;-29;0;0
2.344;-202;-25;0;0
2.349;-241;-24;0;0
2.354;-278;-19;0;0
2.359;-323;-29;0;0
2.364;-353;-21;0;0
2.369;-382;-19;0;0
2.374;-411;-20;0;0
2.379;-439;-17;0;0
2.384;-467;-18;0;0
2.389;-495;-17;0;0
2.394;-509;-10;0;0
2.399;-535;-14;0;0
2.404;-549;-15;0;0
2.409;-562;-7;0;0
2.414;-575;-9;0;0
2.419;-587;-7;0;0
2.424;-594;-7;0;0
2.429;-600;-6;0;0
2.434;-600;-5;0;0
2.439;-600;-4;0;0
2.444;-600;-4;0;0
2.449;-600;-4;0;0
2.454;-594;2;0;0
2.459;-581;2;0;0
2.464;-575;6;0;0
2.469;-562;6;0;0
2.474;-549;10;0;0
2.479;-529;10;0;0
2.484;-509;12;0;0
2.489;-481;14;0;0
2.494;-467;15;0;0
2.499;-439;19;0;0
2.504;-411;19;0;0
2.509;-382;19;0;0
2.514;-353;22;0;0
2.519;-316;21;0;0
2.524;-286;18;0;0
2.529;-241;26;0;0
2.534;-202;27;0;0
2.539;-171;25;0;0
2.544;-125;23;0;0
2.549;-86;24;0;0
2.554;-47;30;0;0
2.559;0;22;0;0
2.564;39;20;0;0
2.569;78;28;0;0
2.574;117;21;0;0
2.579;156;19;0;0
2.584;202;27;0;0
2.589;233;24;0;0
2.594;263;22;0;0
2.599;301;21;0;0
2.604;338;19;0;0
2.609;368;16;0;0
2.614;389;14;0;0
2.619;411;15;0;0
2.624;439;17;0;0
2.629;460;15;0;0
2.634;481;15;0;0
2.639;495;25;0;0
2.644;509;7;0;0
2.649;522;8;0;0
2.654;529;6;0;0
2.659;542;7;0;0
2.664;549;7;0;0
2.669;549;6;0;0
2.674;549;5;0;0
2.679;549;5;0;0
2.684;549;4;0;0
2.689;542;-3;0;0
2.694;529;-2;0;0
2.699;522;-5;0;0
2.704;509;-7;0;0
2.709;495;-10;0;0
2.714;474;-11;0;0
2.719;453;-11;0;0
2.724;439;-23;0;0
2.729;411;-15;0;0
2.734;382;-19;0;0
2.739;360;-17;0;0
2.744;331;-18;0;0
2.749;301;-19;0;0
2.754;263;-25;0;0
2.759;233;-22;0;0
2.764;195;-22;0;0
2.769;164;-21;0;0
2.774;125;-19;0;0
2.779;78;-29;0;0
2.784;47;-24;0;0
2.789;7;-24;0;0
2.794;-31;-19;0;0
2.799;-78;-28;0;0
2.804;-109;-23;0;0
2.809;-148;-24;0;0
2.814;-187;-20;0;0
2.819;-218;-16;0;0
2.824;-256;-21;0;0
2.829;-294;-26;0;0
2.834;-323;-21;0;0
2.839;-353;-19;0;0
2.844;-375;-17;0;0
2.849;-404;-18;0;0
2.854;-425;-12;0;0
2.859;-439;-13;0;0
2.864;-467;-15;0;0
2.869;-481;-9;0;0
2.874;-495;-10;0;0
2.879;-509;-8;0;0
2.884;-522;-9;0;0
2.889;-529;-8;0;0
2.894;-535;-5;0;0
2.899;-542;-5;0;0
2.904;-542;-4;0;0
2.909;-542;-4;0;0
2.914;-542;-4;0;0
2.919;-535;3;0;0
2.924;-529;1;0;0
2.929;-522;2;0;0
2.934;-509;6;0;0
2.939;-495;9;0;0
2.944;-481;8;0;0
2.949;-467;11;0;0
2.954;-446;11;0;0
2.959;-425;11;0;0
2.964;-411;14;0;0
2.969;-382;16;0;0
2.974;-353;19;0;0
2.979;-331;15;0;0
2.984;-301;19;0;0
2.989;-271;18;0;0
2.994;-241;18;0;0
2.999;-202;23;0;0
3.004;-171;26;0;0
3.009;-133;23;0;0
3.014;-101;20;0;0
3.019;-62;22;0;0
3.024;-23;20;0;0
3.029;15;25;0;0
3.034;47;25;0;0
3.039;86;24;0;0
3.044;117;18;0;0
3.049;148;16;0;0
3.054;187;19;0;0
3.059;218;17;0;0
3.064;248;16;0;0
3.069;278;15;0;0
3.074;301;14;0;0
3.079;323;16;0;0
3.084;353;17;0;0
3.089;375;15;0;0
3.094;397;13;0;0
3.099;411;13;0;0
3.104;432;11;0;0
3.109;446;9;0;0
3.114;460;14;0;0
3.119;467;8;0;0
3.124;474;5;0;0
3.129;481;4;0;0
3.134;488;4;0;0
3.139;488;3;0;0
3.144;488;3;0;0
3.149;481;-2;0;0
3.154;481;-2;0;0
3.159;467;-8;0;0
3.164;467;-6;0;0
3.169;453;-9;0;0
3.174;439;-15;0;0
3.179;425;-7;0;0
3.184;411;-10;0;0
3.189;389;-12;0;0
3.194;368;-13;0;0
3.199;353;-13;0;0
3.204;323;-16;0;0
3.209;301;-15;0;0
3.214;271;-18;0;0
3.219;241;-20;0;0
3.224;210;-21;0;0
3.229;179;-19;0;0
3.234;148;-20;0;0
3.239;117;-22;0;0
3.244;78;-25;0;0
3.249;47;-25;0;0
3.254;15;-21;0;0
3.259;-15;-21;0;0
3.264;-54;-23;0;0
3.269;-86;-19;0;0
3.274;-117;-20;0;0
3.279;-156;-20;0;0
3.284;-187;-16;0;0
3.289;-210;-17;0;0
3.294;-241;-18;0;0
3.299;-278;-18;0;0
3.304;-301;-17;0;0
3.309;-323;-15;0;0
3.314;-353;-17;0;0
3.319;-368;-11;0;0
3.324;-389;-13;0;0
3.329;-411;-12;0;0
3.334;-425;-8;0;0
3.339;-439;-10;0;0
3.344;-446;-9;0;0
3.349;-460;-8;0;0
3.354;-467;-6;0;0
3.359;-474;-5;0;0
3.364;-474;-5;0;0
3.369;-481;-3;0;0
3.374;-481;-3;0;0
3.379;-481;-3;0;0
3.384;-474;2;0;0
3.389;-467;6;0;0
3.394;-467;5;0;0
3.399;-453;3;0;0
3.404;-439;7;0;0
3.409;-432;6;0;0
3.414;-411;11;0;0
3.419;-404;8;0;0
3.424;-382;12;0;0
3.429;-360;13;0;0
3.434;-346;17;0;0
3.439;-323;15;0;0
3.444;-294;17;0;0
3.449;-271;16;0;0
3.454;-241;18;0;0
3.459;-218;14;0;0
3.464;-187;17;0;0
3.469;-156;17;0;0
3.474;-125;16;0;0
3.479;-94;16;0;0
3.484;-54;23;0;0
3.489;-31;15;0;0
3.494;0;15;0;0
3.499;39;21;0;0
3.504;70;20;0;0
3.509;94;15;0;0
3.514;125;15;0;0
3.519;156;16;0;0
3.524;187;16;0;0
3.529;210;14;0;0
3.534;233;16;0;0
3.539;263;15;0;0
3.544;278;12;0;0
3.549;309;13;0;0
3.554;323;15;0;0
3.559;353;14;0;0
3.564;360;9;0;0
3.569;375;13;0;0
3.574;382;7;0;0
3.579;397;6;0;0
3.584;404;5;0;0
3.589;411;6;0;0
3.594;418;5;0;0
3.599;425;4;0;0
3.604;425;4;0;0
3.609;425;4;0;0
3.614;425;3;0;0
3.619;418;-3;0;0
3.624;411;-1;0;0
3.629;404;-2;0;0
3.634;397;-4;0;0
3.639;382;-6;0;0
3.644;368;-7;0;0
3.649;353;-9;0;0
3.654;338;-8;0;0
3.659;323;-18;0;0
3.664;309;-8;0;0
3.669;286;-13;0;0
3.674;263;-14;0;0
3.679;233;-16;0;0
3.684;210;-15;0;0
3.689;187;-11;0;0
3.694;156;-14;0;0
3.699;133;-17;0;0
3.704;101;-18;0;0
3.709;70;-18;0;0
3.714;47;-16;0;0
3.719;15;-18;0;0
3.724;-15;-19;0;0
3.729;-47;-18;0;0
3.734;-78;-17;0;0
3.739;-109;-19;0;0
3.744;-140;-20;0;0
3.749;-164;-16;0;0
3.754;-187;-12;0;0
3.759;-218;-15;0;0
3.764;-241;-16;0;0
3.769;-263;-14;0;0
3.774;-286;-13;0;0
3.779;-309;-10;0;0
3.784;-323;-12;0;0
3.789;-346;-11;0;0
3.794;-360;-10;0;0
3.799;-375;-10;0;0
3.804;-382;-8;0;0
3.809;-397;-11;0;0
3.814;-411;-7;0;0
3.819;-411;-6;0;0
3.824;-418;-4;0;0
3.829;-418;-4;0;0
3.834;-425;-2;0;0
3.839;-425;-2;0;0
3.844;-418;3;0;0
3.849;-418;2;0;0
3.854;-411;2;0;0
3.859;-411;2;0;0
3.864;-397;3;0;0
3.869;-389;4;0;0
3.874;-382;11;0;0
3.879;-368;6;0;0
3.884;-353;9;0;0
3.889;-331;10;0;0
3.894;-316;11;0;0
3.899;-294;14;0;0
3.904;-278;11;0;0
3.909;-256;12;0;0
3.914;-233;14;0;0
3.919;-210;12;0;0
3.924;-179;18;0;0
3.929;-156;15;0;0
3.934;-133;15;0;0
3.939;-109;18;0;0
3.944;-78;20;0;0
3.949;-47;19;0;0
3.954;-15;18;0;0
3.959;7;16;0;0
3.964;39;17;0;0
3.969;62;15;0;0
3.974;86;13;0;0
3.979;109;15;0;0
3.984;140;17;0;0
3.989;171;21;0;0
3.994;187;13;0;0
3.999;210;17;0;0
4.004;233;13;0;0
4.009;248;10;0;0
4.014;263;11;0;0
4.019;286;10;0;0
4.024;301;10;0;0
4.029;323;11;0;0
4.034;331;7;0;0
4.039;338;6;0;0
4.044;353;6;0;0
4.049;353;5;0;0
4.054;360;4;0;0
4.059;368;4;0;0
4.064;368;3;0;0
4.069;368;3;0;0
4.074;368;3;0;0
4.079;368;3;0;0
4.084;360;-8;0;0
4.089;353;-2;0;0
4.094;346;-2;0;0
4.099;338;-3;0;0
4.104;323;-7;0;0
4.109;323;-5;0;0
4.114;301;-8;0;0
4.119;294;-9;0;0
4.124;263;-13;0;0
4.129;248;-10;0;0
4.134;233;-11;0;0
4.139;218;-9;0;0
4.144;195;-12;0;0
4.149;171;-14;0;0
4.154;140;-19;0;0
