t;e;d;i;set

1.939;0;5000;0;0
1.944;0;5000;0;0
1.949;0;5000;0;0
1.954;0;5000;0;0
1.959;0;5000;0;0
1.964;0;5000;0;0
1.969;0;5000;0;0
1.974;0;5000;0;0
1.979;0;5000;0;0
1.984;0;5000;0;0
1.989;0;5000;0;0
1.994;0;5000;0;0
1.999;0;5000;0;0
2.004;0;5000;0;0
2.009;0;5000;0;0
2.014;0;5000;0;0
2.019;0;5000;0;0
2.024;0;5000;0;0
2.029;0;5000;0;0
2.034;0;5000;0;0
2.039;0;5000;0;0
2.044;0;5000;0;0
2.049;0;5000;0;0
2.054;0;5000;0;0
2.059;0;5000;0;0
2.064;0;5000;0;0
2.069;0;5000;0;0
2.074;0;5000;0;0
2.079;0;5000;0;0
2.084;0;5000;0;0
2.089;0;5000;0;0
2.094;0;5000;0;0
2.099;0;5000;0;0
2.104;0;5000;0;0
2.109;0;5000;0;0
2.114;0;5000;0;0
2.119;0;5000;0;0
2.124;0;5000;0;0
2.129;0;5000;0;0
2.134;0;5000;0;0
2.139;0;5000;0;0
2.144;0;5000;0;0
2.149;0;5000;0;0
2.154;0;5000;0;0
2.159;0;5000;0;0
2.164;0;5000;0;0
2.169;0;5000;0;0
2.174;0;5000;0;0
2.179;0;5000;0;0
2.184;0;5000;0;0
2.189;0;5000;0;0
2.194;0;5000;0;0
2.199;0;5000;0;0
2.204;0;5000;0;0
2.209;0;5000;0;0
2.214;0;5000;0;0
2.219;0;5000;0;0
2.224;0;5000;0;0
2.229;0;5000;0;0
2.234;0;5000;0;0
2.239;0;5000;0;0
2.244;0;5000;0;0
2.249;0;5000;0;0
2.254;0;5000;0;0
2.259;0;5000;0;0
2.264;0;5000;0;0
2.269;0;5000;0;0
2.274;0;5000;0;0
2.279;0;5000;0;0
2.284;0;5000;0;0
2.289;0;5000;0;0
2.294;0;5000;0;0
2.299;0;5000;0;0
2.304;0;5000;0;0
2.309;0;5000;0;0
2.314;0;5000;0;0
2.319;0;5000;0;0
2.324;0;5000;0;0
2.329;0;5000;0;0
2.334;0;5000;0;0
2.339;0;5000;0;0
2.344;0;5000;0;0
2.349;0;5000;0;0
2.354;0;5000;0;0
2.359;0;5000;0;0
2.364;0;5000;0;0
2.369;0;5000;0;0
2.374;0;5000;0;0
2.379;0;5000;0;0
2.384;0;5000;0;0
2.389;-23;5000;0;0
2.394;-47;5000;0;0
2.399;-125;5000;0;0
2.404;-179;5000;0;0
2.409;-271;5000;0;0
2.414;-331;5000;0;0
2.419;-411;5000;0;0
2.424;-467;5000;0;0
2.429;-522;5000;0;0
2.434;-581;5000;0;0
2.439;-625;5000;0;0
2.444;-673;5000;0;0
2.449;-718;5000;0;0
2.454;-755;5000;0;0
2.459;-785;5000;0;0
2.464;-818;5000;0;0
2.469;-840;5000;0;0
2.474;-860;5000;0;0
