tiempo;error;integral;derivada
11076;0;552;0
11082;0;1656;0
11088;0;2760;0
11094;0;3864;0
11097;0;4416;0
11103;0;5520;0
11109;0;6624;0
11115;0;7728;0
11121;0;8832;0
11127;0;9936;0
11133;0;10000;0
11139;0;10000;0
11148;0;10000;0
11163;0;10000;0
11172;0;10000;0
11178;0;10000;0
11184;0;10000;0
11193;0;10000;0
11199;0;10000;0
11205;0;10000;0
11211;0;10000;0
11217;0;10000;0
11223;0;10000;0
11229;0;10000;0
11238;0;10000;0
11244;0;10000;0
11250;0;10000;0
11256;0;10000;0
11262;0;10000;0
11268;0;10000;0
11274;0;10000;0
11280;0;10000;0
11286;0;10000;0
11295;0;10000;0
11301;0;10000;0
11307;0;10000;0
11313;0;10000;0
11319;0;10000;0
11328;0;10000;0
11334;0;10000;0
11340;0;10000;0
11346;0;10000;0
11352;0;10000;0
11361;0;10000;0
11367;0;10000;0
11373;0;10000;0
11379;0;10000;0
11385;0;10000;0
11391;0;10000;0
11397;0;10000;0
11403;0;10000;0
11409;0;10000;0
11418;0;10000;0
11424;0;10000;0
11430;0;10000;0
11436;0;10000;0
11442;0;10000;0
11448;0;10000;0
11454;0;10000;0
11457;0;10000;0
11463;0;10000;0
11469;0;10000;0
11502;0;10000;0
11508;0;10000;0
11514;0;10000;0
11520;0;10000;0
11529;0;10000;0
11535;0;10000;0
11541;0;10000;0
11547;0;10000;0
11553;0;10000;0
11559;0;10000;0
11565;0;10000;0
11574;0;10000;0
11580;0;10000;0
11586;0;10000;0
11592;0;10000;0
11598;0;10000;0
11604;0;10000;0
11610;0;10000;0
11613;0;10000;0
11619;0;10000;0
11625;0;10000;0
11631;0;10000;0
11637;0;10000;0
11643;0;10000;0
11649;0;10000;0
11655;0;10000;0
11658;0;10000;0
11664;0;10000;0
11670;0;10000;0
11676;0;10000;0
11682;0;10000;0
11688;0;10000;0
11691;0;10000;0
11697;0;10000;0
11703;0;10000;0
11709;0;10000;0
11721;0;10000;0
11724;0;10000;0
11745;0;10000;0
11754;0;10000;0
11760;0;10000;0
11766;0;10000;0
11772;0;10000;0
11778;0;10000;0
11787;0;10000;0
11793;0;10000;0
11799;0;10000;0
11805;0;10000;0
11811;0;10000;0
11820;0;10000;0
11826;0;10000;0
11832;0;10000;0
11838;0;10000;0
11844;0;10000;0
11850;0;10000;0
11856;0;10000;0
11865;0;10000;0
11871;0;10000;0
11877;0;10000;0
11883;0;10000;0
11889;0;10000;0
11895;0;10000;0
11901;0;10000;0
11904;0;10000;0
11910;0;10000;0
11916;0;10000;0
11922;0;10000;0
11934;0;10000;0
11940;0;10000;0
11946;0;10000;0
11952;0;10000;0
11958;0;10000;0
11967;0;10000;0
11991;0;10000;0
12000;0;10000;0
12012;0;10000;0
12024;0;10000;0
12033;0;10000;0
12039;0;10000;0
12045;0;10000;0
12051;0;10000;0
12057;0;10000;0
12063;0;10000;0
12069;0;10000;0
12075;0;10000;0
12081;0;10000;0
12096;0;10000;0
12102;0;10000;0
12108;0;10000;0
12114;0;10000;0
12123;0;10000;0
12150;0;10000;0
12159;0;10000;0
12171;0;10000;0
12177;0;10000;0
12183;0;10000;0
12186;0;10000;0
12192;0;10000;0
12201;0;10000;0
12207;0;10000;0
12213;0;10000;0
12225;0;10000;0
12237;0;10000;0
12246;0;10000;0
12252;0;10000;0
12258;0;10000;0
12264;0;10000;0
12270;0;10000;0
12276;0;10000;0
12282;0;10000;0
12288;0;10000;0
12294;0;10000;0
12303;0;10000;0
12309;0;10000;0
12315;0;10000;0
12321;0;10000;0
12327;0;10000;0
12333;0;10000;0
12339;0;10000;0
12348;0;10000;0
12354;0;10000;0
12360;0;10000;0
12369;0;10000;0
12375;0;10000;0
12381;0;10000;0
12387;0;10000;0
12393;0;10000;0
12399;0;10000;0
12405;0;10000;0
12414;0;10000;0
12420;0;10000;0
12426;0;10000;0
12432;0;10000;0
12438;0;10000;0
12444;0;10000;0
12450;0;10000;0
12459;0;10000;0
12465;0;10000;0
12471;0;10000;0
12486;0;10000;0
12495;0;10000;0
12504;0;10000;0
12510;0;10000;0
12516;0;10000;0
12522;0;10000;0
12528;0;10000;0
12537;0;10000;0
12543;0;10000;0
12549;0;10000;0
12555;0;10000;0
12561;0;10000;0
12567;0;10000;0
12573;0;10000;0
12582;0;10000;0
12588;0;10000;0
12594;0;10000;0
12600;0;10000;0
12606;0;10000;0
12612;0;10000;0
12618;0;10000;0
12627;0;10000;0
12633;0;10000;0
12639;0;10000;0
12645;0;10000;0
12651;0;10000;0
12657;0;10000;0
12663;0;10000;0
12672;0;10000;0
12678;0;10000;0
12684;0;10000;0
12690;0;10000;0
12696;0;10000;0
12702;0;10000;0
12708;0;10000;0
12717;0;10000;0
12729;0;10000;0
12735;0;10000;0
12741;0;10000;0
12750;0;10000;0
12756;0;10000;0
12762;0;10000;0
12768;0;10000;0
12774;0;10000;0
12780;0;10000;0
12786;0;10000;0
12789;0;10000;0
12795;0;10000;0
12801;0;10000;0
12807;0;10000;0
12813;0;10000;0
12819;0;10000;0
12831;0;10000;0
12840;0;10000;0
12846;0;10000;0
12852;0;10000;0
12858;0;10000;0
12864;0;10000;0
12870;0;10000;0
12876;0;10000;0
12882;-1;10000;0
12888;-1;10000;-45
12894;-2;10000;-45
12900;-3;10000;-45
12909;-5;10000;-45
12915;-7;10000;-45
12921;-7;10000;-45
12927;-9;10000;-45
12933;-11;10000;-45
12939;-13;10000;-45
12945;-15;10000;-671
12951;-16;10000;-671
12957;-17;10000;-671
12963;-19;10000;-671
12969;-20;10000;-671
12987;-25;10000;-671
12993;-27;10000;-671
13002;-29;10000;-671
13011;-31;10000;-854
13020;-33;10000;-854
13035;-36;10000;-854
13041;-38;10000;-854
13047;-39;10000;-854
13056;-41;10000;-854
13065;-43;10000;-817
13071;-45;10000;-817
13077;-47;10000;-817
13083;-48;10000;-817
13089;-50;10000;-817
13095;-52;10000;-817
13101;-54;10000;-817
13110;-56;10000;-817
13116;-58;10000;-817
13122;-60;10000;-863
13128;-62;10000;-863
13134;-64;10000;-863
13140;-67;10000;-863
13146;-69;10000;-863
13152;-71;10000;-863
13158;-73;9996;-863
13167;-77;9927;-863
13173;-79;9843;-863
13179;-81;9732;-1037
13185;-83;9581;-1037
13191;-86;9402;-1037
13197;-89;9190;-1037
13203;-91;8942;-1037
13212;-95;8506;-1037
13218;-99;8176;-1037
13224;-101;7809;-1037
13239;-107;6761;-1172
13245;-111;6289;-1172
13251;-113;5784;-1172
13257;-115;5251;-1172
13263;-118;4694;-1172
13269;-120;4110;-1172
13275;-123;3496;-1172
13281;-125;2860;-1172
13290;-128;1863;-1172
13296;-131;1166;-1172
13302;-133;449;-904
13311;-137;-666;-904
13317;-139;-1439;-904
13323;-141;-2228;-904
13329;-143;-3038;-904
13335;-146;-3864;-904
13341;-148;-4708;-904
13347;-150;-5564;-904
13353;-151;-6436;-904
13359;-153;-7323;-622
13365;-155;-8221;-622
13371;-157;-9128;-622
13377;-159;-10000;-622
13383;-161;-10000;-622
13389;-163;-10000;-622
13395;-166;-10000;-622
13401;-168;-10000;-622
13413;-171;-10000;-622
13416;-172;-10000;-622
13425;-175;-10000;-385
13431;-176;-10000;-385
13437;-178;-10000;-385
13443;-179;-10000;-385
13452;-182;-10000;-385
13458;-184;-10000;-385
13464;-186;-10000;-385
13470;-187;-10000;-385
13482;-191;-10000;-181
13494;-194;-10000;-181
13503;-197;-10000;-181
13509;-199;-10000;-181
13515;-200;-10000;-181
13521;-202;-10000;-181
13527;-204;-10000;-181
13533;-206;-10000;-181
13539;-207;-10000;-38
13545;-209;-10000;-38
13551;-210;-10000;-38
13557;-212;-10000;-38
13563;-214;-10000;-38
13569;-215;-10000;-38
13575;-217;-10000;-38
13581;-219;-10000;-38
13587;-220;-10000;-38
13593;-221;-10000;-38
13599;-223;-10000;79
13605;-224;-10000;79
13611;-226;-10000;79
13617;-227;-10000;79
13623;-228;-10000;79
13629;-230;-10000;79
13635;-231;-10000;79
13641;-232;-10000;79
13647;-234;-10000;79
13653;-235;-10000;79
13659;-237;-10000;161
13665;-239;-10000;161
13671;-240;-10000;161
13677;-241;-10000;161
13683;-242;-10000;161
13689;-243;-10000;161
13695;-245;-10000;161
13701;-246;-10000;161
13707;-247;-10000;161
13713;-248;-10000;237
13719;-249;-10000;237
13722;-250;-10000;237
13728;-251;-10000;237
13734;-253;-10000;237
13740;-255;-10000;237
13746;-255;-10000;237
13752;-257;-10000;237
13758;-258;-10000;237
13764;-259;-10000;237
13770;-260;-10000;237
13776;-262;-10000;307
13782;-263;-10000;307
13788;-264;-10000;307
13794;-266;-10000;307
13800;-267;-10000;307
13806;-268;-10000;307
13812;-269;-10000;307
13818;-271;-10000;307
13824;-272;-10000;307
13830;-273;-10000;307
13839;-275;-10000;352
13845;-276;-10000;352
13851;-277;-10000;352
13857;-278;-10000;352
13863;-279;-10000;352
13869;-280;-10000;352
13875;-281;-10000;352
13881;-282;-10000;352
13887;-283;-10000;352
13896;-285;-10000;349
13902;-286;-10000;349
13908;-287;-10000;349
13914;-289;-10000;349
13920;-290;-10000;349
13929;-291;-10000;349
13935;-292;-10000;349
13941;-293;-10000;349
13947;-294;-10000;371
13953;-295;-10000;371
13959;-295;-10000;371
13965;-296;-10000;371
13971;-296;-10000;371
13986;-298;-10000;371
13989;-298;-10000;371
13995;-299;-10000;371
14001;-299;-10000;260
14007;-299;-10000;260
14013;-300;-10000;260
14019;-301;-10000;260
14025;-302;-10000;260
14031;-303;-10000;260
14040;-303;-10000;260
14046;-304;-10000;260
14052;-305;-10000;260
14058;-305;-10000;257
14064;-306;-10000;257
14070;-307;-10000;257
14076;-307;-10000;257
14079;-307;-10000;257
14085;-308;-10000;257
