tiempo;error;integral;derivada;setPoint
16485;185;50;-1;14
16491;155;98;-2;13
16497;180;148;-1;15
16503;177;198;-2;14
16509;188;247;-1;15
16515;158;293;-1;14
16521;126;329;-46;14
16527;125;364;-46;14
16533;125;398;-46;14
16539;169;439;-46;14
16545;167;484;-46;14
16551;166;528;-46;15
16557;165;572;-46;14
16563;105;610;-46;14
16569;118;643;-46;13
16575;118;675;-46;15
16581;102;705;-9;14
16587;101;733;-9;16
16593;113;763;-9;14
16599;111;792;-9;14
16605;110;824;-9;14
16611;94;852;-9;14
16617;107;880;-9;15
16623;91;908;-12;15
16629;89;934;-1;14
16635;101;962;-1;14
16641;72;988;-1;15
16647;98;1016;-1;14
16653;96;1042;-1;14
16659;67;1066;-1;14
16665;78;1088;-1;15
16671;104;1113;0;13
16677;102;1137;-1;14
16683;87;1159;-1;14
16689;71;1183;-1;13
16695;83;1206;-1;15
16704;67;1237;-1;14
16710;65;1257;-1;13
16716;64;1277;0;14
16722;89;1300;-1;14
16728;74;1320;-1;14
16737;72;1350;0;15
16743;56;1366;-1;15
16749;55;1382;0;15
16755;67;1398;-1;15
16761;51;1416;-1;14
16770;63;1443;-1;14
16776;61;1459;-1;14
16782;33;1471;-1;15
16788;72;1489;0;14
16794;57;1505;-1;13
16800;55;1520;-1;14
16806;54;1536;-1;13
16812;52;1548;-1;14
16818;51;1560;-1;13
16824;63;1578;0;15
16830;34;1589;-1;14
16836;92;1608;44;15
16842;74;1630;44;14
16848;84;1652;44;15
16854;82;1675;44;15
16860;19;1682;44;13
16866;31;1692;44;13
16872;28;1700;44;14
16878;26;1708;44;14
16884;9;1712;44;14
16890;34;1717;44;14
16896;5;1719;-73;14
16902;33;1725;-73;14
16908;21;1730;-73;14
16914;8;1735;-73;14
16920;67;1753;48;15
16926;63;1771;48;14
16932;60;1785;48;14
16938;57;1801;48;12
16944;53;1817;48;14
16950;51;1829;48;14
16956;61;1844;48;14
16962;31;1852;48;15
16968;42;1864;48;15
16974;39;1874;48;14
16980;38;1886;-44;14
16986;38;1896;-40;14
16992;38;1904;-37;14
16998;22;1910;-1;16
17004;21;1918;-1;14
17010;19;1926;-1;13
17016;32;1936;-1;14
17022;30;1946;-1;14
17028;29;1952;-1;15
17034;28;1958;-1;14
17040;13;1964;0;13
17046;12;1965;0;15
17052;11;1969;0;14
17058;23;1975;-1;13
17064;22;1981;-1;15
17070;34;1988;-1;14
17076;20;1989;0;13
17082;31;1995;-1;13
17088;3;1999;-1;13
17094;2;2003;-1;14
17100;1;2005;-1;14
17106;14;2009;-1;14
17112;26;2013;0;13
17118;12;2012;0;13
17124;11;2013;0;14
17130;-17;2011;0;14
17136;9;2013;0;14
17142;-6;2014;0;13
17151;64;2025;-1;13
17157;35;2037;-1;13
17163;48;2050;-1;14
17169;46;2060;-1;13
17175;45;2070;-1;15
17181;43;2080;-1;13
17187;42;2092;-1;13
17196;-5;2097;-1;14
17202;-20;2095;-1;14
17208;-7;2095;-13;15
17214;-7;2093;-13;14
17220;-8;2089;-13;14
17226;-22;2085;-13;14
17232;-23;2084;-13;16
17238;-9;2080;-13;14
17244;-10;2078;-13;14
17250;-24;2072;-13;14
17256;-11;2068;-1;14
17262;-11;2064;-1;14
17271;-39;2055;-1;13
17277;-13;2054;-1;15
17289;3;2055;-1;13
17295;-30;2057;-1;13
17301;-4;2055;-1;15
17307;-31;2049;-1;13
17313;-32;2043;-1;13
17319;-32;2035;-1;14
17325;-6;2033;-7;13
17331;-6;2029;-7;14
17337;-7;2026;-7;15
17343;-21;2020;-7;14
17349;-35;2012;-7;13
17355;-36;2004;-7;15
17361;-22;1996;-4;13
17367;-10;1990;-1;15
17373;-23;1982;-1;14
17379;-24;1976;-1;14
17385;-24;1968;-1;14
17391;-25;1960;-1;14
17397;-40;1952;-1;14
17403;-40;1942;0;13
17409;-26;1934;0;14
17415;-27;1928;0;14
17421;-42;1919;-1;14
17427;-28;1911;0;13
17433;-29;1907;-1;13
17439;-29;1899;0;13
17445;-30;1893;-1;14
17451;-17;1887;0;13
17457;-45;1875;0;14
17463;-32;1869;-1;14
17469;-72;1855;0;15
17475;-32;1847;0;14
17481;-33;1837;0;14
17487;-33;1829;0;14
17493;-34;1819;0;14
17499;-34;1811;0;14
17505;-22;1804;-1;13
17511;-35;1792;0;14
17520;-22;1777;0;14
17526;-36;1767;0;13
17532;-24;1763;-1;15
17538;-37;1753;0;13
17544;-38;1745;-1;15
17550;-38;1735;0;14
17556;-38;1725;0;14
17562;-53;1713;-1;14
17568;-53;1701;0;14
17574;-39;1693;0;14
17580;-39;1683;0;14
17586;-54;1671;-1;14
17592;-40;1659;0;14
17598;-40;1649;0;15
17604;-40;1635;0;14
17610;-67;1621;0;14
17616;-40;1611;0;14
17622;-28;1602;0;13
17628;-28;1591;0;13
17634;-28;1582;0;13
17640;-42;1570;0;13
17646;-42;1558;0;15
17655;-43;1540;0;14
17661;-30;1528;0;15
17667;-57;1512;0;15
17673;-58;1502;-1;15
17679;-44;1488;0;14
17685;-44;1476;0;13
17691;-44;1462;0;15
17694;-44;1456;0;14
17700;-44;1444;0;14
17706;-31;1434;0;13
17712;-32;1422;0;14
17718;-45;1410;0;13
17724;-45;1400;0;13
17730;-45;1390;0;13
17736;-45;1378;0;14
17742;-32;1368;0;13
17748;-46;1356;0;15
17757;-60;1338;0;14
17763;-46;1324;0;13
17769;-45;1310;1;13
17775;-45;1298;0;14
17781;-59;1282;0;14
17787;-59;1268;0;14
17793;-58;1250;1;14
17802;-44;1232;0;13
17808;-58;1218;0;14
17814;-44;1204;0;14
17820;-45;1196;-1;13
17826;-45;1184;0;14
17832;-45;1174;0;14
17838;-45;1162;0;14
17847;-32;1148;0;14
17853;-45;1138;0;13
17859;-45;1126;0;15
17865;-45;1114;0;13
17871;-44;1100;1;13
17877;-58;1084;0;14
17883;-31;1074;0;14
17889;-58;1060;0;15
17895;-43;1048;0;15
17901;-43;1036;0;13
17907;-57;1024;0;15
17913;-56;1008;1;14
17919;-56;994;0;13
17925;-56;980;0;14
17931;-28;971;0;13
17937;-41;961;0;13
17946;-41;945;0;14
17952;-55;933;0;14
17958;-54;919;0;16
17964;-40;909;0;14
17970;-26;899;1;14
17976;-53;887;0;15
17982;-39;877;0;13
17988;-38;865;1;12
17994;-38;855;0;13
18006;-52;829;0;13
18015;-37;812;0;13
18018;-37;807;0;15
18024;-50;793;1;14
18030;-50;781;0;14
18036;-50;769;0;15
18042;-35;759;0;14
18048;-35;747;0;14
18054;-35;737;0;13
18060;-21;727;1;14
18066;-61;715;0;13
18072;-20;709;0;16
18078;47;716;0;20
18084;98;738;-1;25
18093;161;797;-1;32
18099;238;857;-2;36
18105;261;929;-2;40
18111;336;1017;-2;43
18117;384;1120;-4;50
18123;373;1233;-49;50
18129;369;1338;-49;50
18135;363;1441;-49;50
18141;359;1543;-49;50
18147;355;1644;-49;50
18153;349;1743;-49;50
18159;345;1841;-49;50
18165;341;1938;-49;50
18171;337;2034;-49;50
18177;331;2128;-49;102
18183;1012;2417;-52;102
18189;996;2702;-8;102
18195;980;2983;-10;102
18204;912;3384;-60;102
18210;844;3633;-60;102
18216;828;3870;-60;102
18222;816;4103;-60;102
18228;804;4333;-60;153
18234;1470;4754;-60;153
18240;1446;5167;-60;153
18246;1422;5574;-60;153
18252;1346;5968;-60;153
18258;1330;6349;-60;153
18264;1314;6723;-284;153
18270;1298;7094;-284;153
18276;1230;7445;-284;153
18282;1214;7792;-284;153
18288;1206;8137;-284;153
18294;1190;8478;-284;153
18300;1174;8813;-284;153
18306;1166;9145;-284;153
18312;1150;9474;-284;153
18318;1813;9896;-172;204
18324;1781;10000;-172;204
18330;1765;10000;-172;204
18336;1733;10000;-16;204
18342;1649;10000;-68;204
18348;1633;10000;-68;204
18354;1555;10000;-68;204
18360;1539;10000;-68;204
18366;1507;10000;-68;204
18372;1491;10000;-68;204
18378;1459;10000;-68;204
18384;1435;10000;-68;204
18390;2094;10000;-68;256
18396;2062;10000;-68;256
18402;2030;10000;-310;256
18408;2014;10000;-310;256
18414;1982;10000;-16;256
18420;1950;10000;-16;256
18426;1918;10000;-16;256
18432;1834;10000;-68;256
18438;1802;10000;-68;256
18444;1770;10000;-68;256
18450;2470;10000;-68;311
18456;2438;10000;-68;311
18462;2406;10000;-68;311
18468;2306;10000;-68;311
18474;2274;10000;-68;311
18480;2242;10000;-68;311
18486;2210;10000;-68;311
18492;2178;10000;-388;311
18498;2162;10000;-388;311
18504;2130;10000;-388;311
18510;2150;10000;-388;311
18516;2186;10000;-388;370
18522;2939;10000;-388;370
18528;2891;10000;-56;370
18534;2791;10000;-56;370
18540;2707;10000;-56;370
18546;2711;10000;-56;370
18552;2679;10000;-56;370
18558;2631;10000;-56;370
18564;2547;10000;-56;370
18570;2551;10000;-56;370
18576;2519;10000;-404;370
18582;2487;10000;-404;370
18588;2507;10000;-404;370
18594;3193;10000;-404;424
18600;3161;10000;-404;424
18606;3113;10000;-404;424
18612;3081;10000;-404;424
18618;3049;10000;-404;424
18624;3001;10000;-404;424
18630;2969;10000;-268;424
18636;2967;10000;-268;424
18642;2935;10000;-268;424
