tiempo;error;integral;derivada;setPoint
9936;211;58;-1;15
9942;208;115;-1;15
9948;165;163;-1;15
9954;190;215;-1;15
9960;187;266;-1;15
9966;126;310;-47;15
9972;126;347;-47;15
9978;139;382;-47;15
9984;138;420;-47;14
9990;182;472;-47;14
9996;181;521;-47;15
10002;180;569;-47;14
10008;147;605;-47;15
10014;133;643;-47;16
10020;132;681;-47;15
10026;119;716;-7;15
10032;130;754;-7;15
10038;128;792;-7;15
10044;126;828;-7;15
10050;125;864;-7;15
10056;150;902;-7;15
10062;134;936;-7;15
10068;120;972;-18;14
10074;131;1007;-1;15
10080;116;1037;-1;15
10086;115;1071;-1;14
10092;113;1103;-1;15
10098;111;1134;-1;15
10104;110;1164;-1;15
10110;108;1194;-1;15
10116;80;1218;0;15
10122;105;1248;-1;16
10128;117;1279;-1;15
10134;115;1309;-1;14
10140;114;1339;0;15
10146;86;1365;-1;15
10152;85;1391;-1;15
10158;97;1417;0;16
10164;95;1441;-1;15
10170;107;1469;-1;15
10176;92;1497;-1;15
10182;104;1526;-1;16
10188;102;1552;-1;15
10194;88;1576;-1;15
10200;87;1602;0;14
10206;85;1628;-1;15
10212;97;1653;-1;14
10218;96;1674;0;14
10224;82;1694;0;15
10230;68;1712;0;14
10236;79;1734;-1;15
10242;78;1758;-1;15
10248;64;1780;-1;14
10254;76;1802;-1;16
10260;75;1824;0;15
10266;74;1844;0;14
10272;73;1864;0;15
10278;59;1878;0;15
10284;71;1900;0;15
10290;70;1920;0;15
10296;109;1944;0;15
10302;68;1962;0;15
10308;40;1974;0;15
10314;66;1992;-1;14
10320;65;2010;-1;14
10326;108;2042;45;15
10332;92;2070;45;15
10338;103;2097;45;15
10344;100;2127;45;15
10350;97;2154;45;15
10356;36;2172;45;16
10362;47;2184;45;15
10368;77;2209;45;15
10374;43;2221;45;15
10380;41;2228;45;15
10386;71;2245;-26;14
10392;84;2269;-26;15
10398;96;2294;-26;16
10404;83;2318;-26;14
10410;82;2342;-26;15
10416;82;2364;-26;15
10422;81;2386;-26;15
10428;81;2406;-26;15
10434;81;2428;-26;15
10440;80;2450;-26;16
10446;79;2474;-5;14
10452;78;2496;-1;15
10458;50;2514;-1;15
10464;63;2534;-1;15
10470;62;2554;-1;16
10476;74;2574;-1;15
10482;73;2592;-1;15
10488;59;2610;0;15
10494;71;2630;-1;15
10500;70;2648;0;15
10506;69;2666;0;15
10512;55;2684;0;15
10518;80;2704;-1;16
10524;66;2722;0;14
10530;65;2740;0;15
10536;64;2756;-1;15
10545;50;2781;0;15
10551;75;2803;0;15
10557;48;2817;0;15
10563;60;2833;-1;15
10569;59;2847;-1;15
10575;59;2863;0;16
10581;71;2879;0;15
10587;57;2893;0;16
10593;56;2909;0;14
10599;42;2921;-1;15
10605;68;2936;0;15
10611;54;2952;0;15
10617;53;2964;0;15
10623;52;2978;-1;15
10629;52;2990;0;15
10635;38;3002;0;15
10638;38;3007;0;16
10644;37;3019;0;16
10650;36;3031;-1;15
10656;62;3046;0;15
10662;48;3058;0;15
10668;47;3068;0;15
10674;33;3078;-1;15
10680;59;3092;0;15
10686;45;3104;0;14
10692;44;3116;-1;14
10698;44;3126;0;15
10704;43;3138;0;14
10710;29;3150;-1;15
10716;42;3162;0;14
10722;41;3172;0;15
10728;27;3180;-1;15
10734;40;3190;0;14
10740;27;3196;0;14
10746;26;3204;0;14
10752;39;3214;0;15
10758;38;3224;0;15
10764;38;3232;0;14
10770;37;3242;0;15
10773;37;3247;0;14
10779;23;3255;0;15
10785;36;3265;0;16
10791;35;3271;0;15
10797;35;3281;0;14
10803;34;3288;0;15
10809;34;3296;0;15
10815;33;3304;0;15
10821;33;3312;0;15
10827;32;3320;-1;15
10833;32;3324;0;14
10839;31;3332;-1;14
10845;44;3342;0;16
10851;30;3350;0;15
10857;30;3358;0;15
10863;29;3366;-1;13
10869;29;3374;0;15
10875;29;3380;0;16
10881;15;3386;0;14
10887;28;3394;0;13
10893;14;3400;-1;13
10899;27;3406;0;15
10905;14;3411;0;14
10911;13;3415;-1;14
10917;13;3419;0;15
10923;26;3425;0;15
10929;25;3431;0;15
10935;25;3439;0;13
10941;25;3443;0;14
10947;24;3447;0;15
10953;24;3453;0;15
10959;11;3457;0;15
10965;23;3463;-1;15
10971;23;3467;0;15
10977;10;3469;0;15
10983;22;3475;-1;15
10989;35;3481;0;15
10995;22;3485;0;14
11001;22;3489;0;15
11007;21;3496;0;15
11013;8;3500;0;14
11019;21;3506;0;15
11025;20;3511;-1;14
11031;20;3514;0;15
11037;7;3517;0;14
11043;19;3521;-1;16
11049;19;3523;0;15
11055;6;3525;0;15
11061;18;3531;-1;15
11067;31;3539;0;14
11073;5;3539;0;15
11079;5;3539;0;15
11085;4;3541;-1;13
11091;17;3545;0;15
11097;30;3551;0;15
11103;16;3555;0;15
11109;16;3559;0;15
11115;3;3558;0;14
11121;-12;3561;-1;15
11127;28;3565;0;15
11133;15;3569;0;15
11139;14;3575;-1;15
11145;14;3579;0;14
11151;14;3583;0;15
11157;14;3587;0;15
11163;14;3591;0;15
11169;13;3594;-1;14
11175;13;3596;0;14
11181;13;3597;0;15
11187;-14;3596;0;15
11193;13;3598;0;14
11199;13;3600;0;14
11205;13;3602;0;14
11211;12;3601;0;15
11217;-1;3602;0;15
11223;-1;3602;0;15
11229;39;3605;0;18
11235;91;3623;0;22
11241;142;3659;-1;28
11247;179;3708;-2;32
11253;229;3771;-2;33
11262;318;3884;-2;39
11268;326;3976;-2;43
11274;383;4079;-47;51
11280;419;4198;-47;51
11286;413;4316;-47;51
11292;409;4432;-47;51
11298;405;4547;-47;51
11304;399;4661;-47;51
11310;395;4773;-47;51
