tiempo;error;integral;derivada
15168;7;-10000;-989
15174;9;-10000;-989
15180;10;-10000;-428
15186;9;-10000;-428
15192;9;-10000;-428
15198;10;-10000;-428
15204;11;-10000;-428
15210;12;-10000;-487
15216;12;-10000;-487
15222;12;-10000;-487
15228;12;-10000;-487
15234;13;-10000;-487
15240;13;-10000;-191
15246;14;-10000;-191
15252;14;-10000;-191
15258;14;-10000;-191
15264;14;-10000;-305
15270;15;-10000;-305
15276;15;-10000;-305
15282;15;-10000;-216
15288;15;-10000;-216
15294;15;-10000;-216
15300;15;-10000;-216
15306;15;-10000;-88
15312;15;-10000;-80
15318;15;-10000;-73
15324;15;-10000;-67
15330;15;-10000;-62
15336;15;-10000;-58
15342;15;-10000;-54
15348;15;-10000;-51
15354;15;-10000;-48
15360;15;-10000;-46
15366;14;-10000;55
15372;14;-10000;55
15378;14;-10000;55
15384;13;-10000;55
15390;13;-10000;55
15396;13;-10000;325
15402;13;-10000;325
15408;12;-10000;325
15414;12;-10000;164
15420;11;-10000;164
15426;11;-10000;164
15432;11;-10000;164
15438;10;-10000;164
15444;9;-10000;400
15450;9;-10000;400
15456;9;-10000;400
15462;8;-10000;400
15468;8;-10000;371
15474;7;-10000;371
15480;7;-10000;371
15516;3;-10000;551
15522;3;-10000;452
15528;2;-10000;452
15534;1;-10000;452
15540;1;-10000;452
15546;1;-10000;520
15552;0;-10000;520
15558;-1;-10000;520
15564;-2;-10000;433
15570;-2;-10000;433
15576;-3;-10000;433
15582;-3;-10000;433
15588;-3;-10000;520
15594;-4;-10000;520
15600;-5;-10000;520
15606;-5;-10000;433
15612;-6;-10000;433
15618;-6;-10000;433
15624;-7;-10000;433
15630;-7;-10000;445
15636;-7;-10000;445
15642;-8;-10000;445
15648;-9;-10000;445
15654;-9;-10000;358
15660;-9;-10000;358
15666;-10;-10000;358
15672;-11;-10000;358
15678;-11;-10000;358
15684;-11;-10000;433
15690;-11;-10000;433
15696;-11;-10000;433
15702;-12;-10000;433
15708;-12;-10000;192
15714;-12;-10000;192
15720;-13;-10000;192
15726;-13;-10000;192
15732;-13;-10000;264
15738;-13;-10000;264
15744;-13;-10000;264
15750;-13;-10000;90
15756;-14;-10000;140
15762;-14;-10000;140
15768;-14;-10000;140
15774;-14;-10000;140
15780;-14;-10000;140
15786;-14;-10000;75
15792;-13;-10000;-136
15798;-13;-10000;-136
15804;-13;-10000;-136
15810;-13;-10000;-136
15816;-13;-10000;-136
15822;-13;-10000;-136
15828;-12;-10000;-70
15834;-12;-10000;-121
15840;-12;-10000;-121
15846;-11;-10000;-121
15852;-11;-10000;-121
15858;-11;-10000;-121
15864;-11;-10000;-305
15870;-11;-10000;-305
15876;-10;-10000;-305
15882;-10;-10000;-173
15888;-9;-10000;-173
15894;-9;-10000;-173
15900;-9;-10000;-173
15906;-8;-10000;-173
15912;-8;-10000;-358
15918;-7;-10000;-358
15924;-7;-10000;-358
15930;-7;-10000;-358
15936;-7;-10000;-577
15942;-6;-10000;-577
15948;-5;-10000;-191
15954;-5;-10000;-191
15960;-5;-10000;-191
15966;-4;-10000;-191
15972;-3;-10000;-400
15978;-3;-10000;-400
15984;-3;-10000;-400
15990;-3;-10000;-400
15996;-2;-10000;-358
16002;-2;-10000;-358
16008;-1;-10000;-358
16014;-1;-10000;-358
16020;0;-10000;-358
16026;0;-10000;-373
16032;1;-10000;-373
16038;1;-10000;-373
16044;1;-10000;-373
16050;2;-10000;-460
16056;2;-10000;-460
16062;3;-10000;-335
16068;3;-10000;-335
16074;4;-10000;-335
16080;4;-10000;-335
16086;5;-10000;-335
16092;5;-10000;-452
16098;5;-10000;-452
16104;5;-10000;-452
16110;6;-10000;-452
16116;6;-10000;-216
16122;7;-10000;-216
16128;7;-10000;-216
16134;7;-10000;-216
16140;7;-10000;-346
16146;8;-10000;-346
16152;8;-10000;-226
16158;9;-10000;-226
16164;9;-10000;-226
16170;9;-10000;-226
16176;9;-10000;-346
16182;9;-10000;-346
16188;9;-10000;-346
16194;9;-10000;-101
16200;9;-10000;-91
16206;9;-10000;-82
16245;10;-10000;-77
16251;10;-10000;-77
16257;10;-10000;-52
16263;10;-10000;-49
16269;9;-10000;-46
16275;9;-10000;115
16281;9;-10000;115
16287;9;-10000;115
16293;9;-10000;115
16299;9;-10000;115
16305;9;-10000;65
16311;9;-10000;60
16317;9;-10000;56
16323;8;-10000;53
16329;8;-10000;98
16335;8;-10000;98
16341;7;-10000;98
16347;7;-10000;98
16353;7;-10000;98
16359;7;-10000;325
16365;6;-10000;325
16371;6;-10000;187
16377;5;-10000;187
16383;5;-10000;187
16389;5;-10000;187
16395;5;-10000;400
16401;5;-10000;400
16407;4;-10000;185
16413;3;-10000;185
16416;3;-10000;185
16422;3;-10000;185
16428;3;-10000;185
16434;2;-10000;185
16440;2;-10000;358
16446;1;-10000;358
16452;1;-10000;358
16458;1;-10000;358
16464;1;-10000;433
16470;0;-10000;433
16476;0;-10000;200
16482;-1;-10000;200
16488;-1;-10000;200
16494;-2;-10000;200
16500;-2;-10000;373
16506;-2;-10000;373
16512;-3;-10000;373
16518;-3;-10000;373
16524;-3;-10000;373
16530;-3;-10000;346
16536;-3;-10000;346
16599;-7;-10000;179
16605;-7;-10000;179
16611;-7;-10000;242
16617;-7;-10000;242
16623;-7;-10000;242
16629;-7;-10000;88
16635;-7;-10000;79
16644;-7;-10000;68
16650;-7;-10000;63
16656;-7;-10000;58
16662;-7;-10000;54
16668;-7;-10000;50
16674;-7;-10000;47
16680;-7;-10000;44
16686;-7;-10000;42
16692;-7;-10000;40
16698;-7;-10000;38
16704;-7;-10000;36
16710;-7;-10000;34
16716;-7;-10000;33
16722;-7;-10000;31
16728;-7;-10000;30
16734;-7;-10000;29
16740;-7;-10000;28
16746;-7;-10000;27
16752;-7;-10000;26
16758;-7;-10000;25
16764;-7;-10000;24
16770;-7;-10000;23
16776;-7;-10000;23
16782;-6;-10000;22
16788;-6;-10000;-24
16794;-6;-10000;-24
16800;-6;-10000;-24
16806;-5;-10000;-24
16812;-5;-10000;-24
16818;-5;-10000;-216
16824;-5;-10000;-216
16830;-5;-10000;-216
16836;-5;-10000;-216
16842;-4;-10000;-162
16848;-4;-10000;-162
16854;-3;-10000;-162
16860;-3;-10000;-162
