tiempo;angulo;integral;derivada
29451;0;0;0
29457;0;0;0
29463;0;0;0
29469;0;0;0
29478;0;0;0
29484;0;0;0
29490;0;0;0
29496;0;0;0
29502;0;0;0
29508;0;0;0
29514;0;0;0
29520;0;0;0
29526;0;0;0
29535;0;0;0
29544;0;0;0
29550;0;0;0
29556;0;0;0
29562;0;0;0
29568;0;0;0
29574;0;0;0
29580;0;0;0
29589;0;0;0
29595;0;0;0
29601;0;0;0
29607;0;0;0
29613;0;0;0
29619;0;0;0
29625;0;0;0
29634;0;0;0
29640;0;0;0
29646;0;0;0
29652;0;0;0
29658;0;0;0
29664;0;0;0
29670;0;0;0
29679;0;0;0
29685;0;0;0
29691;0;0;0
29697;0;0;0
29703;0;0;0
29709;0;0;0
29715;0;0;0
29724;0;0;0
29730;0;0;0
29736;0;0;0
29742;0;0;0
29748;0;0;0
29757;0;0;0
29763;0;0;0
29769;0;0;0
29775;0;0;0
29781;0;0;0
29787;0;0;0
29793;0;0;0
29802;0;0;0
29808;0;0;0
29814;0;0;0
29820;0;0;0
29826;0;0;0
29832;0;0;0
29838;0;0;0
29847;0;0;0
29853;0;0;0
29859;0;0;0
29865;0;0;0
29871;0;0;0
29877;0;0;0
29883;0;0;0
29892;0;0;0
29898;0;0;0
29904;0;0;0
29910;0;0;0
29916;0;0;0
29925;0;0;0
29931;0;0;0
29937;0;0;0
29943;0;0;0
29949;0;0;0
29955;0;0;0
29961;0;0;0
29970;0;0;0
29976;0;0;0
29982;0;0;0
29988;0;0;0
29994;0;0;0
30000;0;0;0
30006;0;0;0
30012;0;0;0
30018;0;0;0
30024;0;0;0
30030;0;0;0
30036;0;0;0
30042;0;0;0
30051;0;0;0
30057;0;0;0
30063;0;0;0
30072;0;0;0
30078;0;0;0
30084;0;0;0
30090;0;0;0
30096;0;0;0
30105;0;0;0
30111;0;0;0
30117;0;0;0
30123;0;0;0
30129;0;0;0
30138;0;0;0
30144;0;0;0
30150;0;0;0
30156;0;0;0
30162;0;0;0
30168;0;0;0
30174;0;0;0
30183;0;0;0
30189;0;0;0
30195;0;0;0
30201;0;0;0
30207;0;0;0
30213;0;0;0
30219;0;0;0
30228;0;0;0
30234;0;0;0
30240;0;0;0
30246;0;0;0
30252;0;0;0
30261;0;0;0
30267;0;0;0
30273;0;0;0
30279;0;0;0
30285;0;0;0
30291;0;0;0
30297;0;0;0
30303;0;0;0
30309;0;0;0
30318;0;0;0
30324;0;0;0
30330;0;0;0
30336;0;0;0
30342;0;0;0
30351;0;0;0
30357;0;0;0
30363;0;0;0
30369;0;0;0
30375;0;0;0
30381;0;0;0
30387;0;0;0
30393;0;0;0
30399;0;0;0
30405;0;0;0
30411;0;0;0
30420;0;0;0
30429;0;0;0
30435;0;0;0
30441;0;0;0
30447;0;0;0
30453;0;0;0
30459;0;0;0
30465;0;0;0
30471;0;0;0
30477;0;0;0
30486;0;0;0
30492;0;0;0
30498;0;0;0
30504;0;0;0
30510;0;0;0
30519;0;0;0
30525;0;0;0
30531;0;0;0
30537;0;0;0
30543;0;0;0
30549;0;0;0
30555;0;0;0
30561;0;0;0
30567;0;0;0
30603;0;0;0
30609;0;0;0
30615;0;0;0
30621;0;0;0
30627;0;0;0
30633;0;0;0
30639;0;0;0
30645;0;0;0
30654;0;0;0
30660;0;0;0
30666;0;0;0
30672;0;0;0
30678;0;0;0
30684;0;0;0
30690;0;0;0
30699;0;0;0
30705;0;0;0
30711;0;0;0
30717;0;0;0
30723;0;0;0
30729;0;0;0
30735;0;0;0
30744;0;0;0
30750;0;0;0
30756;0;0;0
30762;0;0;0
30768;0;0;0
30777;0;0;0
30783;0;0;0
30789;0;0;0
30795;0;0;0
30801;0;0;0
30807;0;0;0
30813;0;0;0
30819;0;0;0
30825;0;0;0
30831;0;0;0
30837;0;0;0
30846;0;0;0
30852;0;0;0
30858;0;0;0
30867;0;0;0
30873;0;0;0
30879;0;0;0
30885;0;0;0
30891;0;0;0
30897;0;0;0
30903;0;0;0
30909;0;0;0
30915;0;0;0
30918;0;0;0
30924;0;0;0
30930;0;0;0
30936;0;0;0
30945;0;0;0
30951;0;0;0
30957;0;0;0
30963;0;0;0
30969;0;0;0
30978;0;0;0
30984;0;0;0
30990;0;0;0
30996;0;0;0
31002;0;0;0
31008;0;0;0
31014;0;0;0
31020;0;0;0
31026;0;0;0
31035;0;0;0
31041;0;0;0
31047;0;0;0
31053;0;0;0
31059;0;0;0
31068;0;0;0
31074;0;0;0
31080;0;0;0
31086;0;0;0
31092;0;0;0
31098;0;0;0
31104;0;0;0
31110;0;0;0
31116;0;0;0
31122;0;0;0
31128;0;0;0
31134;0;0;0
31140;0;0;0
31146;0;0;0
31152;0;0;0
31158;0;0;0
31164;0;0;0
31170;0;0;0
31176;0;0;0
31182;0;0;0
31191;0;0;0
31197;0;0;0
31203;0;0;0
31209;0;0;0
31215;0;0;0
31221;0;0;0
31227;0;0;0
31236;0;0;0
31242;0;0;0
31248;0;0;0
31254;0;0;0
31260;0;0;0
31266;0;0;0
31272;0;0;0
31281;0;0;0
31287;0;0;0
31293;0;0;0
31299;0;0;0
31305;0;0;0
31314;0;0;0
31320;0;0;0
31326;0;0;0
31332;0;0;0
31338;0;0;0
31344;0;0;0
31350;0;0;0
31359;0;0;0
31365;0;0;0
31371;0;0;0
31377;0;0;0
31383;0;0;0
31389;0;0;0
31395;0;0;0
31404;0;0;0
31410;0;0;0
31416;0;0;0
31422;0;0;0
31428;0;0;0
31434;0;0;0
31440;0;0;0
31446;0;0;0
31452;0;0;0
31461;0;0;0
31467;0;0;0
31473;0;0;0
31476;0;0;0
31482;0;0;0
31488;0;0;0
31494;0;0;0
31500;0;0;0
31506;0;0;0
31512;0;0;0
31518;0;0;0
31524;0;0;0
31530;0;0;0
31539;0;0;0
31545;0;0;0
31551;0;0;0
31557;0;0;0
31563;0;0;0
31569;0;0;0
31575;0;0;0
31584;0;0;0
31590;0;0;0
31596;0;0;0
31602;0;0;0
31608;0;0;0
31614;0;0;0
31620;0;0;0
31629;0;0;0
31635;0;0;0
31641;0;0;0
31650;0;0;0
31656;0;0;0
31662;0;0;0
31668;0;0;0
31674;0;0;0
31680;0;0;0
31686;0;0;0
31692;0;0;0
31698;0;0;0
31707;0;0;0
31713;0;0;0
31719;0;0;0
31725;0;0;0
31731;0;0;0
31740;0;0;0
31746;0;0;0
31752;0;0;0
31758;0;0;0
31764;0;0;0
31770;0;0;0
31776;0;0;0
31785;0;0;0
31791;0;0;0
31797;0;0;0
31803;0;0;0
31809;0;0;0
31815;0;0;0
31821;0;0;0
31830;0;0;0
31836;0;0;0
31842;0;0;0
31848;0;0;0
31854;0;0;0
31860;0;0;0
31866;0;0;0
31875;0;0;0
31881;0;0;0
31887;0;0;0
31893;0;0;0
31899;0;0;0
31905;0;0;0
31911;0;0;0
31917;0;0;0
31923;0;0;0
31932;0;0;0
31938;0;0;0
31944;0;0;0
31950;0;0;0
31956;0;0;0
31962;0;0;0
31968;0;0;0
31977;0;0;0
31983;0;0;0
31989;0;0;0
31998;0;0;0
32004;0;0;0
32010;0;0;0
32016;0;0;0
32022;0;0;0
32031;0;0;0
32037;0;0;0
32043;0;0;0
32049;0;0;0
32055;0;0;0
32061;0;0;0
32067;0;0;0
32073;0;0;0
32079;0;0;0
32088;0;0;0
32094;0;0;0
32100;0;0;0
32106;0;0;0
32112;0;0;0
32121;0;0;0
32127;0;0;0
32133;0;0;0
32139;0;0;0
32145;0;0;0
32151;0;0;0
32157;0;0;0
32163;0;0;0
32169;0;0;0
32175;0;0;0
32181;0;0;0
32190;0;0;0
32199;0;0;0
32205;0;0;0
32211;0;0;0
32217;0;0;0
32223;0;0;0
32229;0;0;0
32235;0;0;0
32244;0;0;0
32250;0;0;0
32256;0;0;0
32262;0;0;0
32268;0;0;0
32274;0;0;0
32280;0;0;0
32289;0;0;0
32295;0;0;0
32301;0;0;0
32307;0;0;0
32313;0;0;0
32319;0;0;0
32325;0;0;0
32334;0;0;0
32340;0;0;0
32346;0;0;0
32352;0;0;0
32358;0;0;0
32364;0;0;0
32370;2;14;0
32373;3;37;0
32379;5;50;0
32385;7;50;235
32391;8;50;235
32397;9;50;235
32403;11;50;182
32409;12;50;182
32415;14;50;182
32421;15;50;193
32427;17;50;193
32436;19;50;216
32442;20;50;216
32448;21;50;216
32454;23;50;143
32460;24;50;143
32466;25;50;143
32472;26;50;155
32478;27;50;155
32484;29;50;155
32490;29;50;155
32496;31;50;140
32502;31;50;140
32508;33;50;140
32514;33;50;135
32520;34;50;135
32526;35;50;135
32532;35;50;135
32538;36;50;84
32544;37;50;84
32550;37;50;84
32556;37;50;84
32562;37;50;84
32568;38;50;53
32574;38;50;53
32580;38;50;53
32586;38;50;53
32592;38;50;53
32598;38;50;53
32604;38;50;53
32610;38;50;53
32616;37;50;-16
32622;37;50;-16
32628;37;50;-16
32637;36;50;-36
32643;35;50;-36
32649;35;50;-36
32655;34;50;-36
32661;34;50;-75
32667;33;50;-75
32673;32;50;-93
32679;31;50;-93
32685;30;50;-93
32694;29;50;-127
32700;28;50;-127
32706;27;50;-127
32712;25;50;-121
32718;24;50;-121
32724;23;50;-121
32730;22;50;-155
32736;21;50;-155
32742;19;50;-155
32748;18;50;-155
32754;17;50;-163
32760;15;50;-163
32766;14;50;-163
32772;13;50;-172
32778;11;50;-172
32784;9;50;-182
32790;8;50;-182
32796;7;50;-182
32802;5;50;-229
32808;3;50;-229
32814;2;50;-229
