tiempo;angulo;tiempoDev;derivada
15447;0;0;0
15459;0;0;0
15465;0;0;0
15471;0;0;0
15477;0;0;0
15483;0;0;0
15492;0;0;0
15498;0;0;0
15504;0;0;0
15510;0;0;0
15516;0;0;0
15522;0;0;0
15528;0;0;0
15537;0;0;0
15543;0;0;0
15549;0;0;0
15555;0;0;0
15561;0;0;0
15570;0;0;0
15576;0;0;0
15582;0;0;0
15588;0;0;0
15594;0;0;0
15603;0;0;0
15609;0;0;0
15615;0;0;0
15627;0;0;0
15633;0;0;0
15639;0;0;0
15645;0;0;0
15651;0;0;0
15657;0;0;0
15663;0;0;0
15672;0;0;0
15678;0;0;0
15684;0;0;0
15693;0;0;0
15699;0;0;0
15705;0;0;0
15711;0;0;0
15717;0;0;0
15723;0;0;0
15729;0;0;0
15738;0;0;0
15744;0;0;0
15750;0;0;0
15756;0;0;0
15762;0;0;0
15774;0;0;0
15783;0;0;0
15789;0;0;0
15795;0;0;0
15801;0;0;0
15810;0;0;0
15816;0;0;0
15822;0;0;0
15828;0;0;0
15834;0;0;0
15840;0;0;0
15846;0;0;0
15852;0;0;0
15858;0;0;0
15864;0;0;0
15870;0;0;0
15876;0;0;0
15885;0;0;0
15891;0;0;0
15897;0;0;0
15906;0;0;0
15912;0;0;0
15918;0;0;0
15930;0;0;0
15939;0;0;0
15945;0;0;0
15951;0;0;0
15957;0;0;0
15963;0;0;0
15969;0;0;0
15975;0;0;0
15984;0;0;0
15996;0;0;0
16002;0;0;0
16008;0;0;0
16020;0;0;0
16029;0;0;0
16035;0;0;0
16041;0;0;0
16047;0;0;0
16053;0;0;0
16059;0;0;0
16065;0;0;0
16074;0;0;0
16080;0;0;0
16098;0;0;0
16110;0;0;0
16116;0;0;0
16122;0;0;0
16131;0;0;0
16137;0;0;0
16143;0;0;0
16152;0;0;0
16164;0;0;0
16170;0;0;0
16176;0;0;0
16182;0;0;0
16188;0;0;0
16197;0;0;0
16209;0;0;0
16215;0;0;0
16221;0;0;0
16227;0;0;0
16233;0;0;0
16239;0;0;0
16245;0;0;0
16251;0;0;0
16257;0;0;0
16266;0;0;0
16272;0;0;0
16278;0;0;0
16284;0;0;0
16299;0;0;0
16305;0;0;0
16311;0;0;0
16320;0;0;0
16326;0;0;0
16332;0;0;0
16338;0;0;0
16344;0;0;0
16350;0;0;0
16356;0;0;0
16365;0;0;0
16371;0;0;0
16377;0;0;0
16383;0;0;0
16389;0;0;0
16395;0;0;0
16401;0;0;0
16410;0;0;0
16416;0;0;0
16422;0;0;0
16428;0;0;0
16434;0;0;0
16440;0;0;0
16446;0;0;0
16455;0;0;0
16467;0;0;0
16473;0;0;0
16479;0;0;0
16488;0;0;0
16494;0;0;0
16500;0;0;0
16512;0;0;0
16524;0;0;0
16533;0;0;0
16539;0;0;0
16545;0;0;0
16551;0;0;0
16557;0;0;0
16563;0;0;0
16569;0;0;0
16575;0;0;0
16581;0;0;0
16593;0;0;0
16602;0;0;0
16608;0;0;0
16614;0;0;0
16623;0;0;0
16626;0;0;0
16635;0;0;0
16641;0;0;0
16656;0;0;0
16662;0;0;0
16668;0;0;0
16674;0;0;0
16680;0;0;0
16686;0;0;0
16692;0;0;0
16698;0;0;0
16704;0;0;0
16713;0;0;0
16719;0;0;0
16725;0;0;0
16731;0;0;0
16737;0;0;0
16746;0;0;0
16752;0;0;0
16758;0;0;0
16764;0;0;0
16770;0;0;0
16776;0;0;0
16782;0;0;0
16791;0;0;0
16797;0;0;0
16803;0;0;0
16809;0;0;0
16815;0;0;0
16821;0;0;0
16827;0;0;0
16836;0;0;0
16842;0;0;0
16848;1;0;0
16854;1;16847;0
16860;1;16847;0
16872;2;16847;0
16878;2;16847;0
16884;3;32;50
16893;3;32;50
16899;4;32;50
16905;4;32;50
16911;5;32;50
16917;5;32;50
16926;5;32;50
16938;6;53;45
16944;6;53;45
16950;7;53;45
16959;7;53;45
16974;7;53;45
16983;8;53;45
16989;8;50;30
16995;8;50;30
17001;8;50;30
17007;9;50;30
17016;9;50;30
17022;9;50;30
17028;9;50;30
17034;9;50;30
17037;9;50;30
17043;9;50;30
17049;9;50;30
17055;9;50;30
