tiempo;error;tiempoDev;derivada
11949;0;3;0
11999;0;20;0
12049;0;37;0
12099;0;53;0
12149;0;70;0
12199;0;87;0
12249;0;104;0
12299;0;120;0
12349;0;137;0
12399;0;153;0
12449;0;170;0
12499;0;187;0
12549;0;204;0
12599;0;220;0
12649;0;237;0
12699;0;254;0
12749;0;270;0
12799;0;287;0
12849;0;303;0
12899;0;320;0
12949;0;337;0
12999;0;353;0
13049;0;370;0
13099;0;387;0
13149;0;403;0
13199;0;420;0
13249;0;437;0
13299;0;453;0
13349;0;470;0
13399;0;487;0
13449;0;503;0
13499;0;520;0
13549;0;537;0
13599;0;553;0
13649;0;570;0
13699;0;587;0
13749;0;603;0
13799;0;620;0
13849;0;637;0
13899;0;653;0
13949;0;670;0
13999;0;687;0
14049;0;704;0
14099;0;720;0
14149;0;737;0
14199;0;753;0
14249;0;770;0
14299;0;787;0
14349;0;803;0
14399;0;820;0
14449;0;837;0
14499;0;853;0
14549;0;870;0
14599;0;887;0
14649;0;903;0
14699;0;920;0
14749;0;937;0
14799;0;953;0
14849;0;970;0
14899;0;987;0
14949;0;1003;0
14999;0;1020;0
15049;0;1037;0
15099;0;1053;0
15149;0;1070;0
15199;0;1087;0
15249;0;1103;0
15299;0;1120;0
15349;0;1137;0
15399;0;1154;0
15449;0;1170;0
15499;0;1187;0
15549;0;1203;0
15599;0;1220;0
15649;0;1237;0
15699;0;1253;0
15749;0;1270;0
15799;0;1287;0
15849;0;1304;0
15899;0;1320;0
15949;0;1337;0
15999;0;1353;0
16049;0;1370;0
16099;0;1387;0
16149;0;1404;0
16199;0;1420;0
16249;0;1437;0
16299;0;1454;0
16349;0;1470;0
16399;0;1487;0
16449;0;1503;0
16499;0;1520;0
16549;0;1537;0
16599;0;1553;0
16649;0;1570;0
16699;0;1587;0
16749;0;1603;0
16799;0;1620;0
16849;0;1637;0
16899;0;1653;0
16949;0;1670;0
16999;0;1687;0
17049;0;1703;0
17099;0;1720;0
17149;0;1737;0
17199;0;1753;0
17249;0;1770;0
17299;0;1787;0
17349;0;1803;0
17399;0;1820;0
17449;0;1837;0
17499;0;1853;0
17549;0;1870;0
17599;0;1887;0
17649;0;1904;0
17699;0;1920;0
17749;0;1937;0
17799;0;1953;0
17849;0;1970;0
17899;0;1987;0
17999;0;2020;0
18049;0;2037;0
18099;0;2053;0
18149;0;2070;0
18199;0;2087;0
18249;0;2103;0
18299;0;2120;0
18349;0;2137;0
18399;0;2153;0
18449;0;2170;0
18499;0;2187;0
18549;0;2203;0
18599;0;2220;0
18649;0;2237;0
18699;0;2253;0
18749;0;2270;0
18799;0;2287;0
18849;0;2303;0
18899;0;2320;0
18949;0;2337;0
18999;7;2;0
19049;31;1;0
19099;70;3;0
19149;101;3;7
19199;117;8;8
19249;117;17;0
19299;101;5;0
19349;78;2;0
19399;70;16;0
19449;86;10;0
19499;94;9;0
19549;86;9;0
19599;70;4;0
19649;78;21;8
19699;78;17;0
19749;78;33;0
19799;70;13;0
19849;70;30;0
19899;70;46;0
19949;70;63;0
19999;70;80;0
20049;70;96;0
20099;70;113;0
20149;54;2;0
20199;39;6;-8
20249;23;2;0
20299;7;5;0
20349;-15;2;0
20399;-31;3;0
20449;-47;1;0
20499;-54;7;0
20549;-54;23;0
20599;-39;14;8
20649;-39;16;0
20699;-23;9;0
20749;-7;5;0
20799;7;3;0
20849;15;7;0
20899;23;15;0
20949;31;11;0
20999;31;27;0
21049;23;3;0
21099;23;19;0
21149;7;11;-8
21199;0;17;-7
21249;-7;7;0
21299;-15;6;0
21349;-23;5;0
21399;-23;22;0
21449;-23;38;0
21499;-15;6;0
21549;-15;22;0
21599;-7;11;0
21649;-7;28;0
21699;0;5;0
21749;0;22;0
21799;7;2;7
21849;7;17;0
21899;7;33;0
21949;0;5;0
21999;0;21;0
22049;0;38;0
22099;0;55;0
22149;0;72;0
22199;0;88;0
22249;0;105;0
22299;0;122;0
22349;0;138;0
22399;0;155;0
22449;0;171;0
22499;0;188;0
22549;0;205;0
22599;0;221;0
22649;0;238;0
22699;0;255;0
22749;0;271;0
22799;0;288;0
22849;0;305;0
22899;0;321;0
22949;0;338;0
22999;0;355;0
23049;0;371;0
23099;0;388;0
23149;0;405;0
23199;0;421;0
23249;0;438;0
23299;0;455;0
23349;0;471;0
23399;0;488;0
23449;0;505;0
23499;0;521;0
23549;0;538;0
23599;0;555;0
23649;0;571;0
23699;0;588;0
23749;0;605;0
23799;0;621;0
23849;0;638;0
23899;0;655;0
23949;0;671;0
23999;0;688;0
24049;0;705;0
24099;15;1;0
24149;54;2;7
24199;164;2;16
24249;353;1;15
24299;502;1;14
24349;594;1;0
24399;619;5;0
24449;587;2;-7
24499;495;1;-7
