tiempo;error;tiempoDev;derivada
10539;0;0;-1
10566;0;0;-1
10593;0;0;-1
10620;0;0;-1
10647;0;0;-1
10674;0;0;-1
10704;0;0;-1
10731;0;0;-1
10758;0;0;-1
10785;0;0;-1
10812;0;0;-1
10839;0;0;-1
10866;0;0;-1
10893;0;0;-1
10920;0;0;-1
10947;0;0;-1
10977;0;0;-1
11004;0;0;-1
11031;0;0;-1
11058;0;0;-1
11085;0;0;-1
11112;0;0;-1
11139;0;0;-1
11166;0;0;-1
11193;0;0;-1
11220;0;0;-1
11250;0;0;-1
11277;0;0;-1
11304;0;0;-1
11331;0;0;-1
11358;0;0;-1
11385;0;0;-1
11412;0;0;-1
11439;0;0;-1
11466;0;0;-1
11493;0;0;-1
11523;0;0;-1
11550;0;0;-1
11577;0;0;-1
11604;0;0;-1
11631;0;0;-1
11658;0;0;-1
11685;0;0;-1
11712;0;0;-1
11739;0;0;-1
11766;0;0;-1
11796;0;0;-1
11823;0;0;-1
11850;0;0;-1
11877;0;0;-1
11904;0;0;-1
11931;0;0;-1
11958;0;0;-1
11985;0;0;-1
12012;0;0;-1
12039;0;0;-1
12069;0;0;-1
12096;0;0;-1
12123;0;0;-1
12150;0;0;-1
12177;0;0;-1
12204;0;0;-1
12231;0;0;-1
12258;0;0;-1
12285;0;0;-1
12312;0;0;-1
12342;0;0;-1
12369;0;0;-1
12396;0;0;-1
12423;0;0;-1
12450;0;0;-1
12477;0;0;-1
12504;0;0;-1
12531;0;0;-1
12558;0;0;-1
12585;0;0;-1
12615;0;0;-1
12642;0;0;-1
12669;0;0;-1
12696;0;0;-1
12723;0;0;-1
12750;0;0;-1
12777;0;0;-1
12804;0;0;-1
12831;0;0;-1
12858;0;0;-1
12888;0;0;-1
12915;0;0;-1
12942;0;0;-1
12969;0;0;-1
12996;0;0;-1
13023;0;0;-1
13050;0;0;-1
13077;0;0;-1
13104;0;0;-1
13131;0;0;-1
13161;0;0;-1
13188;0;0;-1
13215;0;0;-1
13242;0;0;-1
13269;0;0;-1
13296;0;0;-1
13323;0;0;-1
13350;0;0;-1
13377;0;0;-1
13404;0;0;-1
13434;0;0;-1
13461;0;0;-1
13488;0;0;-1
13515;0;0;-1
13542;0;0;-1
13569;0;0;-1
13596;0;0;-1
13623;0;0;-1
13650;0;0;-1
13677;0;0;-1
13707;0;0;-1
13734;0;0;-1
13761;0;0;-1
13788;0;0;-1
13815;0;0;-1
13842;0;0;-1
13869;0;0;-1
13896;0;0;-1
13923;0;0;-1
13950;0;0;-1
13980;0;0;-1
14007;0;0;-1
14034;0;0;-1
14061;0;0;-1
14088;0;0;-1
14115;0;0;-1
14142;0;0;-1
14169;0;0;-1
14196;0;0;-1
14223;0;0;-1
14253;0;0;-1
14280;0;0;-1
14307;0;0;-1
14334;0;0;-1
14361;0;0;-1
14388;0;0;-1
14415;0;0;-1
14442;0;0;-1
14469;0;0;-1
14496;0;0;-1
14526;0;0;-1
14553;0;0;-1
14580;0;0;-1
14607;0;0;-1
14634;0;0;-1
14661;0;0;-1
14688;0;0;-1
14715;0;0;-1
14742;0;0;-1
14769;0;0;-1
14799;0;0;-1
14826;0;0;-1
14853;0;0;-1
14880;0;0;-1
14907;0;0;-1
14934;0;0;-1
14961;0;0;-1
14988;0;0;-1
15015;0;0;-1
15042;0;0;-1
15072;0;0;-1
15099;0;0;-1
15126;0;0;-1
15153;0;0;-1
15180;0;0;-1
15207;0;0;-1
15234;0;0;-1
15261;0;0;-1
15288;0;0;-1
15315;0;0;-1
15345;0;0;-1
15372;0;0;-1
15399;0;0;-1
15426;0;0;-1
15453;0;0;-1
15480;0;0;-1
15507;0;0;-1
15534;0;0;-1
15561;0;0;-1
15588;0;0;-1
15618;0;0;-1
15645;0;0;-1
15672;0;0;-1
15699;0;0;-1
15726;0;0;-1
15753;0;0;-1
15780;0;0;-1
15807;0;0;-1
15834;0;0;-1
15861;0;0;-1
15891;0;0;-1
15918;0;0;-1
15945;0;0;-1
15972;0;0;-1
15999;0;0;-1
16026;0;0;-1
16056;7;16032;0
16089;39;5;160
16119;62;12;66
16152;86;7;114
16185;125;10;80
16218;156;10;80
16251;195;6;133
16284;225;5;140
16317;271;4;200
16350;309;8;100
16383;346;3;266
16419;389;4;175
16452;432;3;233
16485;474;3;233
16518;522;8;87
16551;555;4;150
16584;594;4;175
16617;631;6;100
16650;673;6;100
16683;701;4;150
16716;728;8;62
16749;765;6;83
16782;785;6;83
16812;804;7;71
16845;813;10;40
16878;831;7;57
16908;844;13;30
16944;852;20;20
16977;860;21;19
17010;872;9;44
17043;880;8;50
17073;891;12;33
17106;901;8;37
17139;914;7;42
17169;926;5;60
17202;938;8;37
17232;946;11;27
17265;955;13;15
17298;966;4;50
17328;974;7;28
17361;980;4;25
17391;986;4;25
17424;992;9;11
17454;994;18;5
17487;997;16;6
17517;999;29;3
17550;999;56;1
17583;999;22;-836
17619;998;59;-1
17655;995;20;-5
17688;993;22;-4
17721;991;7;-14
17757;988;11;-18
17790;986;13;-7
17823;983;12;-16
17859;979;16;-6
17892;974;9;-11
17925;968;13;-15
17961;962;10;-20
17994;953;6;-33
18030;946;13;-15
18063;938;8;-25
18099;932;15;-20
18132;923;16;-18
18168;914;9;-33
18204;908;11;-27
18240;901;16;-18
18273;894;12;-33
18309;887;12;-33
18345;876;20;-20
18381;864;8;-50
18414;852;9;-44
18447;835;12;-41
18483;822;9;-55
18516;799;7;-71
18552;775;5;-100
18585;750;8;-62
18621;723;5;-100
18657;701;6;-100
18693;667;5;-120
18729;631;4;-150
18765;594;5;-120
18798;555;3;-233
18834;502;4;-175
18870;446;3;-233
18906;404;6;-116
18942;338;9;-88
18975;316;7;-100
19011;316;7;-100
19047;316;7;-100
19080;346;6;133
19113;382;6;116
19149;446;3;233
19182;515;6;216
19215;612;3;200
19248;723;3;366
19281;831;3;300
19317;940;3;266
19350;996;3;66
19383;970;3;-233
19419;799;3;-633
19452;502;3;-1100
19491;7;3;-1566
19527;-446;3;-1166
19569;-831;3;-600
19605;-977;3;-166
19641;-993;3;100
19677;-932;3;266
19713;-844;3;266
19749;-760;4;250
19785;-690;3;166
19821;-643;4;150
19857;-637;8;75
19890;-649;11;-54
19929;-695;4;-125
19968;-775;5;-200
20004;-864;4;-200
20043;-958;3;-233
20079;-999;3;-33
20115;-960;3;266
20151;-790;3;766
20187;-453;3;1166
20226;7;3;1000
20259;404;3;966
20292;723;3;733
20325;917;4;325
20361;996;3;100
20391;990;4;-75
20427;938;3;-166
20463;872;5;-160
20499;822;3;-166
20535;790;9;-44
20568;790;14;35
20601;813;4;100
20637;860;4;100
20670;920;3;200
20703;972;4;150
20736;999;6;16
20769;966;4;-200
20805;822;3;-600
20841;542;3;-866
20877;140;3;-1300
20913;-286;3;-1266
20952;-673;3;-1000
20991;-908;3;-466
21030;-994;4;-75
21066;-992;3;33
21099;-958;3;133
21135;-914;3;100
21171;-880;8;87
21204;-880;8;87
21237;-891;9;-44
21276;-932;6;-100
21312;-975;3;-33
21348;-999;6;-16
21384;-968;3;200
21420;-848;3;533
21456;-594;3;833
21489;-271;3;1000
21528;179;3;1300
21564;542;3;900
21597;794;3;633
21630;935;3;300
21663;993;4;50
21696;996;3;-33
21729;974;4;-75
21762;948;6;-83
21798;935;15;-20
21834;940;13;15
21864;958;2;150
21900;986;3;100
21930;999;6;16
21963;983;3;-133
21999;894;2;-500
22035;695;3;-933
22071;389;3;-966
22107;7;3;-1333
22146;-397;3;-966
22182;-701;3;-766
22221;-908;3;-466
22257;-983;3;-100
22296;-999;6;3066
22329;-990;3;33
22365;-977;3;66
22398;-974;5;20
22431;-980;5;-20
22467;-994;5;-20
22503;-998;21;4
22539;-966;2;200
22575;-864;3;400
22611;-655;3;766
22644;-375;3;966
22683;23;3;1000
22716;353;3;1000
22752;661;3;600
22785;844;3;433
22818;943;3;166
22851;990;3;66
22884;1183;10;1840
22920;996;9;-11
22953;993;11;-9
22989;994;49;2
23019;999;13;7
23052;996;8;-25
23085;966;2;-200
23121;872;3;-366
23157;695;3;-566
23190;446;3;-933
23229;86;3;-1033
23265;-271;3;-1000
23304;-594;3;-866
23340;-813;3;-466
23379;-938;3;-200
23415;-986;3;-100
23454;-999;7;-14
23493;-999;17;1082
23532;-999;55;334
23571;-997;9;11
23604;-980;4;75
23640;-926;3;200
23673;-822;2;450
23709;-625;3;600
23745;-338;3;1000
23784;23;3;1000
23817;331;3;1000
23853;606;2;950
23886;794;3;466
23919;904;3;200
23955;968;3;133
23985;988;2;50
24018;996;8;12
24048;998;12;8
24081;996;14;-7
24114;986;2;-50
24150;953;3;-166
24186;872;3;-366
24219;744;2;-550
24255;522;3;-666
24291;225;3;-766
24327;-109;3;-1033
24366;-439;3;-700
24405;-701;4;-575
24441;-848;3;-266
24480;-938;4;-150
24519;-979;4;-50
24552;-988;5;-20
24588;-991;7;-14
24624;-983;3;66
24657;-958;4;100
24693;-901;3;233
24729;-785;3;466
24765;-594;3;600
24801;-346;3;733
24837;-39;3;1033
24870;241;3;766
24903;488;4;700
24939;707;4;425
24972;835;3;133
25005;908;1;400
25038;953;1;200
25071;970;3;66
25101;974;7;28
25134;966;3;-66
25170;940;4;-75
25203;887;4;-175
25239;785;3;-300
25275;619;3;-400
25311;375;2;-700
25347;94;3;-766
