tiempo;error;tiempoDev;derivada
10099;0;9;0
10149;0;25;0
10199;0;43;0
10249;0;59;0
10299;0;75;0
10349;0;93;0
10399;0;109;0
10449;0;125;0
10499;0;143;0
10549;0;159;0
10599;0;175;0
10649;0;193;0
10699;0;209;0
10749;0;225;0
10799;0;243;0
10849;0;259;0
10899;0;277;0
10949;0;293;0
10999;0;309;0
11049;0;325;0
11099;0;343;0
11149;0;359;0
11199;0;375;0
11249;0;393;0
11299;0;409;0
11349;0;427;0
11399;0;443;0
11449;0;459;0
11499;0;475;0
11549;0;493;0
11599;0;509;0
11649;0;525;0
11699;0;543;0
11749;0;559;0
11799;0;575;0
11849;0;593;0
11899;0;609;0
11949;0;625;0
11999;0;643;0
12049;0;659;0
12099;0;677;0
12149;0;693;0
12199;0;709;0
12249;0;725;0
12299;0;743;0
12349;0;759;0
12399;0;775;0
12449;0;793;0
12499;0;809;0
12549;0;827;0
12599;0;843;0
12649;0;859;0
12699;0;875;0
12749;0;893;0
12799;0;909;0
12849;0;925;0
12899;0;943;0
12949;0;959;0
12999;0;975;0
13049;0;993;0
13099;0;1009;0
13149;0;1025;0
13199;0;1043;0
13249;0;1059;0
13299;-15;1075;0
13349;-39;6;-133
13399;-62;6;-133
13449;-78;12;-66
13499;-94;16;-50
13549;-86;22;36
13599;-70;12;66
13649;-47;6;116
13699;-23;12;66
13749;-7;12;66
13799;7;12;58
13849;31;14;57
13899;39;16;50
13949;47;20;40
13999;47;36;22
14049;47;52;15
14099;39;64;-12
14149;31;16;-50
14199;15;10;-80
14249;0;8;-87
14299;-7;18;-38
14349;-15;22;-36
14399;-23;30;-26
14449;-23;46;-17
14499;-23;62;-12
14549;-15;58;13
14599;-15;74;10
14649;0;14;50
14699;7;18;38
14749;15;16;50
14799;15;32;25
14849;23;38;21
14899;23;54;14
14949;23;70;11
14999;15;56;-14
15049;15;72;-11
15099;15;88;-9
15149;7;56;-14
15199;0;32;-21
15249;0;48;-14
15299;0;66;-10
15349;0;82;-8
15399;0;100;-7
15449;0;116;-6
15499;0;132;-5
15549;0;148;-4
