tiempo;error;tiempoDev;derivada
18189;0;3;0
18213;0;11;0
18240;0;20;0
18267;0;29;0
18294;0;38;0
18324;0;48;0
18351;0;57;0
18378;0;66;0
18405;0;75;0
18432;0;84;0
18459;0;93;0
18486;0;102;0
18516;0;112;0
18546;0;122;0
18576;0;132;0
18603;0;141;0
18633;0;151;0
18663;0;161;0
18693;0;171;0
18723;0;181;0
18750;0;190;0
18780;0;200;0
18810;0;210;0
18840;0;220;0
18870;0;230;0
18897;0;239;0
18927;0;249;0
18957;0;259;0
18987;0;269;0
19017;0;279;0
19044;0;288;0
19074;0;298;0
19104;0;308;0
19134;0;318;0
19164;0;328;0
19191;0;337;0
19221;0;347;0
19251;0;357;0
19281;0;367;0
19311;0;377;0
19338;0;386;0
19368;0;396;0
19398;0;406;0
19428;0;416;0
19458;0;426;0
19485;0;435;0
19515;0;445;0
19545;0;455;0
19575;0;465;0
19605;0;475;0
19632;0;484;0
19662;0;494;0
19692;0;504;0
19722;0;514;0
19752;0;524;0
19779;0;533;0
19809;0;543;0
19839;0;553;0
19869;0;563;0
19899;0;573;0
19926;0;582;0
19956;0;592;0
19986;0;602;0
20016;0;612;0
20046;0;622;0
20073;0;631;0
20103;0;641;0
20133;0;651;0
20163;0;661;0
20193;0;671;0
20220;0;680;0
20250;0;690;0
20280;0;700;0
20310;0;710;0
20340;0;720;0
20367;0;729;0
20397;0;739;0
20427;0;749;0
20457;0;759;0
20487;0;769;0
20514;0;778;0
20544;0;788;0
20574;0;798;0
20604;39;1;800
20634;133;1;1600
20670;271;1;1500
20706;389;1;700
20739;467;1;700
20772;535;2;300
20805;568;4;150
20841;581;10;60
20874;562;5;-120
20910;515;2;-350
20946;439;1;-700
20982;331;1;-1500
21018;210;1;-1500
21054;70;1;-1600
21090;-78;1;-1600
21129;-218;1;-800
21168;-346;1;-800
21207;-446;1;-700
21246;-509;3;-233
21282;-542;5;-140
21321;-542;11;63
21357;-515;2;350
21393;-460;2;350
21429;-375;1;1400
21465;-278;1;800
21501;-148;1;1600
21537;-15;1;800
21570;109;1;800
21603;218;1;800
21639;338;1;700
21672;404;2;350
21705;467;2;350
21738;509;3;233
21771;515;11;54
21807;502;4;-175
21840;467;3;-233
21876;404;3;-466
21912;316;1;-700
21948;202;1;-800
21984;86;1;-800
22017;-39;1;-1600
22056;-133;2;-400
22092;-148;10;-80
22131;-101;2;400
22164;-54;3;266
22197;-7;3;266
22230;39;2;400
22260;86;1;800
22293;125;3;266
22326;156;4;200
22362;179;6;133
22395;195;8;100
22428;195;19;42
22461;195;30;26
22497;171;5;-160
22533;148;5;-160
22569;109;3;-266
22602;70;2;-400
22635;23;1;-800
22668;-15;2;-400
22704;-54;4;-175
22740;-101;3;-233
22779;-140;5;-140
22815;-164;5;-160
22851;-179;9;-88
22890;-179;22;-36
22926;-171;29;27
22962;-156;7;114
22998;-133;4;175
23034;-101;4;200
23070;-54;2;400
23103;-23;3;266
23136;15;4;200
23166;54;1;700
23199;86;2;400
23229;109;4;200
23262;133;4;200
23295;148;7;114
23328;156;14;57
23364;148;14;-57
23397;140;11;-72
23433;125;7;-114
23469;101;4;-200
23505;70;4;-200
23538;39;4;-200
23571;7;5;-160
23604;-31;3;-266
23640;-62;5;-160
23676;-94;5;-160
23712;-117;7;-114
23751;-133;11;-72
23790;-140;19;-36
23826;-140;31;-22
23865;-125;10;80
23898;-117;11;72
23934;-86;4;200
23970;-54;3;266
24003;-31;5;160
24036;0;3;233
24066;23;3;266
24096;47;5;160
24129;70;4;200
24159;86;7;114
24192;101;7;100
24225;109;14;57
24258;117;16;50
24291;109;19;-42
24327;101;12;-66
24363;86;8;-100
24396;70;8;-100
24429;39;2;-400
24462;23;6;-133
24495;0;7;-100
24546;-39;4;-200
24582;-54;9;-77
24633;-86;7;-114
24669;-101;6;-116
24708;-101;19;-36
24744;-101;31;-22
24780;-94;37;18
24813;-78;10;80
24846;-62;8;100
24882;-47;9;77
24915;-23;2;400
24948;-7;4;200
24978;7;5;140
25008;23;6;133
25041;39;6;133
25071;54;6;116
25104;62;13;61
25134;70;13;61
25167;70;24;33
25197;70;34;23
25230;70;45;17
25260;62;49;-16
25293;54;14;-57
25326;39;8;-100
25359;23;6;-133
25392;7;6;-133
25425;-7;5;-140
25458;-23;6;-133
25494;-39;5;-160
25530;-47;13;-61
25566;-54;15;-46
25599;-54;26;-26
25635;-54;38;-18
25671;-54;50;-14
25707;-54;62;-11
25743;-39;8;100
25776;-39;19;42
25809;-23;9;88
25842;-15;16;50
25875;0;10;70
25905;7;11;63
25932;15;14;57
25965;23;14;57
25995;31;17;47
26028;39;16;50
26058;39;26;30
26091;39;37;21
26121;39;47;17
26154;39;58;13
26184;31;60;-13
26217;23;14;-57
26250;15;16;-50
26283;7;12;-66
26316;0;14;-50
26346;-7;10;-70
26379;-15;15;-53
26415;-23;15;-53
26451;-23;27;-29
26487;-31;29;-27
26523;-31;41;-19
26559;-31;53;-15
26595;-23;40;20
26628;-23;51;15
26661;-23;62;12
26694;-15;33;24
26730;-15;45;17
26763;-7;24;33
26793;-7;34;23
26823;0;30;23
26853;7;19;36
26883;7;29;24
26913;7;39;17
26940;7;48;14
26970;15;46;17
27003;15;57;14
27033;15;67;11
27066;7;34;-23
27096;7;44;-18
27129;7;55;-14
27159;7;65;-12
27192;7;76;-10
27222;0;56;-12
27255;0;67;-10
27285;-7;26;-26
27318;-7;37;-18
27351;-7;48;-14
27384;-7;59;-11
27420;-7;71;-9
27450;-7;81;-8
27483;-7;92;-7
27513;-7;102;-6
27546;-7;113;-6
27582;-7;125;-5
27615;-7;136;-5
27648;-7;147;-4
27681;-7;158;-4
27714;-7;169;-4
27750;-7;181;-3
27783;-7;192;-3
27816;-7;203;-3
27849;-7;214;-3
27882;-7;225;-3
27918;-7;237;-2
27951;-7;248;-2
27984;-7;259;-2
28017;-7;270;-2
28050;-7;281;-2
28086;-7;293;-2
28119;-7;304;-2
28152;-7;315;-2
28185;-7;326;-2
28218;-7;337;-2
28254;-7;349;-2
28287;-7;360;-1
28320;-7;371;-1
28353;-7;382;-1
28386;-7;393;-1
28422;-7;405;-1
28455;-7;416;-1
28488;-7;427;-1
28521;-7;438;-1
28554;-7;449;-1
28590;-7;461;-1
28623;-7;472;-1
28656;-7;483;-1
28689;-7;494;-1
28722;-7;505;-1
28758;-7;517;-1
28791;-7;528;-1
28824;-7;539;-1
28857;-7;550;-1
28890;-7;561;-1
28926;-7;573;-1
28959;-7;584;-1
28992;-7;595;-1
29025;-7;606;-1
29058;7;9;77
29085;15;9;88
29115;39;2;400
29148;54;7;100
29178;78;7;114
29211;94;8;100
29244;101;11;63
29277;109;18;44
29310;109;29;27
29346;101;30;-26
29379;86;5;-160
29415;70;5;-160
29448;54;7;-114
29481;31;7;-114
29514;7;6;-133
29547;-15;6;-133
29583;-39;5;-160
29619;-54;10;-70
29655;-78;8;-100
29691;-86;13;-61
29727;-94;20;-40
29760;-94;31;-25
29796;-86;32;25
29832;-78;13;61
29865;-70;12;66
29898;-54;9;88
29931;-39;8;100
29964;-23;8;100
29997;0;6;116
30027;15;7;114
30057;23;10;80
30090;39;10;80
30120;54;9;77
30150;62;14;57
30183;70;13;61
30213;70;23;34
30246;70;34;23
30276;62;36;-22
30312;54;16;-50
30345;39;6;-133
30378;31;12;-66
30411;15;10;-80
30444;7;13;-61
30477;-15;7;-114
30513;-23;12;-66
30549;-39;9;-88
30582;-47;16;-50
30618;-54;17;-41
30654;-54;29;-24
30690;-54;41;-17
30726;-54;53;-13
30759;-39;10;80
30795;-39;22;36
30828;-23;9;88
30861;-15;15;53
30891;-7;13;61
30924;7;7;100
30951;7;16;43
30984;23;8;100
31014;23;18;44
31047;31;22;36
31077;39;17;47
31110;39;28;28
31140;39;38;21
31173;31;38;-21
31206;31;49;-16
31239;23;22;-36
31272;15;21;-38
31305;7;13;-61
31338;7;24;-33
31368;-7;8;-87
31401;-7;19;-36
31437;-15;23;-34
31473;-23;22;-36
31509;-23;34;-23
31542;-23;45;-17
31578;-23;57;-14
31614;-23;69;-11
31650;-23;81;-9
