tiempo;error;tiempoDev;derivada
11774;0;4;0
11824;0;21;0
11874;0;37;0
11924;0;54;0
11974;0;71;0
12024;0;87;0
12074;0;104;0
12124;0;121;0
12174;0;137;0
12224;0;154;0
12274;0;171;0
12324;0;187;0
12374;0;204;0
12424;0;221;0
12474;0;238;0
12524;0;254;0
12574;0;271;0
12624;0;288;0
12674;0;304;0
12724;0;321;0
12774;0;337;0
12824;0;354;0
12874;15;6;0
12924;47;2;0
12974;62;7;0
13024;78;5;0
13074;78;21;0
13124;70;1;0
13174;62;11;0
13224;62;9;0
13274;78;12;0
13324;109;3;266
13374;140;2;350
13424;171;3;233
13474;202;2;0
13524;241;1;0
13574;278;3;0
13624;323;2;0
13674;368;1;0
13724;425;2;350
13774;474;2;350
13824;522;1;0
13874;568;3;200
13924;612;2;0
13974;661;2;300
14024;707;1;0
14074;744;1;0
14124;775;2;0
14174;799;1;0
14224;818;3;0
14274;844;3;133
14324;856;3;0
14374;868;4;0
14424;883;3;0
14474;898;3;133
14524;908;2;0
14574;917;5;0
14624;929;5;0
14674;938;2;0
14724;946;3;0
14774;951;6;0
14824;955;7;0
14874;960;1;0
14924;966;8;25
14974;970;12;16
15024;970;16;0
15074;970;33;0
15124;972;4;0
15174;972;20;0
15224;972;37;0
15274;972;54;0
15324;972;71;0
15374;974;15;0
15424;974;32;0
15474;974;49;0
15524;974;65;0
15574;960;1;0
15624;904;1;-400
15674;760;1;-1000
15724;488;1;-2100
15774;125;1;-3100
15824;-286;1;-2300
15874;-619;1;-1900
15924;-822;1;-400
15974;-911;1;0
16024;-948;1;0
16074;-940;1;300
16124;-891;1;300
16174;-750;1;1000
16224;-522;1;1300
16274;-171;1;1600
16324;225;1;2300
16374;535;1;1300
16424;770;1;1000
16474;883;1;300
16524;923;1;0
16574;920;4;-75
16624;868;2;-400
16674;750;1;-1000
16724;522;1;-1300
16774;187;1;-1500
16824;-171;1;-1500
16874;-502;1;-2100
16924;-728;1;-1000
16974;-844;1;-400
17024;-898;1;0
17074;-894;3;133
17124;-844;1;400
17174;-707;1;500
17224;-467;1;2100
17274;-171;1;3100
17324;179;1;1500
17374;488;1;1400
17424;701;1;1100
17474;822;1;400
17524;868;2;0
17574;860;1;0
17624;799;1;-1000
17674;661;1;-1200
17724;432;1;-2100
17774;125;1;-1500
17824;-218;1;-1600
17874;-488;1;-1400
17924;-690;1;-600
17974;-804;1;-500
18024;-844;2;-200
18074;-822;2;250
18124;-739;1;1100
18174;-594;1;600
18224;-346;1;1400
18274;-39;1;1500
18324;256;1;1500
18374;522;1;1300
18424;701;1;600
18474;790;1;500
18524;818;3;0
18574;785;2;-250
18624;695;1;-600
18674;515;1;-2000
18724;263;1;-1500
18774;-31;1;-2400
18824;-323;1;-2200
18874;-549;1;-1400
18924;-695;1;0
18974;-770;1;-500
19024;-780;14;0
19074;-728;1;600
19124;-612;1;700
19174;-411;1;1400
19224;-140;1;1600
19274;125;1;1600
19324;397;1;1500
19374;581;1;600
19424;701;1;600
19474;750;3;0
19524;739;3;-166
19574;667;1;-600
19624;522;1;-1300
19674;316;1;-1500
19724;47;1;-1500
19774;-218;1;-1600
19824;-439;1;-1400
19874;-600;2;-650
19924;-695;1;-500
19974;-718;7;0
20024;-678;2;300
20074;-568;1;700
20124;-411;1;1400
20174;-187;1;1500
20224;78;1;1600
20274;309;1;1500
20324;502;1;700
20374;631;2;300
20424;684;2;0
20474;684;3;0
20524;625;1;0
20574;495;1;-1400
20624;301;1;-1500
20674;62;1;-1600
20724;-187;1;-1600
20774;-382;1;-700
20824;-542;1;-700
20874;-631;2;-300
20924;-655;2;0
20974;-619;2;300
21024;-522;1;700
21074;-368;1;1400
21124;-156;1;1500
21174;62;1;1500
21224;278;1;700
21274;460;1;700
21324;575;1;700
21374;631;4;150
21424;625;2;0
21474;562;1;-600
21524;439;1;-700
21574;256;1;-1500
21624;54;1;-800
21674;-171;1;-1500
21724;-360;1;-700
21774;-488;1;-700
21824;-575;1;-700
21874;-587;11;0
21924;-555;1;0
21974;-453;1;700
22024;-309;1;700
22074;-125;1;800
22124;94;1;1600
22174;278;1;700
22224;432;1;700
22274;535;1;600
22324;575;3;0
22374;562;2;0
22424;488;2;-350
22474;360;1;-800
22524;187;1;-1500
22574;0;1;-1500
22624;-187;1;-800
22674;-346;1;-800
22724;-460;2;-350
22774;-522;2;0
22824;-529;1;0
22874;-474;2;350
22924;-382;1;700
22974;-241;1;700
23024;-62;1;1600
23074;125;1;800
23124;278;1;700
23174;411;1;700
23224;495;1;700
23274;515;3;0
23324;488;1;0
23374;411;1;0
23424;294;1;-700
23474;125;1;-1500
23524;-47;1;-800
23574;-218;1;-1600
23624;-346;1;-800
23674;-432;1;0
23724;-467;3;0
23774;-453;3;233
23824;-397;1;700
23874;-294;1;700
23924;-148;1;800
23974;15;1;1500
24024;164;1;800
24074;301;1;700
24124;397;1;0
24174;446;1;0
24224;453;16;0
24274;404;2;-350
24324;323;1;-800
24374;195;1;-700
24424;47;1;-700
24474;-109;1;-1500
24524;-241;1;-800
24574;-338;1;0
24624;-404;1;0
24674;-418;9;0
24724;-389;1;0
24774;-316;1;700
24824;-210;1;800
24874;-70;1;800
24924;62;1;800
24974;202;1;700
25024;309;1;800
25074;375;1;0
25124;397;8;0
25174;382;1;0
25224;331;2;-350
25274;233;1;-800
25324;109;2;-800
25374;-23;1;-800
25424;-148;1;-800
25474;-256;2;-400
25524;-331;2;-400
25574;-368;4;-200
25624;-360;3;0
25674;-316;3;233
25724;-233;1;800
25774;-125;1;800
25824;-7;2;400
25874;117;1;800
25924;225;2;350
25974;301;2;350
26024;346;2;0
26074;353;16;0
26124;323;2;0
26174;248;1;-800
26224;156;1;0
26274;47;1;0
26324;-78;2;-800
26374;-179;2;-400
26424;-256;3;-266
26474;-309;1;0
26524;-316;12;0
26574;-294;3;233
26624;-241;3;233
26674;-148;1;800
26724;-47;1;700
26774;54;1;700
26824;156;1;800
26874;233;2;400
26924;286;1;0
26974;309;3;0
27024;294;5;0
27074;248;2;0
27124;171;2;-400
27174;86;2;-400
27224;-15;1;0
27274;-117;2;-400
27324;-187;1;0
27374;-248;2;-350
27424;-271;5;0
27474;-263;2;0
27524;-233;3;0
27574;-164;1;0
27624;-86;1;800
27674;7;2;350
27724;94;1;0
27774;171;1;0
27824;225;3;233
27874;256;2;0
27924;256;19;0
27974;225;1;0
28024;171;2;-400
28074;101;2;-400
28124;23;1;0
28174;-62;1;-800
28224;-140;2;-350
28274;-187;2;0
28324;-218;6;0
28374;-225;13;0
28424;-202;1;0
28474;-156;2;400
28524;-101;3;266
28574;-31;2;0
28624;47;1;0
28674;117;1;0
28724;171;2;350
28774;202;3;0
28824;210;11;0
28874;195;7;-100
28924;164;2;0
28974;109;1;0
29024;47;1;0
29074;-23;3;-266
29124;-86;2;-400
29174;-140;2;-350
29224;-171;4;-175
29274;-179;6;0
29324;-171;8;0
29374;-140;2;0
29424;-94;2;350
29474;-39;3;266
29524;15;2;0
29574;70;1;0
29624;125;2;400
29674;148;4;0
29724;164;6;0
29774;156;23;-34
29824;140;4;0
29874;101;1;0
29924;54;1;0
29974;0;1;0
30024;-47;1;0
30074;-94;3;-266
30124;-125;1;0
30174;-133;8;0
30224;-133;6;0
30274;-117;3;0
30324;-78;2;400
30374;-47;4;0
30424;0;1;0
30474;39;1;0
30524;78;2;0
30574;109;1;0
30624;125;8;100
30674;125;17;0
30724;109;5;0
30774;86;3;0
30824;47;2;-350
30874;15;2;0
30924;-15;5;0
30974;-47;5;0
31024;-78;3;0
31074;-94;4;0
31124;-94;21;0
31174;-78;6;133
31224;-62;2;0
31274;-39;1;0
31324;-15;6;0
31374;15;2;0
31424;47;3;266
31474;62;5;0
31524;78;3;0
31574;78;20;0
31624;78;37;0
31674;62;7;0
31724;47;7;0
31774;23;3;0
31824;0;5;0
31874;-15;8;0
31924;-39;12;-66
31974;-47;9;0
32024;-47;26;0
32074;-47;43;0
32124;-31;10;80
32174;-23;2;0
32224;-7;3;0
32274;7;2;0
32324;23;12;66
32374;31;9;0
32424;39;9;0
32474;47;12;0
32524;39;3;0
32574;31;6;0
32624;23;22;-36
32674;15;6;0
32724;7;7;0
32774;0;16;0
32824;-15;15;-53
32874;-15;17;0
32924;-15;33;0
32974;-15;50;0
33024;-7;2;0
33074;-7;18;0
33124;0;11;0
33174;0;27;0
33224;7;11;0
33274;15;5;0
33324;15;22;0
33374;15;38;0
33424;15;55;0
33474;15;71;0
33524;7;6;0
33574;7;23;0
33624;7;39;0
33674;7;56;0
33724;7;73;0
33774;7;89;0
33824;7;106;0
33874;7;123;0
33924;7;139;0
33974;7;156;0
34024;7;173;0
34074;7;189;0
34124;7;206;0
34174;7;223;0
34224;7;239;0
34274;7;256;0
34324;7;273;0
34374;7;289;0
34424;7;306;0
34474;7;323;0
34524;7;339;0
34574;7;356;0
34624;7;373;0
34674;7;390;0
34724;7;406;0
34774;7;423;0
34824;7;440;0
34874;7;456;0
34924;7;473;0
34974;7;489;0
35024;7;506;0
35074;7;523;0
35124;7;540;0
35174;7;556;0
35224;7;573;0
35274;7;590;0
35324;7;606;0
35374;7;623;0
35424;7;639;0
35474;7;656;0
35524;7;673;0
35574;7;689;0
35624;7;706;0
35674;7;723;0
35724;7;740;0
35774;7;756;0
35824;7;773;0
35874;7;790;0
35924;7;806;0
35974;7;823;0
36024;7;840;0
36074;7;856;0
36124;7;873;0
36174;7;889;0
36224;7;906;0
