tiempo;angulo;integral;derivada
15312;0;0;0
15318;0;0;0
15327;0;0;0
15333;0;0;0
15339;0;0;0
15345;0;0;0
15351;0;0;0
15360;0;0;0
15366;0;0;0
15372;0;0;0
15378;0;0;0
15384;0;0;0
15393;0;0;0
15399;0;0;0
15405;0;0;0
15411;0;0;0
15417;0;0;0
15426;0;0;0
15432;0;0;0
15438;0;0;0
15444;0;0;0
15450;0;0;0
15456;0;0;0
15462;0;0;0
15471;0;0;0
15477;0;0;0
15483;0;0;0
15489;0;0;0
15495;0;0;0
15501;0;0;0
15507;0;0;0
15513;0;0;0
15528;0;0;0
15534;0;0;0
15540;0;0;0
15546;0;0;0
15552;0;0;0
15561;0;0;0
15567;0;0;0
15573;0;0;0
15579;0;0;0
15585;0;0;0
15594;0;0;0
15600;0;0;0
15606;0;0;0
15612;0;0;0
15618;0;0;0
15624;0;0;0
15630;0;0;0
15633;0;0;0
15639;0;0;0
15645;0;0;0
15651;0;0;0
15657;0;0;0
15666;0;0;0
15675;0;0;0
15684;0;0;0
15690;0;0;0
15696;0;0;0
15702;0;0;0
15708;0;0;0
15714;0;0;0
15720;0;0;0
15726;0;0;0
15732;0;0;0
15741;0;0;0
15747;0;0;0
15753;0;0;0
15756;0;0;0
15762;0;0;0
15774;0;0;0
15780;0;0;0
15786;0;0;0
15792;0;0;0
15798;0;0;0
15807;0;0;0
15813;0;0;0
15819;0;0;0
15825;0;0;0
15831;0;0;0
15837;0;0;0
15843;0;0;0
15846;0;0;0
15852;0;0;0
15858;0;0;0
15864;0;0;0
15870;0;0;0
15876;0;0;0
15882;0;0;0
15888;0;0;0
15894;0;0;0
15900;0;0;0
15906;0;0;0
15912;0;0;0
15921;0;0;0
15933;0;0;0
15942;0;0;0
15948;0;0;0
15954;0;0;0
15960;0;0;0
15966;0;0;0
15975;0;0;0
15981;0;0;0
15987;0;0;0
15993;0;0;0
15999;0;0;0
16005;0;0;0
16011;0;0;0
16017;0;0;0
16023;0;0;0
16032;0;0;0
16038;0;0;0
16044;0;0;0
16050;0;0;0
16056;0;0;0
16065;0;0;0
16071;0;0;0
16077;0;0;0
16083;0;0;0
16089;0;0;0
16095;0;0;0
16101;0;0;0
16110;0;0;0
16116;0;0;0
16122;0;0;0
16128;0;0;0
16134;0;0;0
16140;0;0;0
16146;0;0;0
16152;0;0;0
16158;0;0;0
16167;0;0;0
16173;0;0;0
16179;0;0;0
16188;0;0;0
16194;0;0;0
16200;0;0;0
16206;0;0;0
16212;0;0;0
16224;0;0;0
16230;0;0;0
16236;0;0;0
16239;0;0;0
16245;0;0;0
16257;0;0;0
16263;0;0;0
16269;0;0;0
16275;0;0;0
16281;0;0;0
16290;0;0;0
16296;0;0;0
16302;0;0;0
16311;0;0;0
16317;0;0;0
16323;0;0;0
16329;0;0;0
16335;0;0;0
16341;0;0;0
16347;0;0;0
16353;0;0;0
16359;0;0;0
16362;0;0;0
16368;0;0;0
16374;0;0;0
16380;0;0;0
16392;0;0;0
16398;0;0;0
16404;0;0;0
16413;0;0;0
16419;0;0;0
16428;0;0;0
16431;0;0;0
16437;0;0;0
16446;0;0;0
16458;0;0;0
16464;0;0;0
16470;0;0;0
16473;0;0;0
16479;0;0;0
16491;0;0;0
16497;0;0;0
16503;0;0;0
16509;0;0;0
16515;0;0;0
16524;0;0;0
16530;0;0;0
16536;0;0;0
16542;0;0;0
16548;0;0;0
16554;0;0;0
16560;0;0;0
16566;0;0;0
16572;0;0;0
16581;0;0;0
16587;0;0;0
16593;0;0;0
16599;0;0;0
16605;0;0;0
16614;0;0;0
16620;0;0;0
16626;0;0;0
16632;0;0;0
16638;0;0;0
16641;0;0;0
16647;0;0;0
16659;0;0;0
16665;0;0;0
16671;0;0;0
16677;0;0;0
16683;0;0;0
16692;0;0;0
16698;0;0;0
16704;0;0;0
16710;0;0;0
16716;0;0;0
16722;0;0;0
16728;0;0;0
16734;0;0;0
16740;0;0;0
16749;0;0;0
16755;0;0;0
16761;0;0;0
16767;0;0;0
16773;0;0;0
16779;0;0;0
16785;0;0;0
16794;0;0;0
16800;0;0;0
16806;0;0;0
16809;0;0;0
16815;0;0;0
16821;0;0;0
16827;0;0;0
16833;0;0;0
16839;0;0;0
16845;0;0;0
16851;0;0;0
16860;0;0;0
16866;0;0;0
16872;0;0;0
16878;0;0;0
16884;0;0;0
16896;0;0;0
16902;0;0;0
16908;0;0;0
16917;0;0;0
16923;0;0;0
16929;0;0;0
16935;0;0;0
16941;0;0;0
16950;0;0;0
16956;0;0;0
16962;0;0;0
16968;0;0;0
16974;0;0;0
16980;0;0;0
16986;0;0;0
16995;0;0;0
17007;0;0;0
17013;0;0;0
17019;0;0;0
17028;0;0;0
17034;0;0;0
17040;0;0;0
17046;0;0;0
17052;0;0;0
17058;0;0;0
17064;0;0;0
17073;0;0;0
17079;0;0;0
17085;0;0;0
17091;0;0;0
17097;0;0;0
17103;0;0;0
17109;0;0;0
17118;0;0;0
17124;0;0;0
17130;0;0;0
17136;0;0;0
17142;0;0;0
17148;0;0;0
17154;0;0;0
17157;0;0;0
17163;0;0;0
17169;0;0;0
17175;0;0;0
17181;0;0;0
17187;0;0;0
17196;0;0;0
17199;0;0;0
17208;0;0;0
17214;0;0;0
17220;0;0;0
17223;0;0;0
17232;0;0;0
17241;0;0;0
17247;0;0;0
17253;0;0;0
17259;0;0;0
17265;0;0;0
17271;0;0;0
17277;0;0;0
17286;0;0;0
17292;0;0;0
17298;0;0;0
17304;0;0;0
17310;1;0;0
17316;2;14;0
17322;4;50;0
17331;6;50;0
17337;7;50;200
17343;9;50;200
17349;9;50;200
17355;11;50;155
17361;12;50;155
17367;13;50;155
17373;15;50;172
17379;16;50;172
17382;17;50;172
17388;18;50;172
17394;19;50;163
17400;20;50;163
17406;21;50;150
17412;22;50;150
17421;24;50;150
17427;25;50;135
17433;26;50;135
17439;27;50;135
17445;27;50;127
17451;28;50;127
17460;29;50;88
17466;30;50;88
17472;30;50;88
17478;31;50;84
17484;31;50;84
17490;32;50;84
17496;32;50;84
17502;32;50;84
17508;33;50;51
17514;33;50;51
17526;33;50;51
17532;33;50;51
17538;33;50;51
17544;33;50;51
17550;33;50;51
17556;33;50;51
17562;33;50;51
17568;32;50;-13
17574;32;50;-13
17580;31;50;-13
17583;31;50;-43
17589;31;50;-43
17595;30;50;-43
17601;30;50;-43
17607;29;50;-72
17613;28;50;-72
17625;27;50;-93
17631;26;50;-93
17637;25;50;-93
17643;24;50;-93
17649;23;50;-95
17658;22;50;-95
17664;21;50;-135
17670;20;50;-135
17679;18;50;-88
17691;16;50;-88
17697;15;50;-193
17703;13;50;-193
17709;13;50;-193
17715;11;50;-135
17727;9;50;-135
17736;7;50;-177
17742;5;50;-177
17748;4;50;-172
17757;2;50;-172
17763;1;50;-172
17769;-1;50;-163
17775;-2;28;-163
17781;-3;-10;-163
17787;-5;-50;-163
17793;-6;-50;-163
17799;-7;-50;-163
17805;-8;-50;-163
17811;-9;-50;-177
17817;-11;-50;-177
17826;-13;-50;-141
17832;-14;-50;-141
17841;-16;-50;-141
17850;-17;-50;-172
17859;-19;-50;-172
17865;-19;-50;-135
17871;-20;-50;-135
17877;-21;-50;-135
17883;-22;-50;-100
17889;-23;-50;-100
17895;-23;-50;-100
17901;-25;-50;-100
17907;-25;-50;-120
17913;-26;-50;-120
17919;-27;-50;-93
17925;-27;-50;-93
17931;-27;-50;-93
17937;-28;-50;-93
17943;-29;-50;-65
17949;-29;-50;-65
17955;-29;-50;-65
17961;-29;-50;-65
17967;-30;-50;-33
17973;-30;-50;-33
17979;-30;-50;-33
17985;-30;-50;-33
17988;-30;-50;-33
17994;-30;-50;-33
18000;-30;-50;-33
18006;-30;-50;-33
18012;-30;-50;-33
18018;-30;-50;-33
18027;-29;-50;13
18033;-29;-50;13
18039;-29;-50;13
18045;-28;-50;35
18051;-27;-50;35
18060;-27;-50;35
18066;-27;-50;35
18072;-26;-50;64
18078;-25;-50;64
18084;-24;-50;64
18090;-23;-50;109
18096;-23;-50;109
18102;-22;-50;109
18108;-21;-50;93
18117;-20;-50;93
18123;-19;-50;93
18129;-18;-50;93
18135;-17;-50;96
18141;-16;-50;96
18147;-15;-50;96
18153;-15;-50;135
18162;-13;-50;135
18168;-11;-50;121
18174;-10;-50;121
18180;-9;-50;121
18186;-8;-50;168
18192;-7;-50;168
18198;-6;-50;168
18207;-4;-50;143
18213;-3;-50;143
18219;-2;-50;150
18225;-1;-50;150
18231;0;-50;150
18237;1;-36;137
18243;3;-14;137
18249;3;32;137
18255;5;50;141
18261;6;50;141
18267;7;50;141
18273;8;50;147
18279;9;50;147
18285;10;50;147
18291;11;50;150
18297;12;50;150
18306;14;50;150
18312;15;50;115
18318;16;50;115
18324;17;50;150
18330;17;50;150
18336;18;50;150
18342;19;50;93
18351;20;50;93
18357;21;50;93
18363;21;50;88
18369;22;50;88
18375;23;50;88
18381;23;50;78
18387;24;50;78
18396;25;50;78
18402;25;50;76
18408;25;50;76
18414;25;50;76
18420;25;50;76
18429;26;50;76
18432;26;50;21
18444;26;50;21
18450;26;50;21
18456;26;50;21
18462;26;50;21
18468;26;50;21
18474;26;50;21
18480;25;50;21
18486;25;50;-14
18492;25;50;-14
18498;25;50;-14
18504;25;50;-14
18510;24;50;-30
18519;23;50;-30
18525;23;50;-30
18531;22;50;-30
18537;22;50;-61
18543;21;50;-61
18549;21;50;-61
18555;20;50;-75
18561;19;50;-75
18567;19;50;-75
18570;18;50;-94
18576;17;50;-94
18582;17;50;-94
18588;16;50;-88
18594;15;50;-88
18600;14;50;-88
18609;13;50;-126
18615;12;50;-126
18621;11;50;-126
18627;10;50;-115
18633;9;50;-115
18642;7;50;-150
18648;6;50;-150
18654;5;50;-150
18660;5;50;-150
18666;3;50;-109
18672;2;50;-109
18678;1;50;-109
18684;1;50;-109
18690;-1;50;-129
18696;-2;36;-129
18702;-3;-2;-129
18705;-3;-25;-129
18711;-4;-50;-129
18717;-5;-50;-129
18726;-7;-50;-129
18732;-7;-50;-143
18738;-9;-50;-143
18744;-9;-50;-143
18750;-11;-50;-120
18756;-11;-50;-120
18762;-13;-50;-120
18768;-13;-50;-135
18774;-14;-50;-135
18780;-15;-50;-135
18786;-15;-50;-135
18792;-16;-50;-96
18798;-17;-50;-96
18804;-18;-50;-96
18810;-19;-50;-96
18816;-19;-50;-100
18822;-19;-50;-100
18828;-20;-50;-50
18834;-20;-50;-50
18840;-21;-50;-50
18846;-21;-50;-50
18852;-21;-50;-50
18858;-22;-50;-55
18864;-22;-50;-55
18870;-23;-50;-55
18876;-23;-50;-47
18882;-23;-50;-47
18891;-23;-50;-47
18897;-23;-50;-47
18903;-23;-50;-47
18906;-23;-50;-47
18912;-23;-50;-47
18918;-23;-50;-47
18924;-23;-50;-47
18930;-23;-50;-47
18936;-23;-50;-47
18945;-23;-50;-47
18951;-22;-50;10
18960;-22;-50;10
18966;-21;-50;10
18972;-21;-50;41
18978;-21;-50;41
18984;-20;-50;41
18993;-19;-50;44
18999;-19;-50;44
19005;-19;-50;44
19011;-18;-50;44
19017;-18;-50;57
19026;-17;-50;57
19035;-16;-50;78
19041;-15;-50;78
19047;-15;-50;78
19053;-14;-50;88
19059;-13;-50;88
19062;-13;-50;88
19068;-11;-50;88
19074;-11;-50;121
19080;-10;-50;121
19086;-9;-50;121
19092;-8;-50;104
19098;-7;-50;104
19104;-6;-50;104
19110;-5;-50;104
19116;-5;-50;121
19122;-4;-50;121
19128;-3;-50;121
19134;-2;-50;104
19140;-1;-50;104
19146;0;-50;104
19155;1;-43;115
19161;2;-29;115
19167;3;1;115
19173;3;47;100
19179;5;50;100
19185;5;50;100
19191;6;50;114
19197;7;50;114
19203;8;50;114
19209;9;50;114
19215;9;50;115
19227;11;50;115
19236;11;50;88
19242;13;50;88
19248;13;50;93
19254;14;50;93
19260;14;50;93
19266;15;50;84
19272;15;50;84
19278;16;50;84
19284;17;50;84
