tiempo;error;tiempoDev;derivada
37024;-31;11;72
37074;-15;12;66
37124;0;12;58
37174;15;15;53
37224;31;15;53
37274;39;20;40
37324;39;37;21
37374;39;53;15
37424;39;70;11
37474;23;16;-50
37524;7;11;-72
37574;-7;7;-100
37624;-15;18;-44
37674;-23;22;-36
37724;-31;29;-27
37774;-31;46;-17
37824;-31;62;-12
37874;-23;57;14
37924;-15;31;25
37974;-7;19;42
38024;0;21;33
38074;7;18;38
38124;7;34;20
38174;15;40;20
38224;15;57;14
38274;15;73;10
38324;7;58;-13
38374;7;75;-10
38424;7;91;-8
38474;0;52;-13
38524;-7;31;-22
38574;-7;47;-14
38624;-7;64;-10
38674;-7;81;-8
38724;-7;97;-7
38774;-7;114;-6
38824;-7;131;-5
38874;-7;147;-4
38924;-7;164;-4
38974;-7;181;-3
39024;-7;197;-3
39074;-7;214;-3
39124;-7;231;-3
39174;-7;247;-2
39224;-7;264;-2
39274;-7;281;-2
39324;-7;297;-2
39374;-7;314;-2
39424;-7;331;-2
39474;-7;348;-2
39524;-7;364;-1
39574;-7;381;-1
39624;-7;397;-1
39674;-7;414;-1
39724;-7;431;-1
39774;-7;447;-1
39824;-7;464;-1
39874;-7;481;-1
39924;-7;497;-1
39974;-7;514;-1
40024;-7;531;-1
40074;-7;548;-1
40124;-7;564;-1
40174;-7;581;-1
40224;-7;597;-1
40274;-7;614;-1
40324;-7;631;-1
40374;-7;648;-1
40424;-7;664;-1
40474;-7;681;-1
40524;-7;697;-1
40574;-7;714;0
40624;-7;731;0
40674;-7;747;0
40724;-7;764;0
40774;-7;781;0
40824;-7;797;0
40874;-7;814;0
40924;-7;831;0
40974;-7;847;0
41024;-7;864;0
41074;-7;881;0
41124;-7;897;0
41174;-7;914;0
41224;-7;931;0
41274;-7;947;0
41324;-7;964;0
41374;-7;981;0
41424;-7;997;0
41474;-7;1014;0
41524;-7;1031;0
41574;-7;1047;0
41624;-7;1064;0
41674;-7;1081;0
41724;-7;1098;0
41774;-7;1114;0
41824;-7;1131;0
41874;-7;1148;0
41924;-7;1164;0
41974;-7;1181;0
42024;-7;1198;0
42074;-7;1214;0
42124;-7;1231;0
42174;-7;1247;0
42224;-7;1264;0
42274;-7;1281;0
42324;-7;1297;0
42374;-7;1314;0
42424;-7;1331;0
42474;-7;1348;0
42524;-7;1364;0
42574;-7;1381;0
42624;-7;1397;0
42674;-7;1414;0
42724;-7;1431;0
42774;-7;1447;0
42824;-7;1464;0
42874;-7;1481;0
42924;-7;1497;0
42974;-7;1514;0
43024;-7;1531;0
43074;-7;1547;0
43124;-7;1564;0
43174;-7;1581;0
43224;-7;1598;0
43274;-7;1614;0
43324;-7;1631;0
43374;-7;1648;0
43424;-7;1664;0
43474;-7;1681;0
43524;7;7;100
43574;39;1;800
43624;70;5;160
43674;101;3;233
43724;109;16;50
43774;117;23;34
43824;101;16;-50
43874;70;3;-266
43924;39;3;-266
43974;7;5;-160
44024;-23;7;-114
44074;-54;8;-87
44124;-86;5;-160
44174;-101;9;-77
44224;-101;26;-26
44274;-86;10;80
44324;-70;8;100
44374;-47;10;70
44424;-23;8;100
44474;7;6;116
44524;39;3;266
44574;54;9;77
44624;70;11;72
44674;70;28;28
44724;70;44;18
44774;54;12;-66
44824;39;11;-72
44874;15;10;-80
44924;-7;7;-100
44974;-31;9;-88
45024;-47;13;-61
45074;-54;18;-38
45124;-54;35;-20
45174;-54;51;-13
45224;-47;61;11
45274;-31;15;53
45324;-15;13;61
45374;0;11;63
45424;15;13;61
45474;23;17;47
45524;39;13;61
45574;39;30;26
45624;39;46;17
45674;31;55;-14
45724;23;23;-34
45774;7;12;-66
45824;0;20;-35
45874;-15;16;-50
45924;-23;20;-40
45974;-23;36;-22
46024;-23;53;-15
46074;-23;70;-11
46124;-23;86;-9
46174;-15;91;8
46224;-7;22;36
46274;-7;39;20
46324;7;16;43
46374;7;32;21
46424;7;49;14
46474;7;66;10
46524;7;82;8
46574;7;99;7
46624;7;116;6
46674;0;118;-5
46724;0;135;-5
46774;-7;35;-20
46824;-7;51;-13
46874;-7;68;-10
46924;-7;85;-8
46974;-7;101;-6
47024;-7;118;-5
47074;-7;135;-5
47124;-7;151;-4
47174;-7;168;-4
47224;-7;185;-3
47274;-7;201;-3
47324;-7;218;-3
47374;-7;235;-2
47424;-7;251;-2
47474;-7;268;-2
47524;-7;285;-2
47574;-7;301;-2
47624;-7;318;-2
47674;-7;335;-2
47724;-7;351;-1
47774;-7;368;-1
47824;-7;385;-1
47874;-7;401;-1
47924;-7;418;-1
47974;-7;435;-1
48024;-7;451;-1
48074;-7;468;-1
48124;-7;485;-1
48174;-7;502;-1
48224;-7;518;-1
48274;-7;535;-1
48324;-7;551;-1
48374;-7;568;-1
48424;-7;585;-1
48474;-7;601;-1
48524;-7;618;-1
48574;-7;635;-1
48624;-7;652;-1
48674;-7;668;-1
48724;-7;685;-1
48774;-7;701;0
48824;-7;718;0
48874;-7;735;0
48924;-7;751;0
48974;-7;768;0
49024;-7;785;0
49074;-7;801;0
49124;-7;818;0
49174;-7;835;0
49224;-7;851;0
49274;-7;868;0
49324;-7;885;0
49374;-7;901;0
49424;-7;918;0
49474;-7;935;0
49524;-7;952;0
49574;-7;968;0
49624;-7;985;0
49674;-7;1001;0
49724;-7;1018;0
49774;-7;1035;0
49824;-7;1052;0
49874;-7;1068;0
49924;-7;1085;0
49974;-7;1102;0
50024;-7;1118;0
50074;-7;1135;0
50124;-7;1152;0
50174;-7;1168;0
50224;-7;1185;0
50274;-7;1201;0
50324;-7;1218;0
50374;-7;1235;0
50424;-7;1252;0
50474;-7;1268;0
50524;-7;1285;0
50574;-7;1301;0
