tiempo;angulo;integral;derivada
21249;-33;-50;0
21255;-34;-50;0
21261;-34;-50;0
21267;-35;-50;0
21273;-35;-50;0
21279;-35;-50;0
21285;-36;-50;0
21291;-36;-50;0
21297;-36;-50;0
21303;-36;-50;0
21309;-36;-50;0
21315;-36;-50;0
21321;-36;-50;0
21327;-36;-50;0
21333;-35;-50;0
21339;-35;-50;0
21345;-35;-50;0
21351;-35;-50;0
21357;-34;-50;0
21363;-33;-50;0
21369;-33;-50;0
21375;-32;-50;0
21381;-32;-50;0
21387;-31;-50;0
21393;-30;-50;0
21399;-29;-50;0
21405;-29;-50;0
21411;-28;-50;0
21420;-27;-50;0
21423;-26;-50;0
21429;-24;-50;0
21435;-23;-50;0
21441;-22;-50;0
21447;-21;-50;0
21453;-20;-50;0
21459;-19;-50;0
21465;-18;-50;0
21468;-17;-50;0
21474;-16;-50;0
21480;-15;-50;0
21486;-13;-50;0
21492;-12;-50;0
21498;-11;-50;0
21504;-9;-50;0
21510;-7;-50;0
21516;-6;-50;0
21522;-5;-50;0
21528;-3;-50;0
21534;-2;-50;0
21540;-1;-50;0
21546;1;-50;0
21552;2;-36;0
21558;3;2;0
21564;5;50;0
21570;6;50;0
21576;7;50;0
21585;9;50;0
21591;11;50;0
21597;12;50;0
21603;13;50;0
21609;15;50;0
21615;16;50;0
21621;17;50;0
21630;19;50;0
21636;19;50;0
21642;21;50;0
21648;21;50;0
21654;22;50;0
21663;24;50;0
21669;25;50;0
21675;25;50;0
21681;26;50;0
21687;27;50;0
21693;28;50;0
21699;28;50;0
21705;29;50;0
21711;29;50;0
21720;30;50;0
21726;31;50;0
21732;31;50;0
21738;31;50;0
21744;32;50;0
21747;32;50;0
21753;32;50;0
21759;32;50;0
21765;32;50;0
21771;32;50;0
21777;32;50;0
21783;32;50;0
21789;32;50;0
21798;31;50;0
21804;31;50;0
21810;31;50;0
21816;30;50;0
21822;30;50;0
21828;29;50;0
21834;29;50;0
21843;28;50;0
21849;27;50;0
21855;26;50;0
21861;26;50;0
21867;25;50;0
21873;24;50;0
21879;23;50;0
21888;22;50;0
21894;21;50;0
21900;20;50;0
21906;19;50;0
21912;18;50;0
21921;17;50;0
21927;15;50;0
21933;14;50;0
21939;13;50;0
21945;12;50;0
21951;11;50;0
21957;9;50;0
21960;9;50;0
21966;7;50;0
21972;6;50;0
21978;5;50;0
21984;4;50;0
21990;3;50;0
21999;1;50;0
22005;-1;50;0
22011;-2;36;0
22023;-5;-50;0
22029;-5;-50;0
22035;-7;-50;0
22041;-8;-50;0
22047;-9;-50;0
22056;-11;-50;0
22062;-12;-50;0
22068;-14;-50;0
22074;-15;-50;0
22080;-16;-50;0
22092;-18;-50;0
22101;-19;-50;0
22107;-20;-50;0
22113;-21;-50;0
22119;-21;-50;0
22125;-22;-50;0
22134;-23;-50;0
22140;-24;-50;0
22146;-25;-50;0
22152;-25;-50;0
22158;-26;-50;0
22164;-27;-50;0
22170;-27;-50;0
22173;-27;-50;0
22179;-28;-50;0
22185;-28;-50;0
22191;-28;-50;0
22197;-29;-50;0
22203;-29;-50;0
22209;-29;-50;0
22215;-29;-50;0
22221;-29;-50;0
22227;-29;-50;0
22233;-29;-50;0
22239;-29;-50;0
22245;-29;-50;0
22251;-29;-50;0
22254;-29;-50;0
22260;-29;-50;0
22266;-28;-50;0
22272;-28;-50;0
22281;-27;-50;0
22287;-27;-50;0
22293;-27;-50;0
22305;-25;-50;0
22314;-24;-50;0
22320;-23;-50;0
22326;-23;-50;0
22338;-21;-50;0
22347;-20;-50;0
22353;-19;-50;0
22359;-19;-50;0
22371;-17;-50;0
22377;-16;-50;0
22383;-15;-50;0
22389;-14;-50;0
22395;-13;-50;0
22404;-11;-50;0
22410;-10;-50;0
22416;-9;-50;0
22422;-7;-50;0
22428;-7;-50;0
22437;-5;-50;0
22443;-4;-50;0
22449;-3;-50;0
22455;-2;-50;0
22461;-1;-50;0
22464;0;-50;0
22470;1;-43;0
22476;2;-29;0
22482;3;9;0
22488;4;50;0
22494;5;50;0
22497;6;50;0
22503;7;50;0
22509;8;50;0
22515;9;50;0
22521;10;50;0
22527;11;50;0
22533;12;50;0
22539;13;50;0
22545;14;50;0
22551;15;50;0
22554;15;50;0
22560;16;50;0
22572;18;50;0
22578;19;50;0
22584;19;50;0
22590;20;50;0
22599;21;50;0
22605;21;50;0
22611;22;50;0
22617;22;50;0
22623;23;50;0
22629;23;50;0
22638;24;50;0
22644;24;50;0
22650;25;50;0
22662;25;50;0
22671;25;50;0
22677;25;50;0
22683;25;50;0
22689;25;50;0
22695;25;50;0
22701;25;50;0
22707;25;50;0
22716;25;50;0
22722;25;50;0
22728;24;50;0
22734;24;50;0
22740;23;50;0
22746;23;50;0
22752;23;50;0
22758;22;50;0
22764;22;50;0
22773;21;50;0
22779;20;50;0
22785;20;50;0
22791;19;50;0
22797;18;50;0
22806;17;50;0
22812;17;50;0
22818;16;50;0
22824;15;50;0
22830;15;50;0
22836;13;50;0
22842;13;50;0
22851;11;50;0
22857;10;50;0
22863;9;50;0
22869;9;50;0
22875;7;50;0
22881;7;50;0
22887;5;50;0
22896;4;50;0
22902;3;50;0
22908;2;50;0
22914;1;50;0
22920;0;50;0
22929;-1;36;0
22935;-3;6;0
22941;-3;-40;0
22947;-4;-50;0
22953;-5;-50;0
22959;-6;-50;0
22965;-7;-50;0
22974;-8;-50;0
22980;-9;-50;0
22986;-10;-50;0
22992;-11;-50;0
22998;-12;-50;0
