tiempo;angulo;tiempoDev;derivada
17325;0;0;0
17349;0;0;0
17376;0;0;0
17400;0;0;0
17427;0;0;0
17451;0;0;0
17475;0;0;0
17502;0;0;0
17526;0;0;0
17553;0;0;0
17577;0;0;0
17601;0;0;0
17628;0;0;0
17652;0;0;0
17679;0;0;0
17703;0;0;0
17727;0;0;0
17754;0;0;0
17778;0;0;0
17805;0;0;0
17829;0;0;0
17853;0;0;0
17880;0;0;0
17904;0;0;0
17931;0;0;0
17955;0;0;0
17979;0;0;0
18006;1;17993;0
18039;1;17993;0
18072;1;17993;0
18105;1;17993;0
18138;2;123;6
18168;3;47;17
18198;7;31;100
18228;16;31;100
18264;33;33;348
18297;51;32;440
18330;66;31;296
18363;79;31;280
18396;86;31;164
18432;91;31;96
18462;90;31;96
18495;85;45;-13
18528;77;31;-77
18564;63;34;-258
18600;45;33;-321
18633;28;32;-396
18669;7;34;-455
18705;-15;33;-448
18744;-36;33;-448
18780;-53;33;-412
18819;-69;32;-312
18855;-79;32;-259
18894;-85;35;-165
18930;-85;41;-92
18966;-81;41;31
18999;-73;36;102
19035;-60;32;187
19071;-44;33;251
19107;-27;33;366
19143;-7;32;412
19176;11;33;448
19209;29;33;424
19242;45;32;378
19275;58;34;297
19311;71;32;240
19344;77;34;155
19377;81;33;96
19407;80;33;96
19440;76;42;-30
19473;68;31;-83
19509;55;32;-165
19545;40;31;-306
19581;23;32;-353
19617;4;31;-400
19650;-13;33;-403
19689;-32;32;-412
19725;-48;34;-358
19764;-61;32;-300
19803;-71;31;-177
19839;-74;31;-177
19878;-73;72;-27
19914;-67;32;84
19947;-58;32;150
19983;-46;32;196
20019;-32;32;275
20055;-15;33;321
20088;1;32;362
20121;17;31;377
20154;31;33;378
20187;45;33;327
20220;55;33;315
20256;64;36;200
20289;69;32;175
20322;69;32;175
20355;67;84;25
20388;61;31;-90
20421;53;31;-158
20457;41;31;-206
20493;27;31;-264
20529;11;33;-324
20562;-5;32;-340
20598;-21;31;-351
20637;-37;32;-312
20676;-49;31;-264
20712;-58;33;-221
20751;-63;34;-144
20787;-65;39;-71
20823;-63;35;20
20856;-57;32;65
20889;-49;33;127
20925;-38;31;187
20961;-24;32;231
20997;-9;31;300
21030;5;33;354
21063;18;33;333
21096;31;32;287
21129;42;31;270
21165;51;37;197
21198;57;32;134
21231;61;35;100
21264;61;35;100
21297;58;48;-14
21333;51;35;-80
21366;43;32;-156
21402;31;32;-184
21438;18;33;-251
21474;4;32;-315
21507;-9;35;-311
21546;-23;31;-303
21582;-37;31;-270
21621;-47;34;-220
21657;-53;34;-173
21696;-57;42;-102
21735;-57;42;-102
21768;-53;71;9
21801;-47;31;93
21837;-39;35;145
21873;-27;31;193
21906;-16;31;245
21942;-3;32;293
21975;10;32;290
22008;22;32;268
22041;32;31;248
22074;41;32;212
22110;48;34;173
22143;51;34;85
22173;53;34;85
22206;52;63;12
22236;49;63;12
22269;43;41;-70
22305;35;35;-128
22341;24;33;-230
22377;12;33;-260
22410;0;31;-277
22446;-12;32;-265
22482;-23;35;-245
22521;-27;31;-174
22557;-23;34;23
22590;-18;34;111
22626;-10;33;142
22662;-2;33;190
22695;5;34;158
22725;9;32;146
22758;10;40;77
22788;9;36;-22
22821;6;41;-56
22851;3;41;-56
22884;3;41;-56
22914;5;77;-20
22944;7;32;71
22974;7;77;29
23004;7;77;29
23034;6;85;-8
23061;6;85;-8
23091;7;53;13
23121;6;53;13
23151;6;53;13
23181;6;53;13
23208;6;53;13
23238;6;53;13
23268;6;53;13
23298;6;53;13
23328;5;53;13
23358;5;262;-5
23388;5;262;-5
23421;4;79;-10
23451;3;79;-10
23484;2;65;-24
23514;1;65;-24
23547;0;62;-24
23580;-1;62;-24
23613;-2;52;-28
23646;-3;52;-28
23679;-3;52;-28
23712;-4;97;-16
23748;-4;97;-16
23781;-4;97;-16
23814;-3;124;6
23847;-3;124;6
23877;-3;124;6
23910;-2;91;8
23937;-2;91;8
23967;-1;43;18
24000;0;43;18
24030;0;60;11
24060;1;38;18
24087;1;38;18
24117;1;38;18
24147;1;38;18
24177;1;38;18
24207;1;38;18
24234;1;38;18
24264;1;38;18
24294;1;38;18
24324;1;38;18
24354;1;38;18
24381;1;38;18
24411;1;38;18
24441;0;387;-1
24471;0;387;-1
24504;0;387;-1
24534;0;387;-1
24567;0;387;-1
24600;-1;152;-4
24633;-1;152;-4
24666;-1;152;-4
24699;-1;152;-4
24735;-1;152;-4
24768;-1;152;-4
24801;-1;152;-4
24834;-1;152;-4
24867;-1;152;-4
24903;-1;152;-4
24936;-1;152;-4
24969;-1;152;-4
25002;-1;152;-4
