tiempo;angulo;tiempoDev;derivada
19620;0;0;0
19626;0;0;0
19632;0;0;0
19638;0;0;0
19650;1;19646;0
19656;1;19646;0
19662;2;19646;0
19671;3;8;100
19683;4;10;80
19689;5;5;160
19695;5;5;160
19701;6;14;57
19707;7;7;100
19716;7;7;100
19722;8;13;61
19728;9;7;114
19734;9;7;114
19740;10;7;114
19752;11;9;88
19761;11;9;88
19767;12;9;88
19773;12;18;44
19779;13;9;77
19785;13;9;77
19794;13;9;77
19800;14;21;38
19806;14;21;38
19812;15;21;38
19818;15;15;53
19842;18;10;70
19845;19;10;70
19851;19;6;133
19863;21;5;160
19869;22;7;100
19875;23;4;200
19884;25;5;160
19890;26;5;160
19896;27;8;87
19902;27;6;133
19908;29;8;100
19914;30;4;175
19920;31;4;200
19929;33;6;116
19935;33;5;160
19941;35;7;100
19947;35;5;160
19953;36;9;77
19962;37;6;133
19968;39;8;100
19974;40;3;233
19980;41;4;175
19986;42;4;175
19992;43;4;200
19998;44;4;200
20004;45;4;200
20010;46;7;100
20013;47;7;100
20019;48;4;175
20025;49;3;233
20031;50;3;233
20037;51;3;233
20043;52;8;100
20049;53;3;233
20055;54;8;87
20061;55;4;175
20067;57;8;87
20070;57;3;233
20076;58;3;233
20085;59;3;233
20109;65;7;200
20115;67;3;233
20121;68;6;116
20127;69;4;150
20133;70;8;87
20139;71;5;140
20145;72;5;140
20148;73;8;75
20154;73;4;175
20160;75;7;100
20166;76;4;150
20172;77;4;150
20178;78;7;100
20187;80;4;150
20193;81;4;175
20199;82;7;85
20205;83;4;150
20211;84;7;85
20217;85;4;175
20223;86;8;75
20232;87;6;100
20244;89;5;120
20250;91;8;75
20256;92;3;200
20262;93;3;200
20268;94;6;100
20277;96;5;100
20289;97;5;120
20295;98;10;50
20301;99;5;120
20307;100;7;85
20313;101;6;83
20322;102;8;75
20328;103;5;100
20334;104;8;62
20340;105;7;85
20346;106;7;85
20355;107;6;83
20367;109;6;83
20379;110;9;55
20382;111;7;71
20388;111;7;71
20394;112;9;55
20400;113;6;83
20406;114;9;55
20412;115;9;55
20418;115;7;71
20424;116;8;62
20430;117;7;57
20436;118;7;57
20442;119;10;50
20448;119;6;83
20454;120;9;55
20460;121;9;55
20469;122;8;50
20478;123;6;66
20484;124;6;66
20490;125;9;55
20496;125;6;66
20502;126;10;40
20508;127;7;71
20514;127;7;71
20520;128;10;40
20526;129;8;50
20532;129;8;50
20538;130;8;50
20544;130;13;30
20550;131;9;44
20556;132;9;44
20562;133;10;40
20568;133;6;66
20574;134;6;66
20580;134;12;33
20586;135;7;57
