tiempo;error;integral;derivada
9690;0;1000;-11
9696;0;2993;1
9702;-1;4980;1
9708;-1;6973;0
9714;-2;8958;0
9720;-2;10000;0
9726;-2;10000;0
9732;-3;10000;0
9738;-3;10000;-57
9744;-3;10000;-57
9750;-4;10000;-57
9756;-4;10000;-57
9762;-5;10000;-247
9768;-5;10000;-247
9774;-5;10000;-247
9780;-5;10000;-247
9786;-6;10000;-327
9792;-6;10000;-327
9798;-6;10000;17
9804;-7;10000;17
9810;-7;10000;17
9816;-7;10000;-188
9822;-7;10000;-188
9828;-7;10000;-188
9834;-7;10000;1
9840;-7;10000;1
9846;-7;10000;1
9852;-7;10000;1
9858;-8;10000;80
9864;-8;10000;80
9870;-8;10000;80
9876;-8;10000;80
9885;-8;10000;80
9891;-8;10000;1
9897;-8;10000;1
9903;-8;10000;1
9909;-8;10000;1
9915;-8;10000;1
9921;-8;10000;1
9927;-8;10000;1
9933;-8;10000;1
9939;-8;10000;1
9945;-8;10000;1
9951;-8;10000;1
9957;-8;10000;1
9963;-7;10000;-15
9969;-7;10000;-15
9975;-7;10000;-15
9981;-7;10000;-15
9987;-7;10000;-15
9993;-7;10000;-15
9999;-7;10000;1
10005;-7;10000;1
10011;-7;10000;1
10017;-7;10000;1
10023;-6;10000;-108
10029;-6;10000;-108
10035;-6;10000;-108
10041;-5;10000;-108
10047;-5;10000;-108
10053;-5;10000;-955
10059;-5;10000;-955
10065;-4;10000;-955
10071;-4;10000;-459
10077;-3;10000;-459
10083;-3;10000;-459
10089;-3;10000;-459
10095;-3;10000;-459
10101;-3;10000;-1200
10107;-3;10000;-1200
10113;-2;10000;-322
10119;-2;10000;-322
10125;-1;10000;-322
10131;-1;10000;-322
10137;-1;10000;-322
10143;0;10000;-1146
10149;0;10000;-1146
10155;0;10000;-545
10161;1;10000;-545
10167;1;10000;-545
10173;1;10000;-545
10179;1;10000;-900
10185;1;10000;-900
10191;2;10000;-386
10197;2;10000;-386
10203;2;10000;-386
10209;3;10000;-386
10215;3;10000;-386
10221;3;10000;-1011
10227;4;10000;-1011
10233;4;10000;-1011
10239;4;10000;-527
10245;5;10000;-527
10251;5;10000;-527
10257;5;10000;-527
10263;5;10000;-870
10269;5;10000;-870
10275;5;10000;1
10281;5;10000;1
10287;6;10000;1
10293;6;10000;-151
10299;6;10000;-151
10305;6;10000;-151
10311;6;10000;-151
10317;6;10000;-151
10323;7;10000;1
10329;7;10000;-169
10335;7;10000;-169
10341;7;10000;-169
10347;7;10000;-169
10353;7;10000;-169
10359;7;10000;1
10365;7;10000;1
10371;7;10000;1
10377;7;10000;1
10383;7;10000;1
10389;7;10000;1
10395;7;10000;1
10401;7;10000;1
10407;7;10000;1
10413;7;10000;1
10419;6;10000;-8
10425;6;10000;-8
10434;6;10000;-8
10440;6;10000;-8
10446;6;10000;-8
10452;5;10000;-9100
10458;5;10000;137
10464;5;10000;137
10470;5;10000;137
10476;5;10000;137
10482;5;10000;137
10491;5;10000;1
10497;5;10000;1
10503;4;10000;1
10509;4;10000;69
10515;4;10000;69
10521;3;10000;69
10527;3;10000;69
10533;3;10000;69
10539;3;10000;-485
10545;3;10000;-485
10551;2;10000;-13
10557;2;10000;-13
10563;1;10000;-13
10569;1;10000;-13
10575;1;10000;-13
10581;1;10000;-453
10587;1;10000;-453
10593;1;10000;-453
10599;0;10000;108
10605;0;10000;108
10611;0;10000;108
10617;-1;10000;108
10623;-1;10000;108
10629;-1;10000;-416
10635;-1;10000;-416
10641;-2;10000;-416
10647;-2;10000;-76
10653;-2;10000;-76
10659;-2;10000;-76
10665;-3;10000;-76
10671;-3;10000;-76
10677;-3;10000;-315
10683;-3;10000;-315
10689;-3;10000;-315
10695;-3;10000;1
10701;-3;10000;1
10707;-4;10000;1
10713;-4;10000;76
10719;-4;10000;76
10725;-4;10000;76
10731;-5;10000;76
10737;-5;10000;76
10743;-5;10000;-323
10749;-5;10000;-323
10755;-5;10000;-323
10761;-5;10000;1
10767;-5;10000;1
10773;-5;10000;1
10782;-5;10000;1
10788;-5;10000;1
10794;-5;10000;1
10800;-5;10000;1
10806;-5;10000;1
10812;-5;10000;1
10818;-5;10000;1
10827;-5;10000;1
10833;-5;10000;1
10839;-5;10000;1
10845;-5;10000;1
10851;-5;10000;1
10857;-5;10000;1
10863;-5;10000;1
10869;-5;10000;1
10875;-5;10000;1
10881;-5;10000;1
10887;-5;10000;1
10893;-5;10000;1
10899;-5;10000;1
10905;-5;10000;1
10911;-4;10000;1
10917;-4;10000;-37
10923;-4;10000;-37
10929;-4;10000;-37
