tiempo;error;tiempoDev;derivada
12396;0;3;0
12420;0;11;0
12447;0;20;0
12474;0;29;0
12501;0;38;0
12528;0;47;0
12558;0;57;0
12585;0;66;0
12612;0;75;0
12639;0;84;0
12666;0;93;0
12693;0;102;0
12723;0;112;0
12753;0;122;0
12780;0;131;0
12810;0;141;0
12840;0;151;0
12870;0;161;0
12900;0;171;0
12927;0;180;0
12957;0;190;0
12987;0;200;0
13017;0;210;0
13047;0;220;0
13074;0;229;0
13104;0;239;0
13134;0;249;0
13164;0;259;0
13194;0;269;0
13221;0;278;0
13251;0;288;0
13281;0;298;0
13311;0;308;0
13341;0;318;0
13368;0;327;0
13398;0;337;0
13428;0;347;0
13458;0;357;0
13488;0;367;0
13515;0;376;0
13545;0;386;0
13575;0;396;0
13605;0;406;0
13635;0;416;0
13662;0;425;0
13692;0;435;0
13722;0;445;0
13752;0;455;0
13782;0;465;0
13809;0;474;0
13839;0;484;0
13869;0;494;0
13899;0;504;0
13929;0;514;0
13956;0;523;0
13986;0;533;0
14016;0;543;0
14046;0;553;0
14076;0;563;0
14103;0;572;0
14133;7;582;1
14163;23;7;114
14196;47;7;114
14226;62;8;100
14259;78;9;88
14289;86;11;72
14322;101;9;77
14355;117;10;80
14388;125;16;50
14421;117;11;-72
14457;117;23;-34
14493;94;7;-100
14526;78;7;-114
14559;54;5;-160
14595;23;3;-266
14628;0;5;-140
14661;-23;5;-160
14694;-47;7;-114
14730;-70;5;-160
14766;-94;6;-133
14802;-101;12;-58
14841;-109;20;-40
14877;-109;32;-25
14916;-101;36;22
14949;-86;8;100
14982;-70;7;114
15015;-54;8;100
15048;-31;6;133
15084;-7;4;200
15114;7;6;116
15144;23;7;114
15174;39;7;114
15207;54;10;70
15237;70;8;100
15270;78;14;57
15300;78;24;33
15333;78;35;22
15363;78;45;17
15396;70;44;-18
15429;54;7;-114
15462;39;5;-160
15498;23;5;-160
15531;7;6;-133
15561;-7;5;-140
15597;-23;8;-100
15633;-39;8;-100
15669;-54;9;-77
15702;-62;14;-57
15738;-70;12;-66
15774;-70;24;-33
15810;-62;26;30
15843;-54;16;50
15876;-54;27;29
15909;-39;10;80
15945;-23;4;200
15975;-15;10;80
16008;-7;11;72
16038;7;8;87
16068;15;13;61
16098;23;13;61
16131;39;7;114
16161;39;17;47
16194;47;22;36
16224;47;32;25
16257;47;43;18
16290;39;34;-23
16323;39;45;-17
16356;31;28;-28
16389;23;16;-50
16425;7;8;-100
16455;7;18;-44
16488;-7;9;-77
