tiempo;error;integral;derivada;setPoint
20040;-5;-1499;0;1020;
20046;-5;-1499;0;1020;
20052;-5;-1499;0;1020;
20058;-5;-1499;0;1020;
20064;-5;-1499;0;1020;
20070;-5;-1499;0;1020;
20076;-5;-1499;0;1020;
20085;-5;-1499;0;1020;
20091;-5;-1499;0;1020;
20097;-5;-1499;0;1020;
20103;-5;-1499;0;1020;
20109;-5;-1499;0;1020;
20115;-5;-1499;0;1020;
20121;-5;-1499;0;1020;
20127;-5;-1499;0;1020;
20133;-5;-1499;0;1020;
20139;-5;-1499;0;1020;
20145;-5;-1499;0;1020;
20151;-5;-1499;0;1020;
20157;-4;-1499;1;1020;
20163;-4;-1499;0;1020;
20169;-4;-1499;0;1020;
20175;-4;-1499;0;1020;
20181;-4;-1499;0;1020;
20187;-4;-1499;0;1020;
20193;-4;-1499;0;1020;
20199;-4;-1499;0;1020;
20205;-4;-1499;0;1020;
20211;-4;-1499;0;1020;
20214;-4;-1499;0;1020;
20220;-4;-1499;0;1020;
20226;-4;-1499;0;1020;
20232;-4;-1499;0;1020;
20238;-4;-1499;0;1020;
20244;-4;-1499;0;1020;
20250;-4;-1499;0;1020;
20256;-4;-1499;0;1020;
20262;-4;-1499;0;1020;
20268;-4;-1499;0;1020;
20274;-4;-1499;0;1020;
20280;-3;-1499;0;1020;
20286;-3;-1499;0;1020;
20292;-3;-1499;0;1020;
20298;-3;-1499;0;1020;
20304;-3;-1499;0;1020;
20310;-3;-1499;0;1020;
20316;-3;-1499;0;1020;
20322;-3;-1499;0;1020;
20328;-3;-1499;0;1020;
20334;-3;-1499;0;1020;
20340;-3;-1499;0;1020;
20346;-3;-1499;0;1020;
20352;-3;-1499;0;1020;
20358;-3;-1499;0;1020;
20364;-3;-1499;0;1020;
20370;-3;-1499;0;1020;
20376;-3;-1499;0;1020;
20382;-3;-1499;0;1020;
20388;-3;-1499;0;1020;
20394;-3;-1499;0;1020;
20400;-3;-1499;0;1020;
20406;-3;-1499;0;1020;
20412;-3;-1499;0;1020;
20418;-3;-1499;0;1020;
20424;-3;-1499;0;1020;
20430;-3;-1499;0;1020;
20436;-3;-1499;0;1020;
20442;-3;-1499;0;1020;
20448;-3;-1499;0;1020;
20454;-3;-1499;0;1020;
20460;-3;-1499;0;1020;
20466;-3;-1499;0;1020;
20472;-3;-1499;0;1020;
20478;-3;-1499;0;1020;
20484;-3;-1499;0;1020;
20490;-3;-1499;0;1020;
20496;-3;-1499;0;1020;
20502;-3;-1499;0;1020;
20508;-3;-1499;0;1020;
20514;-3;-1499;0;1020;
