16938;0;0;0
16974;0;0;0
17024;0;0;0
17074;0;0;0
17124;0;0;0
17174;0;0;0
17224;0;0;0
17274;0;0;0
17324;0;0;0
17374;0;0;0
17424;0;0;0
17474;0;0;0
17524;0;0;0
17574;0;0;0
17624;0;0;0
17674;0;0;0
17724;0;0;0
17774;0;0;0
17824;0;0;0
17874;0;0;0
17924;0;0;0
17974;0;0;0
18024;0;0;0
18074;0;0;0
18124;0;0;0
18174;0;0;0
18224;0;0;0
18274;0;0;0
18324;-6;62;-8
18374;-22;262;-8
18424;-39;481;-7
18474;-56;657;-7
18524;-74;867;-7
18574;-89;1000;0
18624;-93;1000;0
18674;-88;1000;0
18724;-73;878;0
18774;-51;646;7
18824;-23;312;7
18874;7;-75;16
18924;36;-420;15
18974;60;-713;7
19024;78;-920;7
19074;88;-1000;0
19124;88;-1000;-6
19174;78;-929;-6
19224;60;-747;-7
19274;36;-470;-7
19324;8;-112;-16
19374;-21;236;-15
19424;-46;553;-8
19474;-66;780;-7
19524;-78;920;-7
19574;-82;960;0
19624;-76;908;0
19674;-62;769;0
19724;-42;540;8
19774;-17;224;16
19824;9;-86;7
19874;34;-409;8
19924;56;-668;7
19974;72;-846;7
20024;79;-920;0
20074;77;-908;-7
20124;67;-814;-6
20174;50;-622;-8
20224;28;-348;-15
20274;2;-49;-16
20324;-22;262;-8
20374;-44;540;-15
20424;-60;724;-7
20474;-70;835;0
20524;-72;856;0
20574;-64;780;7
20624;-52;635;7
20674;-32;409;15
20724;-10;150;7
20774;14;-161;7
20824;36;-433;15
20874;53;-635;0
20924;65;-769;0
20974;69;-824;0
21024;66;-792;0
21074;55;-680;0
21124;39;-494;0
21174;18;-249;-8
21224;-4;36;-8
21274;-26;312;-8
21324;-44;516;0
21374;-56;680;-7
21424;-62;747;0
21474;-61;736;0
21524;-53;657;0
21574;-39;494;7
21624;-20;262;7
21674;0;11;8
21724;20;-236;8
21774;38;-444;0
21824;51;-611;0
21874;58;-702;0
21924;59;-724;0
21974;54;-657;0
22024;42;-529;-7
22074;26;-323;-8
22124;8;-99;-16
22174;-12;150;-16
22224;-30;348;0
22274;-43;529;-8
22324;-52;635;-8
22374;-54;657;0
22424;-50;622;0
22474;-41;516;0
22524;-28;360;8
22574;-10;150;7
22624;8;-86;7
22674;24;-286;8
22724;38;-470;8
22774;48;-588;8
22824;52;-635;0
22874;50;-611;0
22924;43;-529;-7
22974;30;-385;-7
23024;16;-200;-8
23074;-2;11;-7
23124;-18;200;0
23174;-32;385;-8
23224;-42;505;0
23274;-46;564;0
23324;-46;564;0
23374;-40;494;7
23424;-30;385;7
23474;-17;224;0
23524;-1;24;0
23574;14;-161;7
23624;28;-336;8
23674;38;-457;0
23724;44;-540;7
23774;44;-540;0
23824;40;-494;-7
23874;32;-396;0
23924;20;-249;-8
23974;6;-75;-7
24024;-8;86;-7
24074;-21;262;-8
24124;-32;385;0
24174;-38;470;0
24224;-40;494;0
24274;-37;457;8
24324;-30;372;8
24374;-19;249;0
24424;-7;86;8
24474;6;-62;8
24524;18;-224;7
24574;28;-348;0
24624;35;-433;8
24674;38;-470;0
24724;36;-444;0
24774;30;-372;-8
24824;22;-273;-8
24874;10;-137;-8
24924;-2;11;-7
24974;-14;161;-7
25024;-23;273;0
25074;-30;372;0
25124;-33;409;0
25174;-32;396;0
25224;-28;348;0
25274;-20;262;0
25324;-11;137;8
25374;0;0;7
25424;11;-124;0
25474;20;-249;0
25524;27;-323;0
25574;31;-372;0
25624;31;-385;0
25674;27;-348;0
25724;21;-273;0
25774;13;-161;-8
25824;3;-36;-8
25874;-7;75;0
25924;-16;187;0
25974;-22;273;-7
26024;-26;323;0
26074;-27;336;0
26124;-24;299;8
26174;-19;236;8
26224;-12;150;7
26274;-3;49;0
26324;5;-49;0
26374;13;-161;7
26424;19;-236;0
26474;24;-299;8
26524;25;-312;0
26574;23;-286;0
26624;19;-236;-8
26674;13;-161;-8
26724;6;-75;0
26774;-2;24;-8
26824;-9;112;-8
26874;-16;187;0
26924;-19;236;0
26974;-20;249;0
27024;-19;236;8
27074;-16;200;8
27124;-11;137;8
27174;-4;62;0
27224;2;-24;8
27274;8;-99;0
27324;13;-161;7
27374;17;-212;8
27424;18;-224;0
27474;18;-224;0
27524;16;-200;0
27574;12;-150;0
27624;6;-75;-7
27674;0;-11;0
27724;-5;49;0
27774;-10;112;0
27824;-13;161;0
27874;-14;174;0
27924;-14;174;0
27974;-12;161;0
28024;-9;112;0
28074;-4;62;0
28124;0;0;7
28174;4;-49;0
28224;8;-99;0
28274;11;-137;8
28324;12;-150;0
28374;12;-150;0
28424;11;-137;-8
28474;9;-112;0
28524;6;-75;0
28574;2;-24;0
28624;-2;24;-8
28674;-4;49;0
28724;-7;86;-7
28774;-8;99;0
28824;-8;99;0
28874;-8;99;0
28924;-6;75;0
28974;-4;49;0
29024;-1;24;0
29074;1;-11;0
29124;4;-36;0
29174;6;-75;0
29224;7;-86;0
29274;7;-86;0
29324;7;-86;0
29374;6;-75;0
29424;4;-49;0
29474;2;-24;0
29524;0;0;-7
29574;-1;11;0
29624;-2;24;0
29674;-3;36;0
29724;-3;36;0
29774;-3;36;0
29824;-2;24;0
29874;-1;11;0
29924;0;0;0
29974;1;-11;7
30024;2;-24;0
30074;2;-24;0
30124;2;-24;0
30174;2;-24;0
30224;2;-24;0
30274;2;-24;0
30324;2;-24;0
30374;1;-11;0
30424;1;-11;0
30474;0;0;-7
30524;0;0;0
30574;0;0;0
30624;0;0;0
30674;0;0;0
30724;0;0;0
