tiempo;angulo;tiempoDev;derivada
10269;0;0;0
10275;0;0;0
10281;0;0;0
10287;0;0;0
10293;0;0;0
10299;0;0;0
10305;0;0;0
10314;0;0;0
10320;0;0;0
10326;0;0;0
10332;0;0;0
10338;0;0;0
10344;0;0;0
10350;0;0;0
10359;0;0;0
10365;0;0;0
10371;0;0;0
10377;0;0;0
10383;0;0;0
10389;0;0;0
10395;0;0;0
10401;0;0;0
10407;0;0;0
10413;0;0;0
10419;0;0;0
10428;0;0;0
10434;0;0;0
10440;0;0;0
10446;0;0;0
10452;0;0;0
10461;0;0;0
10467;0;0;0
10473;0;0;0
10479;0;0;0
10485;0;0;0
10488;0;0;0
10494;0;0;0
10500;0;0;0
10506;0;0;0
10512;0;0;0
10518;0;0;0
10527;0;0;0
10533;0;0;0
10539;0;0;0
10545;0;0;0
10551;0;0;0
10557;0;0;0
10563;0;0;0
10569;0;0;0
10575;0;0;0
10581;0;0;0
10587;0;0;0
10596;0;0;0
10608;0;0;0
10614;0;0;0
10620;0;0;0
10626;0;0;0
10632;0;0;0
10638;0;0;0
10644;0;0;0
10650;0;0;0
10656;0;0;0
10662;0;0;0
10668;0;0;0
10674;0;0;0
10680;0;0;0
10686;0;0;0
10695;0;0;0
10701;0;0;0
10707;0;0;0
10713;0;0;0
10719;0;0;0
10725;0;0;0
10731;0;0;0
10740;0;0;0
10746;0;0;0
10752;0;0;0
10758;0;0;0
10764;0;0;0
10770;0;0;0
10776;0;0;0
10782;0;0;0
10788;0;0;0
10794;0;0;0
10800;0;0;0
10809;0;0;0
10815;0;0;0
10821;0;0;0
10824;0;0;0
10830;0;0;0
10836;0;0;0
10842;0;0;0
10848;0;0;0
10854;0;0;0
10860;0;0;0
10866;0;0;0
10875;0;0;0
10881;0;0;0
10887;0;0;0
10893;0;0;0
10899;0;0;0
10908;0;0;0
10914;0;0;0
10920;0;0;0
10926;0;0;0
10932;0;0;0
10935;0;0;0
10941;0;0;0
10947;0;0;0
10953;0;0;0
10959;0;0;0
10965;0;0;0
10971;0;0;0
10977;0;0;0
10983;0;0;0
10989;0;0;0
10995;0;0;0
11001;0;0;0
11007;0;0;0
11013;0;0;0
11022;0;0;0
11031;0;0;0
11037;0;0;0
