tiempo;error;tiempoDev;derivada
22575;0;22574;0
22608;0;22607;0
22641;0;22640;0
22677;0;22676;0
22710;0;22709;0
22743;0;22742;0
22776;0;22775;0
22809;0;22808;0
22845;0;22844;0
22878;0;22877;0
22911;0;22910;0
22944;0;22943;0
22977;0;22976;0
23013;0;23012;0
23046;0;23045;0
23079;0;23078;0
23112;0;23111;0
23145;0;23144;0
23181;0;23180;0
23214;0;23213;0
23247;0;23246;0
23280;0;23279;0
23313;0;23312;0
23349;0;23348;0
23382;0;23381;0
23415;0;23414;0
23448;0;23447;0
23481;0;23480;0
23517;0;23516;0
23550;0;23549;0
23583;0;23582;0
23616;0;23615;0
23649;0;23648;0
23685;0;23684;0
23718;0;23717;0
23751;0;23750;0
23784;0;23783;0
23817;0;23816;0
23853;0;23852;0
23886;0;23885;0
23919;0;23918;0
23952;0;23951;0
23985;0;23984;0
24021;0;24020;0
24054;0;24053;0
24087;0;24086;0
24120;0;24119;0
24153;0;24152;0
24189;0;24188;0
24222;0;24221;0
24255;0;24254;0
24288;0;24287;0
24321;0;24320;0
24357;0;24356;0
24390;0;24389;0
24423;0;24422;0
24456;7;24455;0
24489;31;12;66
24519;54;15;46
24552;86;12;66
24582;101;21;33
24615;125;24;33
24651;133;42;19
24684;140;66;10
24717;133;45;-15
24753;117;12;-66
24789;101;15;-53
24822;78;15;-53
24858;47;12;-58
24891;23;15;-53
24924;-7;12;-58
24957;-39;9;-88
24993;-70;6;-133
25029;-94;15;-53
25065;-117;12;-66
25104;-125;39;-20
25140;-125;75;-10
25176;-117;75;10
25212;-109;36;22
25248;-94;24;29
25281;-70;12;66
25314;-47;18;38
25347;-23;12;66
25380;0;15;46
25407;15;21;38
25440;39;15;53
25470;54;27;25
25503;78;21;38
25533;86;30;26
25566;94;48;16
25596;94;78;10
25629;94;111;7
25659;86;102;-7
25692;78;48;-16
25725;62;30;-26
25761;39;15;-53
25794;23;18;-44
25824;7;24;-33
25857;-15;21;-38
25893;-39;12;-66
25929;-54;21;-33
25965;-70;18;-44
26001;-78;39;-20
26037;-86;42;-19
26073;-86;78;-10
26106;-78;78;10
26139;-70;63;12
26175;-54;21;38
26208;-47;39;17
26241;-31;24;33
26274;-15;24;33
26307;-7;33;24
26337;7;27;25
26367;23;21;38
26400;39;12;66
26430;39;42;19
26463;47;63;12
26493;54;54;12
26523;54;84;8
26553;54;114;6
26586;47;120;-5
26619;39;36;-22
26652;39;69;-11
26685;23;30;-26
26721;7;18;-44
26751;7;48;-16
26784;-7;30;-23
26817;-23;21;-38
26853;-23;57;-14
26889;-39;30;-26
26925;-39;66;-12
26958;-39;99;-8
26994;-39;135;-5
27030;-39;171;-4
27066;-39;207;-3
27099;-23;27;29
27132;-23;60;13
27168;-15;72;11
27198;-7;45;17
27231;0;48;14
27261;7;36;19
27291;7;66;10
27318;15;66;12
27348;15;96;8
27378;15;126;6
27411;23;93;8
27441;23;123;6
27471;23;153;5
27504;15;120;-6
27540;15;156;-5
27570;7;90;-8
27603;7;123;-6
27633;7;153;-5
27663;0;111;-6
27696;-7;54;-12
27729;-7;87;-8
27762;-7;120;-5
27795;-15;108;-7
27831;-15;144;-5
27867;-15;180;-4
27903;-15;216;-3
27936;-7;141;5
27966;-7;171;4
27999;-7;204;3
28029;-7;234;3
28062;-7;267;2
28092;-7;297;2
28125;-7;330;2
28155;-7;360;2
28188;-7;393;2
28218;-7;423;1
28251;-7;456;1
28281;-7;486;1
28314;-7;519;1
28344;-7;549;1
28377;-7;582;1
28407;-7;612;1
28440;-7;645;1
28470;-7;675;1
28503;-7;708;1
28533;-7;738;1
28566;-7;771;1
28596;-7;801;0
28629;-7;834;0
28659;-7;864;0
28692;-7;897;0
28722;-7;927;0
28755;-7;960;0
28785;-7;990;0
28818;-7;1023;0
28851;-7;1056;0
28887;-7;1092;0
28920;-7;1125;0
28953;-7;1158;0
28986;-7;1191;0
29019;-7;1224;0
29055;-7;1260;0
29088;-7;1293;0
29121;-7;1326;0
29154;-7;1359;0
29187;-7;1392;0
29223;-7;1428;0
29256;-7;1461;0
29289;-7;1494;0
29322;-7;1527;0
29355;-7;1560;0
29391;-7;1596;0
29424;-7;1629;0
29457;-7;1662;0
29490;-7;1695;0
29523;-7;1728;0
29559;-7;1764;0
29592;-7;1797;0
29625;-7;1830;0
29658;-7;1863;0
29691;-7;1896;0
29727;-7;1932;0
29760;-7;1965;0
29793;-7;1998;0
29826;-7;2031;0
29859;-7;2064;0
29895;-7;2100;0
29928;-7;2133;0
29961;-7;2166;0
29994;-7;2199;0
30027;-7;2232;0
30063;-7;2268;0
30096;-7;2301;0
30129;-7;2334;0
30162;-7;2367;0
30195;-7;2400;0
30231;-7;2436;0
30264;-7;2469;0
30297;-7;2502;0
30330;-7;2535;0
30363;-7;2568;0
30399;-7;2604;0
30432;-7;2637;0
30465;-7;2670;0
30498;-7;2703;0
30531;-7;2736;0
30567;-7;2772;0
30600;-7;2805;0
30633;-7;2838;0
30666;-7;2871;0
30699;-7;2904;0
30735;-7;2940;0
30768;-7;2973;0
