;t;e;i;d;set
605;1.8150000000000002;103.0;-0.5;-5.0;0
606;1.818;98.0;-0.5;-5.0;0
607;1.8210000000000002;93.0;-0.5;-5.0;0
608;1.824;87.0;-0.5;-5.0;0
609;1.8270000000000002;82.0;-0.5;-5.0;0
610;1.83;76.0;-0.5;-5.0;0
611;1.8330000000000002;71.0;-0.5;-5.0;0
612;1.836;65.0;-0.5;-5.0;0
613;1.8390000000000002;59.0;-0.5;-5.0;0
614;1.842;53.0;-0.5;-5.0;0
615;1.8450000000000002;47.0;-0.5;-5.0;0
616;1.848;41.0;-0.5;-6.0;0
617;1.851;35.0;-0.5;-6.0;0
618;1.854;28.0;-0.5;-6.0;0
619;1.857;22.0;-0.5;-6.0;0
620;1.86;16.0;-0.5;-6.0;0
621;1.863;9.0;-0.5;-6.0;0
622;1.866;3.0;-0.5;-6.0;0
623;1.869;-3.0;0.5;-6.0;0
624;1.872;-10.0;0.5;-6.0;0
625;1.875;-16.0;0.5;-6.0;0
626;1.8780000000000001;-22.0;0.5;-6.0;0
627;1.881;-28.0;0.5;-6.0;0
628;1.8840000000000001;-34.0;0.5;-6.0;0
629;1.887;-41.0;0.5;-6.0;0
630;1.8900000000000001;-47.0;0.5;-6.0;0
631;1.893;-52.0;0.5;-6.0;0
632;1.8960000000000001;-58.0;0.5;-6.0;0
633;1.899;-64.0;0.5;-6.0;0
634;1.9020000000000001;-70.0;0.5;-6.0;0
635;1.905;-75.0;0.5;-6.0;0
636;1.9080000000000001;-80.0;0.5;-6.0;0
637;1.911;-86.0;0.5;-6.0;0
638;1.9140000000000001;-91.0;0.5;-5.0;0
639;1.917;-96.0;0.5;-5.0;0
640;1.9200000000000002;-100.0;0.5;-5.0;0
641;1.923;-105.0;0.5;-5.0;0
642;1.9260000000000002;-110.0;0.5;-5.0;0
643;1.929;-114.0;0.5;-5.0;0
644;1.9320000000000002;-118.0;0.5;-5.0;0
645;1.935;-122.0;0.5;-5.0;0
646;1.9380000000000002;-126.0;0.5;-5.0;0
647;1.941;-129.0;0.5;-5.0;0
648;1.9440000000000002;-133.0;0.5;-5.0;0
649;1.947;-136.0;0.5;-3.0;0
650;1.9500000000000002;-139.0;0.5;-3.0;0
651;1.953;-142.0;0.5;-3.0;0
652;1.9560000000000002;-144.0;0.5;-3.0;0
653;1.959;-147.0;0.5;-3.0;0
654;1.9620000000000002;-149.0;0.5;-3.0;0
655;1.965;-151.0;0.5;-3.0;0
656;1.9680000000000002;-153.0;0.5;-3.0;0
657;1.971;-154.0;0.5;-3.0;0
658;1.9740000000000002;-156.0;0.5;-3.0;0
659;1.977;-157.0;0.5;-3.0;0
660;1.9800000000000002;-158.0;0.5;-1.0;0
661;1.983;-159.0;0.5;-1.0;0
662;1.986;-159.0;0.5;-1.0;0
663;1.989;-160.0;0.5;-1.0;0
664;1.992;-160.0;0.5;-1.0;0
665;1.995;-160.0;0.5;-1.0;0
666;1.998;-160.0;0.5;-1.0;0
