 T0000466243 A+00098 V-00260 d00260 
 T0000468108 A+00091 V-00212 d00212 
 T0000469809 A+00083 V-00147 d00147 
T0000471732 A+00072 V-00235 d00235 
 T0000473573 A+00060 V-00265 d00265 
 T0000475361 A+00048 V-00266 d00266 
 T0000477055 A+00036 V-00281 d00281 
 T0000478813 A+00021 V-00088 d00088 
 T0000480559 A+00007 V-00101 d00101 
T0000482400 A-00008 V-00228 d00228 
 T0000484140 A-00023 V-00097 d00097 
 T0000485938 A-00037 V-00115 d00115 
 T0000487692 A-00051 V-00108 d00108 
T0000489662 A-00064 V-00263 d00263 
 T0000491325 A-00075 V-00114 d00114 
 T0000493127 A-00085 V-00187 d00187 
 T0000494944 A-00095 V-00153 d00153 
 T0000496757 A-00102 V-00355 d00355 
 T0000498786 A-00108 V-00617 d00617 
 T0000500432 A-00112 V-00753 d00753 
 T0000506718 A-00114 V+04866 d04866 
 T0000507020 A-00113 V+00302 d00302 
 T0000507735 A-00112 V+00715 d00715 
 T0000507980 A-00111 V+00245 d00245 
 T0000509618 A-00107 V+00227 d00227 
 T0000511366 A-00102 V+00488 d00488 
 T0000513356 A-00094 V+00370 d00370 
 T0000514937 A-00086 V+00306 d00306 
 T0000516651 A-00076 V+00164 d00164 
 T0000518452 A-00065 V+00122 d00122 
 T0000520323 A-00052 V+00154 d00154 
 T0000522082 A-00039 V+00118 d00118 
 T0000523911 A-00026 V+00229 d00229 
 T0000525664 A-00012 V+00086 d00086 
 T0000527470 A+00002 V+00229 d00229 
 T0000529295 A+00017 V+00114 d00114 
 T0000531186 A+00030 V+00290 d00290 
 T0000532986 A+00042 V+00286 d00286 
 T0000534848 A+00054 V+00277 d00277 
 T0000536452 A+00064 V+00170 d00170 
T0000538518 A+00074 V+00346 d00346 
 T0000540032 A+00081 V+00227 d00227 
T0000541957 A+00088 V+00330 d00330 
 T0000544020 A+00094 V+00548 d00548 
 T0000547962 A+00098 V+02674 d02674 
 T0000548645 A+00097 V-00683 d00683 
 T0000551751 A+00096 V-03106 d03106 
 T0000552188 A+00095 V-00437 d00437 
 T0000552684 A+00094 V-00496 d00496 
T0000554519 A+00089 V-00278 d00278 
 T0000556240 A+00084 V-00472 d00472 
T0000558196 A+00076 V-00341 d00341 
 T0000559897 A+00067 V-00182 d00182 
 T0000561657 A+00057 V-00122 d00122 
 T0000563479 A+00047 V-00142 d00142 
 T0000565219 A+00036 V-00302 d00302 
T0000566962 A+00023 V-00134 d00134 
T0000568700 A+00010 V-00094 d00094 
T0000570651 A-00004 V-00228 d00228 
 T0000572235 A-00016 V-00255 d00255 
T0000573960 A-00029 V-00112 d00112 
T0000575765 A-00042 V-00130 d00130 
 T0000577647 A-00054 V-00167 d00167 
 T0000579348 A-00064 V-00293 d00293 
 T0000581179 A-00074 V-00206 d00206 
 T0000583012 A-00083 V-00171 d00171 
 T0000584731 A-00090 V-00270 d00270 
 T0000586661 A-00096 V-00598 d00598 
 T0000588469 A-00100 V-00811 d00811 
 T0000591879 A-00104 V-01919 d01919 
 T0000593125 A-00103 V+01246 d01246 
 T0000595272 A-00102 V+02147 d02147 
 T0000595652 A-00101 V+00380 d00380 
 T0000597564 A-00098 V+00780 d00780 
 T0000599238 A-00093 V+00217 d00217 
 T0000601329 A-00086 V+00401 d00401 
 T0000602869 A-00079 V+00204 d00204 
 T0000604768 A-00070 V+00294 d00294 
 T0000606389 A-00060 V+00135 d00135 
T0000608160 A-00050 V+00281 d00281 
T0000610041 A-00038 V+00246 d00246 
 T0000611791 A-00026 V+00239 d00239 
 T0000613524 A-00014 V+00254 d00254 
 T0000615300 A-00001 V+00099 d00099 
 T0000617099 A+00012 V+00112 d00112 
 T0000618892 A+00024 V+00178 d00178 
 T0000620684 A+00035 V+00121 d00121 
 T0000622738 A+00046 V+00349 d00349 
 T0000624257 A+00055 V+00133 d00133 
T0000626161 A+00064 V+00235 d00235 
 T0000627883 A+00071 V+00202 d00202 
 T0000629735 A+00077 V+00288 d00288 
 T0000631858 A+00082 V+00680 d00680 
 T0000634258 A+00086 V+01112 d01112 
 T0000635197 A+00087 V+00939 d00939 
 T0000638156 A+00086 V-02959 d02959 
 T0000638916 A+00085 V-00760 d00760 
 T0000641041 A+00082 V-00656 d00656 
 T0000642721 A+00078 V-00419 d00419 
 T0000644507 A+00072 V-00380 d00380 
 T0000646018 A+00066 V-00286 d00286 
 T0000647910 A+00058 V-00284 d00284 
 T0000649578 A+00050 V-00277 d00277 
T0000651429 A+00040 V-00345 d00345 
 T0000653382 A+00028 V-00309 d00309 
 T0000654990 A+00017 V-00099 d00099 
 T0000656717 A+00006 V-00138 d00138 
T0000658476 A-00006 V-00135 d00135 
T0000660251 A-00018 V-00116 d00116 
 T0000662126 A-00030 V-00150 d00150 
 T0000663885 A-00041 V-00140 d00140 
 T0000665824 A-00052 V-00304 d00304 
 T0000667565 A-00061 V-00239 d00239 
 T0000669443 A-00070 V-00257 d00257 
 T0000671173 A-00077 V-00208 d00208 
 T0000672829 A-00083 V-00232 d00232 
T0000674634 A-00088 V-00540 d00540 
 T0000676983 A-00092 V-00983 d00983 
 T0000682917 A-00092 V+05157 d05157 
 T0000683587 A-00091 V+00670 d00670 
 T0000684340 A-00090 V+00753 d00753 
 T0000684590 A-00089 V+00250 d00250 
 T0000685507 A-00087 V+00452 d00452 
 T0000687493 A-00082 V+00541 d00541 
 T0000689138 A-00076 V+00280 d00280 
 T0000691087 A-00068 V+00245 d00245 
 T0000692863 A-00059 V+00204 d00204 
 T0000694789 A-00050 V+00317 d00317 
 T0000696356 A-00041 V+00153 d00153 
T0000698228 A-00030 V+00298 d00298 
 T0000699916 A-00019 V+00180 d00180 
T0000701679 A-00008 V+00147 d00147 
T0000703438 A+00003 V+00148 d00148 
T0000705217 A+00014 V+00289 d00289 
 T0000706987 A+00025 V+00141 d00141 
T0000708809 A+00034 V+00368 d00368 
 T0000710546 A+00043 V+00142 d00142 
T0000712556 A+00052 V+00288 d00288 
 T0000714172 A+00058 V+00498 d00498 
 T0000716082 A+00064 V+00389 d00389 
 T0000717909 A+00069 V+00407 d00407 
 T0000719978 A+00073 V+00538 d00538 
 T0000722697 A+00076 V+01524 d01524 
 T0000723846 A+00075 V-01149 d01149 
 T0000725865 A+00074 V-02019 d02019 
 T0000727594 A+00072 V-01070 d01070 
 T0000728670 A+00070 V-00586 d00586 
 T0000730494 A+00065 V-00255 d00255 
 T0000732308 A+00060 V-00525 d00525 
 T0000734125 A+00053 V-00153 d00153 
 T0000735966 A+00045 V-00123 d00123 
 T0000737963 A+00036 V-00366 d00366 
 T0000739508 A+00028 V-00371 d00371 
 T0000741282 A+00018 V-00153 d00153 
T0000743017 A+00008 V-00280 d00280 
T0000744966 A-00004 V-00279 d00279 
 T0000746614 A-00014 V-00161 d00161 
 T0000748418 A-00024 V-00269 d00269 
 T0000750250 A-00035 V-00132 d00132 
 T0000752050 A-00044 V-00370 d00370 
 T0000753903 A-00053 V-00203 d00203 
 T0000755575 A-00060 V-00389 d00389 
T0000757580 A-00068 V-00423 d00423 
 T0000759142 A-00073 V-00331 d00331 
T0000761305 A-00078 V-00599 d00599 
 T0000762694 A-00081 V-00477 d00477 
T0000765024 A-00084 V-01331 d01331 
 T0000767719 A-00083 V+02695 d02695 
 T0000770083 A-00082 V+02364 d02364 
 T0000770573 A-00081 V+00490 d00490 
 T0000771723 A-00079 V+00486 d00486 
T0000773977 A-00074 V+00540 d00540 
 T0000775271 A-00070 V+00466 d00466 
T0000777113 A-00063 V+00226 d00226 
 T0000779030 A-00056 V+00304 d00304 
 T0000780838 A-00048 V+00237 d00237 
 T0000782564 A-00039 V+00169 d00169 
 T0000784438 A-00030 V+00346 d00346 
 T0000786224 A-00020 V+00176 d00176 
 T0000788046 A-00010 V+00266 d00266 
 T0000789716 A+00000 V+00185 d00185 
T0000791642 A+00010 V+00328 d00328 
 T0000793312 A+00019 V+00128 d00128 
T0000795162 A+00028 V+00247 d00247 
 T0000797120 A+00035 V+00286 d00286 
 T0000798776 A+00040 V+00324 d00324 
 T0000800497 A+00049 V+00149 d00149 
T0000802495 A+00056 V+00637 d00637 
 T0000805979 A+00058 V+02820 d02820 
 T0000806188 A+00059 V+00209 d00209 
 T0000807920 A+00064 V+00374 d00374 
 T0000809646 A+00065 V-00579 d00579 
 T0000811503 A+00063 V-00557 d00557 
 T0000813364 A+00061 V-00873 d00873 
 T0000815251 A+00059 V-00514 d00514 
 T0000816834 A+00056 V-00701 d00701 
 T0000818803 A+00050 V-00464 d00464 
 T0000820681 A+00044 V-00530 d00530 
 T0000822280 A+00038 V-00325 d00325 
 T0000824126 A+00030 V-00267 d00267 
 T0000825907 A+00022 V-00216 d00216 
 T0000827570 A+00014 V-00196 d00196 
 T0000829308 A+00005 V-00176 d00176 
T0000831081 A-00004 V-00306 d00306 
T0000832994 A-00014 V-00191 d00191 
 T0000834755 A-00023 V-00158 d00158 
 T0000836673 A-00032 V-00329 d00329 
 T0000838416 A-00040 V-00356 d00356 
 T0000840417 A-00048 V-00408 d00408 
 T0000842039 A-00054 V-00330 d00330 
 T0000843832 A-00060 V-00504 d00504 
 T0000845535 A-00065 V-00355 d00355 
 T0000847649 A-00069 V-00539 d00539 
 T0000849915 A-00072 V-01088 d01088 
 T0000855574 A-00072 V+05001 d05001 
 T0000856503 A-00071 V+00929 d00929 
 T0000857442 A-00070 V+00939 d00939 
 T0000857773 A-00069 V+00331 d00331 
 T0000858278 A-00068 V+00505 d00505 
 T0000860156 A-00064 V+00558 d00558 
 T0000862123 A-00059 V+00389 d00389 
 T0000863829 A-00054 V+00472 d00472 
 T0000865470 A-00047 V+00220 d00220 
 T0000867284 A-00040 V+00272 d00272 
 T0000869267 A-00032 V+00259 d00259 
 T0000870996 A-00024 V+00233 d00233 
 T0000872802 A-00015 V+00234 d00234 
 T0000874440 A-00007 V+00205 d00205 
T0000876431 A+00002 V+00356 d00356 
 T0000878113 A+00010 V+00367 d00367 
 T0000879916 A+00018 V+00408 d00408 
 T0000881892 A+00026 V+00443 d00443 
 T0000883520 A+00032 V+00363 d00363 
 T0000885456 A+00037 V+00378 d00378 
 T0000887373 A+00042 V+00471 d00471 
 T0000888911 A+00048 V+00360 d00360 
 T0000893883 A+00052 V+03769 d03769 
 T0000894445 A+00053 V+00562 d00562 
 T0000900805 A+00052 V-06360 d06360 
 T0000901102 A+00051 V-00297 d00297 
 T0000901676 A+00050 V-00574 d00574 
 T0000901803 A+00049 V-00127 d00127 
 T0000902281 A+00048 V-00478 d00478 
 T0000903699 A+00044 V-00603 d00603 
 T0000905201 A+00040 V-00664 d00664 
T0000907131 A+00035 V-00341 d00341 
 T0000908795 A+00030 V-00310 d00310 
T0000910534 A+00022 V-00203 d00203 
T0000912365 A+00014 V-00260 d00260 
 T0000914287 A+00007 V-00234 d00234 
 T0000915959 A+00000 V-00357 d00357 
T0000917782 A-00009 V-00185 d00185 
 T0000919602 A-00017 V-00256 d00256 
 T0000921547 A-00025 V-00247 d00247 
 T0000923270 A-00032 V-00378 d00378 
 T0000924996 A-00039 V-00251 d00251 
T0000926901 A-00045 V-00236 d00236 
 T0000928540 A-00050 V-00425 d00425 
T0000930309 A-00055 V-00272 d00272 
T0000932044 A-00059 V-00332 d00332 
T0000934102 A-00062 V-00693 d00693 
 T0000936327 A-00064 V-01755 d01755 
 T0000938108 A-00065 V-01781 d01781 
 T0000939312 A-00064 V+01204 d01204 
 T0000941327 A-00063 V+02015 d02015 
 T0000943279 A-00061 V+00504 d00504 
 T0000945312 A-00058 V+00901 d00901 
 T0000947204 A-00054 V+00721 d00721 
 T0000948732 A-00050 V+00560 d00560 
 T0000950335 A-00045 V+00274 d00274 
 T0000952100 A-00039 V+00259 d00259 
